Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaine Calkins,Sarah Palmer,Lauren Pezzella,Tiffany Rose,Laura Lynn Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 1","Hoadley",169,4,10,9,5,0,197,430
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 2","Bluffton",207,5,9,4,12,1,238,514
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 3","Homeglen",97,4,8,2,9,0,120,289
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 4","Louis Bull 138B",22,5,96,33,2,1,159,375
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 5A","Ermineskin 138",Merged with No./Fusionné avec le n°6A,,,,,,,72
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 5B","Ermineskin 138",Merged with No./Fusionné avec le n°6B,,,,,,,112
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 5C","Ermineskin 138",Merged with No./Fusionné avec le n°6C,,,,,,,71
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 6A","Ermineskin 138",5,5,56,18,1,0,85,704
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 6B","Ermineskin 138",11,7,111,20,1,0,150,801
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 6C","Ermineskin 138",13,7,113,7,5,0,145,813
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 7","Dakota",163,4,8,2,8,0,185,447
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 8","Last West",95,4,4,7,5,0,115,291
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 9","Rimbey",108,4,7,6,5,2,132,263
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 10","Rimbey",155,5,2,5,4,0,171,501
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 11","Rimbey",147,8,15,5,9,2,186,420
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 12","Rimbey",151,2,5,4,7,2,171,402
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 13","Rimbey",138,3,9,4,4,0,158,380
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 14","Rimbey",134,2,12,6,7,1,162,389
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 15","Rimbey",193,4,8,2,13,0,220,478
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 16","Rimbey",166,4,3,13,6,1,193,396
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 17","Ponoka County No. 3",122,1,8,4,6,0,141,274
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 18","Ponoka",113,3,18,8,6,0,148,347
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 19","Ponoka County No. 3",90,1,10,9,5,1,116,335
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 20","Ponoka",117,1,11,5,7,1,142,387
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 21","Ponoka",108,3,11,3,5,1,131,298
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 22","Ponoka",87,7,18,4,13,0,129,347
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 23","Ponoka",89,5,12,3,11,1,121,378
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 24","Ponoka",114,8,19,14,9,0,164,425
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 25A","Samson 137",24,9,143,39,4,1,220,458
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 25B","Samson 137",19,13,133,22,1,2,190,438
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 25C","Samson 137",25,8,152,22,1,0,208,450
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 26A","Samson 137",Merged with No./Fusionné avec le n°25A,,,,,,,97
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 26B","Samson 137",Merged with No./Fusionné avec le n°25B,,,,,,,90
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 26C","Samson 137",Merged with No./Fusionné avec le n°25C,,,,,,,75
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 27","Crestomere",281,6,15,2,4,0,308,452
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 28","Crestomere",186,2,11,7,8,1,215,376
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 29","Montana 139",5,5,113,11,1,2,137,285
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 30","Ponoka County No. 3",218,3,4,7,8,0,240,490
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 31","Ponoka",146,2,17,14,9,1,189,425
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 32","Ponoka",134,5,28,8,11,1,187,444
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 33","Ponoka",105,5,23,9,2,1,145,351
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 34","Ponoka",141,6,31,13,3,2,196,493
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 35","Ponoka",111,1,26,11,5,1,155,379
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 36","Ponoka",135,4,19,16,14,0,188,420
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 37","Ponoka County",126,2,17,10,13,0,168,392
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 38","Ponoka County No. 3",135,1,12,4,3,0,155,378
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 39","Gilby",231,4,6,2,7,1,251,517
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 40","Mecca Glen",137,2,7,2,4,0,152,331
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 41","Mecca Glen East",158,0,3,3,6,0,170,330
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 42","Ponoka County No. 3",162,3,9,10,3,1,188,411
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 43","Ponoka County No. 3",213,3,10,10,6,0,242,440
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 44","Ponoka County No. 3",129,2,3,8,8,0,150,316
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 45","Lacombe County",176,4,7,10,7,2,206,407
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 46","Bentley",212,9,7,6,10,0,244,482
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 47","Bentley",193,3,13,4,6,0,219,367
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 48","Bentley",275,8,14,5,9,1,312,460
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 49","Bentley",210,5,12,6,13,0,246,364
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 50","Birchcliff",179,0,18,8,6,0,211,477
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 51","Gull Lake",174,5,14,7,10,2,212,374
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 52","Gull Lake",204,6,12,1,10,1,234,393
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 53","Eckville",193,2,3,6,7,0,211,292
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 54","Eckville",258,1,10,15,8,1,293,480
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 55","Eckville",137,5,1,4,3,0,150,229
