Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Marc Bélanger,Vincent Cormier,Dominic LeBlanc,Nancy Mercier,Laura Reinsborough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 66","Shediac Bridge",6,14,56,3,16,1,96,215
13002,"Beauséjour/Beauséjour"," 67","Shediac Bridge",18,15,48,0,24,0,105,297
13002,"Beauséjour/Beauséjour"," 68","Saint-Antoine",6,41,79,4,53,3,186,436
13002,"Beauséjour/Beauséjour"," 69","Saint-Antoine",11,42,68,4,60,3,188,421
13002,"Beauséjour/Beauséjour"," 70","Saint-Antoine",18,36,59,3,31,5,152,376
13002,"Beauséjour/Beauséjour"," 71","Saint-Antoine",11,23,52,4,31,3,124,320
13002,"Beauséjour/Beauséjour"," 72","Saint-Antoine",13,29,54,2,44,6,148,298
13002,"Beauséjour/Beauséjour"," 73","Grand-Barachois",6,26,92,4,66,1,195,431
13002,"Beauséjour/Beauséjour"," 74","Grand-Barachois",16,26,81,3,52,0,178,455
13002,"Beauséjour/Beauséjour"," 75","Grand-Barachois",9,29,83,3,29,1,154,364
13002,"Beauséjour/Beauséjour"," 76","Grand-Barachois",12,26,53,3,36,1,131,317
13002,"Beauséjour/Beauséjour"," 77","Grand-Barachois",5,23,88,4,58,0,178,409
13002,"Beauséjour/Beauséjour"," 78","Trois-Ruisseaux",6,21,96,1,76,5,205,454
13002,"Beauséjour/Beauséjour"," 79","Shemogue",5,25,59,3,69,4,165,272
13002,"Beauséjour/Beauséjour"," 80","Saint-André--LeBlanc",4,12,41,2,66,2,127,239
13002,"Beauséjour/Beauséjour"," 81","Saint-André--LeBlanc",3,16,66,0,52,2,139,218
13002,"Beauséjour/Beauséjour"," 82","Bayside",9,41,31,4,33,3,121,314
13002,"Beauséjour/Beauséjour"," 83","Bayside",13,47,34,1,25,3,123,301
13002,"Beauséjour/Beauséjour"," 84","Notre-Dame",24,57,76,10,50,2,219,395
13002,"Beauséjour/Beauséjour"," 85","Notre-Dame",24,32,85,7,64,1,213,390
13002,"Beauséjour/Beauséjour"," 86","Notre-Dame",21,38,91,9,59,1,219,432
13002,"Beauséjour/Beauséjour"," 87","Shediac River",13,30,68,6,28,0,145,329
13002,"Beauséjour/Beauséjour"," 88","Shediac River",13,41,81,4,48,1,188,342
13002,"Beauséjour/Beauséjour"," 89","Cormier-Village",6,19,63,3,29,0,120,263
13002,"Beauséjour/Beauséjour"," 90","Cormier-Village",6,11,62,2,30,1,112,230
13002,"Beauséjour/Beauséjour"," 91","Boudreau-Ouest",5,26,60,3,41,1,136,351
13002,"Beauséjour/Beauséjour"," 92","Pointe-du-Chêne",31,39,114,5,35,1,225,418
13002,"Beauséjour/Beauséjour"," 93","Shediac",13,16,88,3,46,1,167,466
13002,"Beauséjour/Beauséjour"," 94","Boudreau-Ouest",7,29,100,7,47,0,190,424
