Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amanda Kistindey,John Kittredge,Laurel MacDowell,Rob Oliphant,Ian Prittie,Yvonne Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Don Valley West/Don Valley-Ouest"," 1","North York",12,5,30,147,4,70,5,273,531
35021,"Don Valley West/Don Valley-Ouest"," 2","North York",6,0,11,137,4,119,0,277,491
35021,"Don Valley West/Don Valley-Ouest"," 3","North York",5,3,12,90,0,104,2,216,453
35021,"Don Valley West/Don Valley-Ouest"," 4","North York",8,0,5,75,2,80,0,170,340
35021,"Don Valley West/Don Valley-Ouest"," 5","North York",9,2,2,81,2,82,2,180,372
35021,"Don Valley West/Don Valley-Ouest"," 6","North York",15,3,50,147,2,92,1,310,682
35021,"Don Valley West/Don Valley-Ouest"," 7","North York",3,1,8,51,4,99,2,168,323
35021,"Don Valley West/Don Valley-Ouest"," 8","North York",1,6,34,145,0,45,12,243,492
35021,"Don Valley West/Don Valley-Ouest"," 9","North York",2,0,5,58,0,80,1,146,351
35021,"Don Valley West/Don Valley-Ouest"," 10","North York",13,3,11,150,0,146,2,325,439
35021,"Don Valley West/Don Valley-Ouest"," 11","North York",Merged with No./Fusionné avec le n°10,,,,,,,,268
35021,"Don Valley West/Don Valley-Ouest"," 12","North York",8,0,7,45,2,91,0,153,397
35021,"Don Valley West/Don Valley-Ouest"," 13","North York",3,0,5,55,2,80,4,149,383
35021,"Don Valley West/Don Valley-Ouest"," 14","North York",Merged with No./Fusionné avec le n°17,,,,,,,,371
35021,"Don Valley West/Don Valley-Ouest"," 15","North York",14,5,13,125,1,62,5,225,552
35021,"Don Valley West/Don Valley-Ouest"," 16","North York",2,0,10,86,1,90,1,190,550
35021,"Don Valley West/Don Valley-Ouest"," 17","North York",10,3,25,174,5,85,4,306,455
35021,"Don Valley West/Don Valley-Ouest"," 18","North York",6,1,15,85,2,32,0,141,315
35021,"Don Valley West/Don Valley-Ouest"," 19","North York",6,1,4,87,2,91,1,192,457
35021,"Don Valley West/Don Valley-Ouest"," 20","North York",2,1,4,98,1,111,0,217,507
35021,"Don Valley West/Don Valley-Ouest"," 21","North York",7,0,11,98,0,130,2,248,525
35021,"Don Valley West/Don Valley-Ouest"," 22","North York",9,0,24,96,7,50,0,186,468
35021,"Don Valley West/Don Valley-Ouest"," 23","North York",8,2,17,136,6,75,1,245,597
35021,"Don Valley West/Don Valley-Ouest"," 24","North York",13,0,22,104,2,137,3,281,492
35021,"Don Valley West/Don Valley-Ouest"," 25","North York",11,2,18,94,5,103,0,233,529
35021,"Don Valley West/Don Valley-Ouest"," 26","North York",13,2,6,77,1,68,2,169,463
35021,"Don Valley West/Don Valley-Ouest"," 27","North York",Merged with No./Fusionné avec le n°24,,,,,,,,364
35021,"Don Valley West/Don Valley-Ouest"," 28","North York",4,0,6,87,1,84,3,185,407
35021,"Don Valley West/Don Valley-Ouest"," 29","North York",4,1,5,59,2,68,0,139,464
35021,"Don Valley West/Don Valley-Ouest"," 30","North York",2,0,4,62,0,84,1,153,504
35021,"Don Valley West/Don Valley-Ouest"," 31","North York",Merged with No./Fusionné avec le n°32,,,,,,,,334
35021,"Don Valley West/Don Valley-Ouest"," 32","North York",14,2,14,125,2,136,3,296,569
35021,"Don Valley West/Don Valley-Ouest"," 33","North York",9,1,11,119,1,77,0,218,399
35021,"Don Valley West/Don Valley-Ouest"," 34","North York",11,1,3,172,2,86,2,277,503
35021,"Don Valley West/Don Valley-Ouest"," 35","North York",4,2,12,111,3,94,1,227,419
35021,"Don Valley West/Don Valley-Ouest"," 36","North York",Merged with No./Fusionné avec le n°38,,,,,,,,356
35021,"Don Valley West/Don Valley-Ouest"," 37","North York",6,3,9,62,3,119,6,208,435
35021,"Don Valley West/Don Valley-Ouest"," 38","North York",7,1,10,102,3,156,1,280,365
35021,"Don Valley West/Don Valley-Ouest"," 39","North York",12,1,22,109,3,79,2,228,602
35021,"Don Valley West/Don Valley-Ouest"," 40","North York",8,0,10,86,0,90,2,196,450
35021,"Don Valley West/Don Valley-Ouest"," 41","North York",9,0,5,63,1,76,1,155,378
35021,"Don Valley West/Don Valley-Ouest"," 42","North York",11,1,6,61,2,102,0,183,421
35021,"Don Valley West/Don Valley-Ouest"," 43","North York",6,1,4,84,2,140,2,239,401
35021,"Don Valley West/Don Valley-Ouest"," 44","North York",Merged with No./Fusionné avec le n°43,,,,,,,,400
35021,"Don Valley West/Don Valley-Ouest"," 45","North York",0,1,5,48,2,65,1,122,425
35021,"Don Valley West/Don Valley-Ouest"," 46","North York",13,0,2,65,0,79,0,159,460
35021,"Don Valley West/Don Valley-Ouest"," 47","North York",5,0,4,57,0,65,1,132,412
35021,"Don Valley West/Don Valley-Ouest"," 48","Toronto",6,0,5,62,0,77,1,151,371
35021,"Don Valley West/Don Valley-Ouest"," 49","Toronto",6,1,12,151,1,123,4,298,599
35021,"Don Valley West/Don Valley-Ouest"," 50","Toronto",10,0,15,132,5,96,7,265,505
35021,"Don Valley West/Don Valley-Ouest"," 51","Toronto",13,0,16,121,3,61,1,215,460
35021,"Don Valley West/Don Valley-Ouest"," 52","Toronto",4,0,15,116,2,71,2,210,489
35021,"Don Valley West/Don Valley-Ouest"," 53","North York",9,0,6,70,2,98,1,186,406
35021,"Don Valley West/Don Valley-Ouest"," 54","Toronto",10,0,8,114,3,75,0,210,418
35021,"Don Valley West/Don Valley-Ouest"," 55","Toronto",9,2,13,107,5,41,0,177,364
