Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ashley Duguay,Robert Eastcott,Vanessa Hamilton,Terry Hayward,Rebecca Hein,Robin Lussier,Larry Maguire,Bill Tiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 1","Kirkella",12,1,1,16,0,2,286,15,0,333,504
46001,"Brandon--Souris/Brandon--Souris"," 2","Hargrave",6,2,1,13,0,1,92,7,0,122,266
46001,"Brandon--Souris/Brandon--Souris"," 3","Kola",3,0,1,0,0,1,172,1,0,178,246
46001,"Brandon--Souris/Brandon--Souris"," 4","Virden",15,0,0,15,0,3,157,7,1,198,354
46001,"Brandon--Souris/Brandon--Souris"," 5","Virden",22,2,2,13,0,1,178,16,0,234,464
46001,"Brandon--Souris/Brandon--Souris"," 6","Virden",14,1,0,16,3,2,213,6,0,255,463
46001,"Brandon--Souris/Brandon--Souris"," 7","Virden",17,1,2,20,0,3,170,11,3,227,459
46001,"Brandon--Souris/Brandon--Souris"," 8","Virden",15,0,1,24,1,4,157,8,1,211,440
46001,"Brandon--Souris/Brandon--Souris"," 9","Virden",30,0,0,12,2,1,215,12,6,278,512
46001,"Brandon--Souris/Brandon--Souris"," 10","Brandon",64,1,2,55,4,4,200,30,1,361,641
46001,"Brandon--Souris/Brandon--Souris"," 11","Brandon",37,0,3,49,1,3,214,28,1,336,497
46001,"Brandon--Souris/Brandon--Souris"," 12","Brandon",49,0,1,61,0,5,208,17,0,341,627
46001,"Brandon--Souris/Brandon--Souris"," 13","Brandon",70,1,0,41,3,2,138,21,0,276,560
46001,"Brandon--Souris/Brandon--Souris"," 14","Brandon",50,1,1,36,2,5,128,20,0,243,423
46001,"Brandon--Souris/Brandon--Souris"," 15","Brandon",53,2,0,47,2,7,136,25,0,272,540
46001,"Brandon--Souris/Brandon--Souris"," 16A","Brandon",43,0,1,58,1,4,117,16,1,241,390
46001,"Brandon--Souris/Brandon--Souris"," 16B","Brandon",33,2,1,34,0,1,123,11,1,206,372
46001,"Brandon--Souris/Brandon--Souris"," 17","Chater",33,0,0,30,0,0,172,22,1,258,465
46001,"Brandon--Souris/Brandon--Souris"," 18","Kemnay",40,2,0,31,0,5,192,24,0,294,515
46001,"Brandon--Souris/Brandon--Souris"," 19","Brandon",46,0,1,28,1,9,165,14,0,264,420
46001,"Brandon--Souris/Brandon--Souris"," 20","Brandon",40,1,0,41,0,3,152,21,1,259,424
46001,"Brandon--Souris/Brandon--Souris"," 21","Brandon",21,0,4,26,2,3,127,14,1,198,416
46001,"Brandon--Souris/Brandon--Souris"," 22","Brandon",32,0,1,51,0,0,142,13,0,239,488
46001,"Brandon--Souris/Brandon--Souris"," 23","Brandon",53,1,2,57,2,4,167,15,0,301,523
46001,"Brandon--Souris/Brandon--Souris"," 24","Brandon",65,3,4,23,1,4,82,14,3,199,473
46001,"Brandon--Souris/Brandon--Souris"," 25","Brandon",49,1,1,28,0,5,71,17,0,172,405
46001,"Brandon--Souris/Brandon--Souris"," 26","Brandon",36,1,1,40,0,3,102,15,1,199,364
46001,"Brandon--Souris/Brandon--Souris"," 27","Brandon",18,0,1,56,0,2,119,19,0,215,346
46001,"Brandon--Souris/Brandon--Souris"," 28","Brandon",45,0,1,51,2,4,161,21,1,286,515
46001,"Brandon--Souris/Brandon--Souris"," 29","Brandon",41,0,3,40,0,5,132,13,2,236,464
46001,"Brandon--Souris/Brandon--Souris"," 30","Brandon",55,0,0,29,0,2,118,9,0,213,398
46001,"Brandon--Souris/Brandon--Souris"," 31","Brandon",42,0,2,29,1,4,102,17,1,198,400
