Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randall Garrison,Fidelia Godron,Jeremy Gustafson,Jamie Hammond,Louis Lesosky,David Merner,Philip Ney,Randall Pewarchuk,Josh Steffler,Tyson Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 1","Shirley",69,0,13,40,0,54,0,53,2,0,0,231,399
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 2","Willis Point",47,1,1,60,0,85,1,60,1,0,0,256,438
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 3","Saanich",46,0,3,30,1,56,2,60,0,0,0,198,432
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 4","Prospect Lake",77,0,4,37,0,57,0,80,0,2,1,258,499
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 5","Elk Lake",50,1,5,39,1,68,0,54,1,0,0,219,479
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 6","Prospect Lake",47,1,2,33,0,67,0,47,1,0,1,199,433
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 7","Prospect Lake",32,0,1,47,0,78,0,46,2,0,0,206,444
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 8","Beaver Lake",47,0,2,38,0,57,0,51,1,0,1,197,455
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 9","Beaver Lake",63,1,4,39,0,74,0,43,2,0,1,227,501
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 10","Saanich",102,2,3,49,0,67,0,43,0,0,0,266,581
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 11","View Royal",74,1,3,48,1,53,0,45,0,0,0,225,491
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 12A","View Royal",105,0,1,68,0,84,1,71,2,0,1,333,712
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 12B","Mobile poll/Bureau itinérant",14,0,0,10,5,5,0,4,2,0,0,40,16
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 13","View Royal",70,0,1,41,0,19,1,34,0,0,1,167,422
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 14","View Royal",85,0,7,44,0,72,0,44,0,0,1,253,568
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 15","Sooke",105,1,3,34,0,67,0,74,3,0,2,289,606
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 16","Sooke",92,0,11,33,1,42,1,45,2,1,0,228,553
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 17","Sooke",97,0,3,32,0,38,0,48,0,0,0,218,577
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 18","Sooke",113,0,0,43,0,44,0,54,2,0,0,256,645
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 19","Sooke",109,3,5,44,0,45,0,72,1,0,0,279,662
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 20","Sooke",87,0,11,33,0,41,0,46,0,0,0,218,532
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 21","Saseenos",80,0,7,30,0,42,0,50,1,0,0,210,512
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 22","Sooke",87,0,6,30,0,52,0,42,0,1,0,218,587
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 23","Sooke",96,0,8,24,1,40,1,31,0,0,0,201,580
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 24","Saseenos",65,0,4,26,0,41,0,32,2,0,0,170,421
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 25","East Sooke",47,0,5,36,1,58,0,42,0,0,0,189,438
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 26","Saanich",31,0,1,30,0,24,0,15,0,0,1,102,202
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 27","Saanich",35,0,1,43,0,41,0,49,2,1,0,172,423
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 28","Saanich",80,0,3,60,1,71,0,64,1,1,0,281,597
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 29","Saanich",104,0,3,85,2,90,0,74,2,0,3,363,650
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 30","Saanich",78,1,2,58,0,73,0,66,0,0,2,280,464
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 31","Saanich",54,0,5,44,1,41,0,56,1,0,1,203,421
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 32","Saanich",73,1,8,57,1,81,0,52,3,0,0,276,527
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 33","Saanich",97,0,3,54,0,61,0,42,2,0,1,260,531
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 34","Otter Point",119,0,2,40,1,56,1,76,2,0,0,297,599
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 35","Otter Point",85,0,3,32,0,36,0,37,1,0,0,194,401
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 36","Otter Point",64,1,3,22,0,55,2,53,0,1,0,201,393
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 37","Otter Point",53,1,2,22,0,43,0,31,1,0,0,153,281
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 38","Saanich",90,0,1,63,1,63,0,54,3,1,0,276,495
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 39","Saanich",94,0,2,45,0,76,0,57,0,0,0,274,602
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 40","Saanich",77,1,2,58,0,53,1,25,1,0,0,218,484
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 41","Saanich",64,1,1,42,0,56,0,16,0,0,0,180,443
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 42","Saanich",68,0,3,43,0,52,0,51,1,0,0,218,552
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 43","Saanich",57,0,2,34,0,38,0,34,0,0,0,165,330
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 44","Saanich",48,0,0,29,0,39,0,46,0,0,0,162,378
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 45","Saanich",62,0,1,29,0,56,0,33,2,0,1,184,468
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 46","Saanich",59,0,1,48,0,74,0,57,1,0,2,242,448
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 47","Saanich",98,0,0,39,0,61,0,29,2,0,0,229,486
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 48","Saanich",59,0,2,29,0,44,2,28,0,0,0,164,382
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 49","Saanich",76,2,0,36,0,36,0,27,0,0,2,179,330
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 50","Saanich",90,0,3,41,0,72,0,50,1,1,0,258,471
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 51","Saanich",70,0,1,44,0,53,0,41,0,0,2,211,451
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 52","Saanich",71,0,3,30,0,56,2,37,5,0,0,204,394
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 53","Saanich",54,0,2,39,0,44,0,29,0,0,0,168,380
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 54","Saanich",88,1,3,37,0,57,1,34,2,0,1,224,404
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 55","Saanich",83,2,2,55,0,47,0,37,0,0,0,226,479
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 56","Saanich",53,0,2,61,0,34,0,32,2,0,2,186,370
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 57","Saanich",72,0,1,29,0,45,0,47,1,0,2,197,381
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 58","Saanich",74,0,1,55,0,58,0,35,0,0,0,223,383
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 59","Saanich",45,1,0,33,0,59,0,53,0,1,0,192,396
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 60","View Royal",46,0,3,27,1,25,1,32,1,4,1,141,391
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 61","View Royal",57,0,3,42,0,71,0,38,0,0,1,212,457
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 62","View Royal",90,1,2,43,0,42,0,40,1,1,2,222,513
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 63","View Royal",80,1,4,35,0,57,0,41,1,0,0,219,476
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 64","View Royal",68,0,2,48,0,34,0,30,1,0,3,186,423
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 65","View Royal",80,0,5,33,0,42,0,36,0,0,1,197,396
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 66","View Royal",85,0,5,36,0,56,0,47,1,0,0,230,467
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 67","View Royal",64,0,3,50,1,59,0,36,0,0,0,213,379
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 68","View Royal",111,1,3,42,0,55,0,27,0,0,1,240,633
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 69","View Royal",121,0,8,89,0,80,0,76,2,0,0,376,759
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 70","View Royal",111,1,3,58,0,58,1,53,2,0,1,288,638
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 71","View Royal",95,0,7,59,0,59,0,39,3,0,0,262,585
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 72","Colwood",49,1,0,33,0,35,0,33,0,0,0,151,371
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 73","Colwood",69,0,3,43,0,37,0,36,2,0,1,191,551
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 74","Colwood",122,2,5,44,1,55,0,89,2,3,5,328,863
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 75","Saanich",71,0,7,27,0,44,0,24,0,0,1,174,414
