Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payton Ashe,Joseph Di Iorio,Emmanuel Dubourg,Konrad Lamour,Anne-Marie Lavoie,Catherine Lefebvre,Louis Léger,Françoise Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 1","Montréal-Nord",2,1,117,6,65,22,2,0,8,223,434
24015,"Bourassa/Bourassa"," 2","Montréal-Nord",5,0,122,5,48,18,1,2,13,214,526
24015,"Bourassa/Bourassa"," 3A","Montréal-Nord",5,2,137,10,117,25,0,2,11,309,520
24015,"Bourassa/Bourassa"," 3B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402B,,,,,,,,,,41
24015,"Bourassa/Bourassa"," 4","Montréal-Nord",9,1,109,20,85,24,0,0,6,254,446
24015,"Bourassa/Bourassa"," 5","Montréal-Nord",3,1,155,6,107,17,5,3,13,310,486
24015,"Bourassa/Bourassa"," 6","Montréal-Nord",4,1,73,5,24,9,1,1,6,124,394
24015,"Bourassa/Bourassa"," 7","Montréal-Nord",3,0,80,14,29,8,1,0,2,137,395
24015,"Bourassa/Bourassa"," 8","Montréal-Nord",1,0,56,8,11,10,0,0,1,87,359
24015,"Bourassa/Bourassa"," 9","Montréal-Nord",1,0,133,28,32,6,2,0,4,206,548
24015,"Bourassa/Bourassa"," 10","Montréal-Nord",0,0,54,7,24,4,3,0,4,96,422
24015,"Bourassa/Bourassa"," 11","Montréal-Nord",3,0,73,8,13,8,1,0,3,109,399
24015,"Bourassa/Bourassa"," 12","Montréal-Nord",3,0,81,10,32,7,2,0,3,138,369
24015,"Bourassa/Bourassa"," 13","Montréal-Nord",7,4,121,14,25,28,0,2,4,205,461
24015,"Bourassa/Bourassa"," 14","Montréal-Nord",4,0,64,5,18,5,1,0,5,102,347
24015,"Bourassa/Bourassa"," 15","Montréal-Nord",2,0,69,16,22,11,0,0,3,123,376
24015,"Bourassa/Bourassa"," 16","Montréal-Nord",4,0,74,6,25,6,0,0,1,116,363
24015,"Bourassa/Bourassa"," 17","Montréal-Nord",1,0,58,13,8,11,1,0,1,93,339
24015,"Bourassa/Bourassa"," 18","Montréal-Nord",2,0,158,20,37,21,1,0,1,240,408
24015,"Bourassa/Bourassa"," 19","Montréal-Nord",2,1,79,13,35,6,0,2,4,142,417
24015,"Bourassa/Bourassa"," 20","Montréal-Nord",3,2,97,6,28,13,4,1,4,158,406
24015,"Bourassa/Bourassa"," 21","Montréal-Nord",5,1,141,13,26,25,5,0,2,218,403
24015,"Bourassa/Bourassa"," 22","Montréal-Nord",5,2,101,13,38,12,0,0,3,174,490
24015,"Bourassa/Bourassa"," 23","Montréal-Nord",2,0,77,5,25,8,4,0,6,127,450
24015,"Bourassa/Bourassa"," 24","Montréal-Nord",1,0,95,9,13,5,0,0,4,127,477
24015,"Bourassa/Bourassa"," 25","Montréal-Nord",7,1,113,8,36,9,1,0,4,179,361
24015,"Bourassa/Bourassa"," 26","Montréal-Nord",8,0,110,13,44,25,0,0,5,205,517
24015,"Bourassa/Bourassa"," 27","Montréal-Nord",3,2,100,12,15,19,4,1,1,157,371
24015,"Bourassa/Bourassa"," 28","Montréal-Nord",7,0,114,12,27,8,5,0,3,176,391
24015,"Bourassa/Bourassa"," 29","Montréal-Nord",2,0,136,13,27,20,1,0,9,208,419
24015,"Bourassa/Bourassa"," 30","Montréal-Nord",4,0,76,13,25,19,2,0,2,141,360
24015,"Bourassa/Bourassa"," 31","Montréal-Nord",4,0,96,4,16,4,0,1,7,132,400
24015,"Bourassa/Bourassa"," 32","Montréal-Nord",4,1,104,10,9,17,0,0,0,145,351
24015,"Bourassa/Bourassa"," 33","Montréal-Nord",3,1,124,17,20,18,1,0,5,189,400
24015,"Bourassa/Bourassa"," 34","Montréal-Nord",4,2,163,18,15,17,6,1,11,237,491
24015,"Bourassa/Bourassa"," 35","Montréal-Nord",4,3,121,8,16,22,1,0,5,180,458
24015,"Bourassa/Bourassa"," 36","Montréal-Nord",3,1,115,10,47,18,3,0,6,203,544
24015,"Bourassa/Bourassa"," 37","Montréal-Nord",2,2,126,24,17,9,3,1,2,186,436
24015,"Bourassa/Bourassa"," 38","Montréal-Nord",3,0,130,7,20,5,0,0,7,172,476
24015,"Bourassa/Bourassa"," 39","Montréal-Nord",2,2,125,10,26,10,2,0,7,184,389
24015,"Bourassa/Bourassa"," 40","Montréal-Nord",1,1,103,18,14,6,4,0,2,149,349
24015,"Bourassa/Bourassa"," 41","Montréal-Nord",2,3,109,11,35,24,2,0,7,193,412
24015,"Bourassa/Bourassa"," 42","Montréal-Nord",13,1,134,12,17,18,2,0,5,202,426
24015,"Bourassa/Bourassa"," 43","Montréal-Nord",7,1,109,6,19,18,1,0,4,165,419
24015,"Bourassa/Bourassa"," 44","Montréal-Nord",6,1,130,9,20,17,2,0,3,188,430
24015,"Bourassa/Bourassa"," 45","Montréal-Nord",2,0,126,13,13,10,3,0,6,173,391
24015,"Bourassa/Bourassa"," 46","Montréal-Nord",3,1,101,5,19,12,3,1,3,148,309
