Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 124","Guelph",0,60,22,0,99,6,31,0,0,1,219,571
35032,"Guelph/Guelph"," 125","Guelph",1,68,44,3,127,5,79,1,0,2,330,615
35032,"Guelph/Guelph"," 126","Guelph",0,48,16,0,112,4,54,0,1,0,235,460
35032,"Guelph/Guelph"," 127","Guelph",0,58,21,0,114,0,61,0,1,2,257,440
35032,"Guelph/Guelph"," 128","Guelph",0,55,25,0,116,2,81,0,0,0,279,482
35032,"Guelph/Guelph"," 129","Guelph",0,59,34,0,94,4,51,7,0,0,249,578
35032,"Guelph/Guelph"," 130","Guelph",0,62,37,0,106,8,54,1,1,1,270,532
35032,"Guelph/Guelph"," 131","Guelph",0,40,26,0,82,1,42,2,0,2,195,352
35032,"Guelph/Guelph"," 132","Guelph",0,21,14,0,63,1,24,0,0,2,125,280
35032,"Guelph/Guelph"," 133","Guelph",0,66,20,0,151,4,68,0,0,0,309,590
35032,"Guelph/Guelph"," 134","Guelph",0,69,56,0,125,2,70,1,0,1,324,646
35032,"Guelph/Guelph"," 135","Guelph",0,38,46,0,74,5,45,0,0,0,208,417
35032,"Guelph/Guelph"," 136","Guelph",1,94,49,0,159,5,76,1,0,2,387,663
35032,"Guelph/Guelph"," 137","Guelph",0,52,34,0,115,2,53,1,0,2,259,515
35032,"Guelph/Guelph"," 138","Guelph",2,40,17,0,112,1,74,3,1,0,250,453
35032,"Guelph/Guelph"," 139","Guelph",0,41,33,0,64,6,36,1,2,5,188,479
35032,"Guelph/Guelph"," 140","Guelph",1,45,25,3,63,2,62,5,0,5,211,511
35032,"Guelph/Guelph"," 141","Guelph",1,33,21,0,106,4,54,2,1,4,226,409
35032,"Guelph/Guelph"," 142","Guelph",1,60,36,0,123,4,39,4,0,2,269,531
35032,"Guelph/Guelph"," 143","Guelph",0,48,28,0,104,4,66,6,0,0,256,527
35032,"Guelph/Guelph"," 144","Guelph",0,63,36,1,70,1,40,3,1,2,217,531
35032,"Guelph/Guelph"," 145","Guelph",0,64,21,0,59,1,45,0,0,1,191,394
35032,"Guelph/Guelph"," 146","Guelph",0,32,31,0,67,2,40,1,0,7,180,427
35032,"Guelph/Guelph"," 147","Guelph",3,23,29,2,85,3,60,1,0,1,207,515
35032,"Guelph/Guelph"," 148","Guelph",1,38,30,1,120,8,53,2,0,0,253,466
35032,"Guelph/Guelph"," 149","Guelph",3,66,28,0,114,1,66,2,0,1,281,570
35032,"Guelph/Guelph"," 150","Guelph",1,11,18,0,64,0,32,0,0,1,127,397
35032,"Guelph/Guelph"," 151","Guelph",1,53,54,1,171,5,76,5,1,3,370,742
35032,"Guelph/Guelph"," 152","Guelph",2,67,50,0,96,8,51,0,1,1,276,511
35032,"Guelph/Guelph"," 153","Guelph",1,75,52,0,101,8,50,0,1,1,289,576
35032,"Guelph/Guelph"," 154","Guelph",0,61,60,0,109,4,57,1,2,0,294,561
35032,"Guelph/Guelph"," 155","Guelph",2,60,59,1,89,2,46,2,0,2,263,546
35032,"Guelph/Guelph"," 156","Guelph",1,115,79,0,141,6,61,0,0,1,404,771
35032,"Guelph/Guelph"," 157","Guelph",0,66,51,1,132,1,50,1,0,3,305,553
35032,"Guelph/Guelph"," 158","Guelph",1,72,59,0,132,5,53,1,0,2,325,614
35032,"Guelph/Guelph"," 159","Guelph",2,66,35,0,137,3,50,1,0,2,296,549
35032,"Guelph/Guelph"," 160","Guelph",0,55,65,1,135,3,61,1,0,3,324,624
35032,"Guelph/Guelph"," 161","Guelph",1,71,35,0,164,6,104,3,0,3,387,757
35032,"Guelph/Guelph"," 162","Guelph",0,61,32,1,118,3,67,1,0,2,285,515
35032,"Guelph/Guelph"," 163","Guelph",0,60,35,0,102,10,60,0,0,0,267,526
35032,"Guelph/Guelph"," 164","Guelph",0,59,21,0,113,4,67,1,0,0,265,523
35032,"Guelph/Guelph"," 165","Guelph",1,59,32,1,125,3,67,1,0,0,289,607
35032,"Guelph/Guelph"," 166","Guelph",0,54,20,0,100,8,44,2,0,2,230,442
35032,"Guelph/Guelph"," 167","Guelph",0,60,27,1,139,1,42,4,1,3,278,517
