Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Ibrahim El-Khoury,Edline Henri,Mariam Ishak,Shahid Khan,Lisa Mintz,Martin Plante,Lee Weishar,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","Pierrefonds",19,40,47,0,12,0,6,126,3,253,527
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","Pierrefonds",17,35,26,1,9,2,0,81,1,172,395
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","Pierrefonds",16,28,33,0,23,3,3,105,3,214,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","Pierrefonds",12,24,22,0,17,1,3,86,6,171,348
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","Pierrefonds",11,7,21,2,3,1,4,92,4,145,347
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","Pierrefonds",8,6,14,1,5,1,1,96,6,138,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","Pierrefonds",26,30,36,0,10,1,1,101,3,208,447
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","Pierrefonds",30,24,25,1,8,1,1,88,3,181,395
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","Pierrefonds",17,16,15,0,4,2,1,140,1,196,446
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","Pierrefonds",17,19,21,0,12,1,0,97,3,170,371
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","Pierrefonds",16,4,8,0,3,0,0,115,7,153,359
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","Pierrefonds",10,12,22,0,4,0,0,116,5,169,381
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","Pierrefonds",14,5,8,1,3,1,1,116,18,167,401
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","Pierrefonds",17,9,16,0,3,0,1,69,0,115,261
