Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Chaurette,Guy Dostaler,Sylvie Goneau,Mario-Roberto Lam,Steven MacKinnon,Geneviève Nadeau,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Gatineau/Gatineau"," 1","Gatineau",9,8,17,2,60,47,0,0,143,425
24027,"Gatineau/Gatineau"," 2","Gatineau",32,4,29,4,125,60,0,2,256,392
24027,"Gatineau/Gatineau"," 3","Gatineau",47,11,22,5,157,48,0,1,291,636
24027,"Gatineau/Gatineau"," 4","Gatineau",34,12,26,5,119,61,1,4,262,475
24027,"Gatineau/Gatineau"," 5","Gatineau",40,10,25,1,148,88,1,2,315,526
24027,"Gatineau/Gatineau"," 6","Gatineau",30,7,26,3,130,52,1,4,253,420
24027,"Gatineau/Gatineau"," 7","Gatineau",31,14,22,2,88,58,0,3,218,511
24027,"Gatineau/Gatineau"," 8","Gatineau",38,10,24,8,156,43,0,2,281,499
24027,"Gatineau/Gatineau"," 9","Gatineau",42,5,37,0,116,46,0,4,250,472
24027,"Gatineau/Gatineau"," 10","Gatineau",47,12,17,1,145,58,0,2,282,557
24027,"Gatineau/Gatineau"," 11","Gatineau",22,11,19,2,100,50,1,5,210,414
24027,"Gatineau/Gatineau"," 12","Gatineau",39,10,12,2,118,47,0,7,235,482
24027,"Gatineau/Gatineau"," 13","Gatineau",33,9,10,3,84,38,0,1,178,364
24027,"Gatineau/Gatineau"," 14","Gatineau",14,1,16,3,77,34,0,0,145,301
24027,"Gatineau/Gatineau"," 15","Gatineau",18,6,23,3,89,31,0,2,172,330
24027,"Gatineau/Gatineau"," 16","Gatineau",31,14,12,2,93,38,0,1,191,444
24027,"Gatineau/Gatineau"," 17","Gatineau",25,6,21,4,89,44,0,3,192,393
24027,"Gatineau/Gatineau"," 18","Gatineau",23,11,18,3,129,60,0,0,244,504
24027,"Gatineau/Gatineau"," 19","Gatineau",29,5,24,2,116,57,2,5,240,500
24027,"Gatineau/Gatineau"," 20","Gatineau",21,4,29,0,115,52,1,4,226,443
24027,"Gatineau/Gatineau"," 21","Gatineau",38,11,21,5,95,45,0,2,217,418
