Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Vance Badawey,Nic Bylsma,April Jeffs,Andrew Sainz-Nieto,Michael Tomaino,Robert Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 122","Welland",79,51,0,52,0,9,0,0,191,487
35066,"Niagara Centre/Niagara-Centre"," 123","Welland",73,86,1,48,2,7,1,1,219,465
35066,"Niagara Centre/Niagara-Centre"," 124","Welland",59,72,0,52,1,8,0,6,198,361
35066,"Niagara Centre/Niagara-Centre"," 125","Welland",60,53,2,51,3,7,1,3,180,443
35066,"Niagara Centre/Niagara-Centre"," 126","Welland",86,75,1,75,2,13,1,2,255,555
35066,"Niagara Centre/Niagara-Centre"," 127","Welland",43,65,1,78,1,13,0,1,202,413
35066,"Niagara Centre/Niagara-Centre"," 128","Welland",52,101,4,85,3,12,0,0,257,523
35066,"Niagara Centre/Niagara-Centre"," 129","Welland",76,103,0,68,2,11,0,4,264,538
35066,"Niagara Centre/Niagara-Centre"," 130","Welland",48,97,1,93,0,19,0,1,259,499
35066,"Niagara Centre/Niagara-Centre"," 131","Welland",58,137,2,94,3,9,0,2,305,600
35066,"Niagara Centre/Niagara-Centre"," 132","Welland",51,101,1,107,0,16,0,0,276,497
35066,"Niagara Centre/Niagara-Centre"," 133","Welland",90,52,0,62,2,13,1,2,222,562
35066,"Niagara Centre/Niagara-Centre"," 134","Welland",61,28,1,31,5,11,0,2,139,412
35066,"Niagara Centre/Niagara-Centre"," 135","Welland",84,57,3,53,0,7,0,2,206,424
35066,"Niagara Centre/Niagara-Centre"," 136","Welland",83,60,0,45,4,13,0,0,205,488
35066,"Niagara Centre/Niagara-Centre"," 137","Welland",64,65,3,42,2,14,1,1,192,486
35066,"Niagara Centre/Niagara-Centre"," 138","Welland",87,72,2,58,2,8,2,2,233,484
35066,"Niagara Centre/Niagara-Centre"," 139","Welland",50,55,1,40,3,8,0,0,157,423
35066,"Niagara Centre/Niagara-Centre"," 140","Welland",77,78,0,78,4,14,0,2,253,552
