Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John P. Hendry,Michael Ma,Yasmin Ratansi,Nicholas Thompson,Dan Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 1","North York",1,73,172,34,9,2,291,515
35019,"Don Valley East/Don Valley-Est"," 2","North York",5,95,138,30,7,1,276,490
35019,"Don Valley East/Don Valley-Est"," 3","North York",3,70,137,29,8,2,249,470
35019,"Don Valley East/Don Valley-Est"," 4","North York",0,19,62,21,9,1,112,329
35019,"Don Valley East/Don Valley-Est"," 5","North York",2,35,103,21,7,0,168,396
35019,"Don Valley East/Don Valley-Est"," 6","North York",0,51,91,25,9,2,178,349
35019,"Don Valley East/Don Valley-Est"," 7","North York",6,66,117,18,11,1,219,435
35019,"Don Valley East/Don Valley-Est"," 8","North York",6,24,106,29,11,4,180,507
35019,"Don Valley East/Don Valley-Est"," 9","North York",0,31,62,10,4,0,107,268
35019,"Don Valley East/Don Valley-Est"," 10","North York",4,37,107,22,11,3,184,449
35019,"Don Valley East/Don Valley-Est"," 11A","North York",3,34,105,19,10,0,171,297
35019,"Don Valley East/Don Valley-Est"," 11B","North York",2,42,78,16,1,0,139,303
35019,"Don Valley East/Don Valley-Est"," 12","North York",1,15,98,31,12,0,157,459
35019,"Don Valley East/Don Valley-Est"," 13","North York",2,30,128,19,10,1,190,445
35019,"Don Valley East/Don Valley-Est"," 14","North York",4,35,90,11,4,0,144,389
35019,"Don Valley East/Don Valley-Est"," 15A","North York",1,30,85,17,6,0,139,293
35019,"Don Valley East/Don Valley-Est"," 15B","North York",2,34,77,16,2,0,131,288
35019,"Don Valley East/Don Valley-Est"," 16","North York",2,82,138,19,11,1,253,488
35019,"Don Valley East/Don Valley-Est"," 17","North York",4,55,102,25,7,2,195,479
35019,"Don Valley East/Don Valley-Est"," 18","North York",1,43,85,18,6,0,153,282
35019,"Don Valley East/Don Valley-Est"," 19","North York",9,75,105,44,17,6,256,484
35019,"Don Valley East/Don Valley-Est"," 20","North York",4,57,175,41,8,3,288,539
35019,"Don Valley East/Don Valley-Est"," 21","North York",2,36,80,14,1,0,133,317
35019,"Don Valley East/Don Valley-Est"," 22","North York",4,57,115,26,6,3,211,434
35019,"Don Valley East/Don Valley-Est"," 23","North York",3,23,81,23,7,3,140,385
35019,"Don Valley East/Don Valley-Est"," 24","North York",5,53,87,13,3,5,166,331
35019,"Don Valley East/Don Valley-Est"," 25","North York",3,30,60,4,8,2,107,263
35019,"Don Valley East/Don Valley-Est"," 26","North York",4,54,73,16,11,1,159,374
35019,"Don Valley East/Don Valley-Est"," 27","North York",9,17,174,15,6,3,224,395
35019,"Don Valley East/Don Valley-Est"," 28","North York",3,103,113,40,11,0,270,511
35019,"Don Valley East/Don Valley-Est"," 29","North York",2,43,144,48,13,4,254,562
35019,"Don Valley East/Don Valley-Est"," 30","North York",3,46,114,37,4,3,207,525
35019,"Don Valley East/Don Valley-Est"," 31","North York",2,81,116,20,16,3,238,469
35019,"Don Valley East/Don Valley-Est"," 32","North York",1,13,80,15,8,0,117,309
35019,"Don Valley East/Don Valley-Est"," 33","North York",1,23,58,24,4,1,111,329
35019,"Don Valley East/Don Valley-Est"," 34","North York",3,58,101,15,7,2,186,367
35019,"Don Valley East/Don Valley-Est"," 35","North York",7,47,97,32,7,0,190,432
35019,"Don Valley East/Don Valley-Est"," 36","North York",2,77,75,13,15,1,183,331
35019,"Don Valley East/Don Valley-Est"," 37","North York",3,78,118,13,8,0,220,368
35019,"Don Valley East/Don Valley-Est"," 38","North York",1,23,103,26,7,1,161,476
35019,"Don Valley East/Don Valley-Est"," 39","North York",2,41,127,56,8,2,236,460
35019,"Don Valley East/Don Valley-Est"," 40","North York",4,73,115,15,7,0,214,419
35019,"Don Valley East/Don Valley-Est"," 41","North York",1,41,74,11,9,0,136,350
35019,"Don Valley East/Don Valley-Est"," 42","North York",4,43,81,12,10,1,151,320
35019,"Don Valley East/Don Valley-Est"," 43","North York",0,66,82,10,10,3,171,347
35019,"Don Valley East/Don Valley-Est"," 44","North York",7,67,70,19,9,2,174,394
35019,"Don Valley East/Don Valley-Est"," 45","North York",0,32,69,25,7,2,135,322
35019,"Don Valley East/Don Valley-Est"," 46","North York",0,67,82,20,9,2,180,434
35019,"Don Valley East/Don Valley-Est"," 47","North York",3,77,104,10,10,1,205,465
35019,"Don Valley East/Don Valley-Est"," 48","North York",0,76,121,13,8,1,219,387
35019,"Don Valley East/Don Valley-Est"," 49","North York",4,80,66,24,15,1,190,394
35019,"Don Valley East/Don Valley-Est"," 50","North York",0,52,61,16,7,0,136,368
35019,"Don Valley East/Don Valley-Est"," 51","North York",6,45,78,35,11,0,175,485
35019,"Don Valley East/Don Valley-Est"," 52","North York",3,66,126,19,5,1,220,402
35019,"Don Valley East/Don Valley-Est"," 53","North York",2,39,77,36,5,0,159,360
35019,"Don Valley East/Don Valley-Est"," 54","North York",6,55,121,29,14,3,228,494
35019,"Don Valley East/Don Valley-Est"," 55","North York",4,37,75,33,10,0,159,337
35019,"Don Valley East/Don Valley-Est"," 56","North York",3,33,133,9,1,5,184,426
35019,"Don Valley East/Don Valley-Est"," 57","North York",1,64,101,26,13,1,206,391
35019,"Don Valley East/Don Valley-Est"," 58","North York",3,55,101,27,4,6,196,438
35019,"Don Valley East/Don Valley-Est"," 59","North York",0,57,94,13,4,0,168,426
35019,"Don Valley East/Don Valley-Est"," 60A","North York",4,29,57,21,3,1,115,319
35019,"Don Valley East/Don Valley-Est"," 60B","North York",5,38,56,21,4,2,126,285
35019,"Don Valley East/Don Valley-Est"," 61","North York",4,63,110,27,3,4,211,496
35019,"Don Valley East/Don Valley-Est"," 62","North York",3,76,128,18,9,2,236,440
35019,"Don Valley East/Don Valley-Est"," 63","North York",0,64,121,20,9,2,216,420
35019,"Don Valley East/Don Valley-Est"," 64","North York",1,80,124,20,12,1,238,431
35019,"Don Valley East/Don Valley-Est"," 65","North York",3,39,74,11,3,1,131,356
35019,"Don Valley East/Don Valley-Est"," 66","North York",0,66,117,13,13,1,210,567
35019,"Don Valley East/Don Valley-Est"," 67","North York",3,36,77,21,8,0,145,375
35019,"Don Valley East/Don Valley-Est"," 68","North York",3,86,112,16,7,3,227,484
35019,"Don Valley East/Don Valley-Est"," 69","North York",2,58,109,38,6,1,214,585
35019,"Don Valley East/Don Valley-Est"," 70","North York",6,70,115,40,18,2,251,461
35019,"Don Valley East/Don Valley-Est"," 71","North York",2,28,62,13,8,1,114,258
35019,"Don Valley East/Don Valley-Est"," 72","North York",3,35,85,25,6,9,163,451
35019,"Don Valley East/Don Valley-Est"," 73","North York",4,68,112,19,7,2,212,422
35019,"Don Valley East/Don Valley-Est"," 74","North York",3,30,94,23,8,5,163,420
35019,"Don Valley East/Don Valley-Est"," 75","North York",5,58,176,24,16,3,282,482
35019,"Don Valley East/Don Valley-Est"," 76","North York",8,72,133,25,10,2,250,423
35019,"Don Valley East/Don Valley-Est"," 77","North York",2,64,103,22,6,0,197,384
35019,"Don Valley East/Don Valley-Est"," 78","North York",6,28,61,31,11,2,139,279
35019,"Don Valley East/Don Valley-Est"," 79","North York",3,39,112,43,14,3,214,457
35019,"Don Valley East/Don Valley-Est"," 80","North York",2,34,92,30,12,0,170,344
35019,"Don Valley East/Don Valley-Est"," 81","North York",3,67,128,34,11,4,247,352
35019,"Don Valley East/Don Valley-Est"," 82A","North York",5,31,116,43,6,1,202,397
35019,"Don Valley East/Don Valley-Est"," 82B","North York",2,29,118,42,11,0,202,389
35019,"Don Valley East/Don Valley-Est"," 83","North York",0,54,94,14,7,1,170,299
35019,"Don Valley East/Don Valley-Est"," 84","North York",4,44,117,24,16,0,205,451
35019,"Don Valley East/Don Valley-Est"," 85","North York",1,33,64,17,13,2,130,309
35019,"Don Valley East/Don Valley-Est"," 86A","North York",0,37,84,14,3,1,139,294
