Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Bettess,Terry Duguid,Jean-Paul Lapointe,Melanie Maher,Mirwais Nasiri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 1","Winnipeg",12,72,33,81,3,0,201,442
46013,"Winnipeg South/Winnipeg-Sud"," 2","Winnipeg",10,116,30,58,2,0,216,460
46013,"Winnipeg South/Winnipeg-Sud"," 3","Winnipeg",12,92,23,72,0,0,199,354
46013,"Winnipeg South/Winnipeg-Sud"," 4","Winnipeg",14,68,34,67,1,0,184,365
46013,"Winnipeg South/Winnipeg-Sud"," 5","Winnipeg",5,87,40,45,5,0,182,362
46013,"Winnipeg South/Winnipeg-Sud"," 6","Winnipeg",11,68,45,62,1,0,187,351
46013,"Winnipeg South/Winnipeg-Sud"," 7","Winnipeg",12,81,48,84,1,3,229,426
46013,"Winnipeg South/Winnipeg-Sud"," 8","Winnipeg",8,64,23,73,1,0,169,368
46013,"Winnipeg South/Winnipeg-Sud"," 9","Winnipeg",9,91,47,96,2,1,246,441
46013,"Winnipeg South/Winnipeg-Sud"," 10","Winnipeg",6,95,47,93,2,1,244,463
46013,"Winnipeg South/Winnipeg-Sud"," 11","Winnipeg",11,55,29,45,2,3,145,365
46013,"Winnipeg South/Winnipeg-Sud"," 12","Winnipeg",13,102,39,78,0,5,237,414
46013,"Winnipeg South/Winnipeg-Sud"," 13","Winnipeg",13,78,32,74,2,0,199,393
46013,"Winnipeg South/Winnipeg-Sud"," 14","Winnipeg",19,82,32,67,2,1,203,392
46013,"Winnipeg South/Winnipeg-Sud"," 15","Winnipeg",15,93,32,63,0,0,203,388
46013,"Winnipeg South/Winnipeg-Sud"," 16","Winnipeg",6,75,21,75,1,1,179,401
46013,"Winnipeg South/Winnipeg-Sud"," 17","Winnipeg",8,108,22,66,2,1,207,468
46013,"Winnipeg South/Winnipeg-Sud"," 18","Winnipeg",8,80,47,75,6,3,219,431
46013,"Winnipeg South/Winnipeg-Sud"," 19","Winnipeg",9,87,52,88,3,4,243,448
46013,"Winnipeg South/Winnipeg-Sud"," 20","Winnipeg",5,86,32,75,0,0,198,392
46013,"Winnipeg South/Winnipeg-Sud"," 21","Winnipeg",9,54,47,74,1,1,186,501
46013,"Winnipeg South/Winnipeg-Sud"," 22","Winnipeg",16,106,34,75,0,0,231,455
46013,"Winnipeg South/Winnipeg-Sud"," 23","Winnipeg",12,143,50,67,1,0,273,505
46013,"Winnipeg South/Winnipeg-Sud"," 24","Winnipeg",17,111,43,73,0,2,246,493
46013,"Winnipeg South/Winnipeg-Sud"," 25","Winnipeg",11,117,66,86,2,1,283,579
46013,"Winnipeg South/Winnipeg-Sud"," 26","Winnipeg",9,89,34,94,3,0,229,462
46013,"Winnipeg South/Winnipeg-Sud"," 27","Winnipeg",7,122,24,122,1,1,277,569
46013,"Winnipeg South/Winnipeg-Sud"," 28","Winnipeg",11,102,35,127,3,0,278,534
46013,"Winnipeg South/Winnipeg-Sud"," 29","Winnipeg",17,94,33,109,1,0,254,456
46013,"Winnipeg South/Winnipeg-Sud"," 30","Winnipeg",9,136,46,135,2,1,329,531
46013,"Winnipeg South/Winnipeg-Sud"," 31","Winnipeg",12,99,41,109,0,1,262,471
46013,"Winnipeg South/Winnipeg-Sud"," 32","Winnipeg",17,88,42,40,6,3,196,462
46013,"Winnipeg South/Winnipeg-Sud"," 33A","Winnipeg",5,51,36,20,3,2,117,299
46013,"Winnipeg South/Winnipeg-Sud"," 33B","Winnipeg",6,65,31,61,2,2,167,331
46013,"Winnipeg South/Winnipeg-Sud"," 34","Winnipeg",7,111,24,78,4,1,225,471
46013,"Winnipeg South/Winnipeg-Sud"," 35","Winnipeg",7,73,32,65,1,5,183,321
46013,"Winnipeg South/Winnipeg-Sud"," 36","Winnipeg",12,77,19,71,2,0,181,319
46013,"Winnipeg South/Winnipeg-Sud"," 37","Winnipeg",14,119,45,76,5,1,260,424
