Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julian Bonello-Stauch,Hugo Clénin,Gisèle Desroches,Mathieu Goyette,Marc Labelle,Isabel Sayegh,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 1","Saint-Liguori",5,2,19,9,3,21,101,0,160,341
24050,"Montcalm/Montcalm"," 2","Saint-Liguori",14,2,25,8,0,49,160,7,265,430
24050,"Montcalm/Montcalm"," 3","Saint-Liguori",7,2,26,9,3,53,177,7,284,450
24050,"Montcalm/Montcalm"," 4","Saint-Liguori",2,3,15,10,1,30,138,7,206,345
24050,"Montcalm/Montcalm"," 5","Sainte-Julienne",3,0,3,6,0,18,78,3,111,376
24050,"Montcalm/Montcalm"," 6","Sainte-Julienne",15,1,13,7,0,35,104,5,180,411
24050,"Montcalm/Montcalm"," 7","Sainte-Julienne",9,2,12,1,0,18,63,6,111,244
24050,"Montcalm/Montcalm"," 8","Sainte-Julienne",14,3,8,5,1,34,101,3,169,471
24050,"Montcalm/Montcalm"," 9","Sainte-Julienne",3,2,16,3,2,23,56,3,108,259
24050,"Montcalm/Montcalm"," 10","Sainte-Julienne",4,0,12,10,2,27,119,5,179,477
24050,"Montcalm/Montcalm"," 11","Sainte-Julienne",7,0,10,10,2,34,79,5,147,403
24050,"Montcalm/Montcalm"," 12","Sainte-Julienne",9,3,12,8,0,31,78,4,145,434
24050,"Montcalm/Montcalm"," 13","Saint-Jacques",9,0,11,12,0,21,72,3,128,380
24050,"Montcalm/Montcalm"," 14","Saint-Jacques",12,1,6,7,1,31,73,2,133,320
24050,"Montcalm/Montcalm"," 15","Saint-Alexis",14,1,12,11,0,34,121,0,193,407
24050,"Montcalm/Montcalm"," 16","Saint-Alexis",12,1,13,4,3,29,91,0,153,297
24050,"Montcalm/Montcalm"," 17","Saint-Alexis",12,3,15,8,2,23,87,3,153,285
24050,"Montcalm/Montcalm"," 18","Sainte-Julienne",7,1,13,5,1,22,84,1,134,337
24050,"Montcalm/Montcalm"," 19","Sainte-Julienne",19,0,17,5,1,29,130,3,204,492
24050,"Montcalm/Montcalm"," 20","Sainte-Julienne",17,1,12,9,2,18,114,5,178,437
24050,"Montcalm/Montcalm"," 21","Sainte-Julienne",3,0,8,3,2,19,38,3,76,292
24050,"Montcalm/Montcalm"," 22","Sainte-Marie-Salomé",8,4,13,10,2,18,114,4,173,260
24050,"Montcalm/Montcalm"," 23","Sainte-Marie-Salomé",9,1,6,10,0,41,141,7,215,336
24050,"Montcalm/Montcalm"," 24","Sainte-Marie-Salomé",9,1,24,7,1,31,143,2,218,392
24050,"Montcalm/Montcalm"," 25","Saint-Jacques",14,1,19,8,1,38,103,9,193,398
24050,"Montcalm/Montcalm"," 26","Saint-Jacques",7,2,17,5,0,29,85,4,149,300
24050,"Montcalm/Montcalm"," 27","Saint-Jacques",7,2,20,4,2,29,90,1,155,377
24050,"Montcalm/Montcalm"," 28","Saint-Jacques",6,0,7,7,3,17,86,2,128,278
24050,"Montcalm/Montcalm"," 29","Saint-Jacques",8,2,15,9,0,16,112,5,167,311
24050,"Montcalm/Montcalm"," 30","Saint-Jacques",13,1,18,13,1,28,109,3,186,379
24050,"Montcalm/Montcalm"," 31","Saint-Jacques",12,2,12,7,1,19,96,6,155,325
24050,"Montcalm/Montcalm"," 32","Saint-Jacques",6,0,12,15,5,16,91,7,152,287
24050,"Montcalm/Montcalm"," 33","Sainte-Julienne",1,1,14,5,1,26,60,3,111,324
24050,"Montcalm/Montcalm"," 34","Sainte-Julienne",8,3,16,7,1,29,107,4,175,449
24050,"Montcalm/Montcalm"," 35","Sainte-Julienne",8,0,9,1,0,17,69,3,107,353
24050,"Montcalm/Montcalm"," 36","Sainte-Julienne",11,1,8,10,0,23,66,4,123,368
24050,"Montcalm/Montcalm"," 37","Sainte-Julienne",11,0,11,5,0,13,100,4,144,370
24050,"Montcalm/Montcalm"," 38","Sainte-Julienne",8,2,15,4,1,27,118,5,180,559
24050,"Montcalm/Montcalm"," 39","Sainte-Julienne",3,4,15,5,2,11,92,5,137,357
