Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Jacques Desgranges,Darcy Neal Donnelly,Francis Drouin,Daniel John Fey,Marc-Antoine Gagnier,Pierre Lemieux,Marthe Lépine,Konstantine Malakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 45","Treadwell",3,2,82,0,0,44,0,16,2,149,265
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 46","Alfred and Plantagenet",3,0,89,0,0,62,8,14,0,176,324
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 47","Vankleek Hill",1,0,48,0,0,63,1,21,1,135,335
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 48","Vankleek Hill",2,1,61,0,0,69,2,9,1,145,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 49","Vankleek Hill",1,0,67,0,0,60,6,22,1,157,337
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 50","Vankleek Hill",6,1,92,0,2,84,6,30,0,221,471
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 51","McAlpine",1,0,45,0,0,51,8,9,1,115,233
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 52","Aberdeen",4,1,78,0,0,126,8,11,2,230,432
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53","Coins Gratton",15,2,116,1,0,66,5,16,4,225,408
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 54","Alfred",8,0,136,0,2,48,12,21,0,227,465
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55","Alfred",1,1,82,2,1,41,6,19,3,156,380
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 56","Alfred and Plantagenet",7,0,131,1,1,54,2,16,4,216,483
