Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Fortin,Sylvie Fréchette,Florence Gagnon,Joey Leckman,Normand Michaud,Myriam Ouellette,Nicolas Riqueur-Lainé,Lucie St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",109,13,15,8,1,14,0,0,4,164,374
24063,"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",89,8,47,7,2,15,0,1,1,170,472
24063,"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",62,5,26,9,0,5,0,0,1,108,279
24063,"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",46,7,36,8,2,8,1,0,1,109,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",71,20,24,21,0,7,1,0,3,147,326
24063,"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",82,8,29,15,0,13,0,0,2,149,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",102,15,34,10,2,10,0,0,0,173,471
24063,"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",91,14,39,15,0,7,0,0,8,174,433
24063,"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",83,24,38,12,2,21,0,1,2,183,440
24063,"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",88,18,33,14,0,17,0,0,3,173,426
24063,"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",69,11,32,7,2,10,0,2,0,133,286
24063,"Rivière-du-Nord/Rivière-du-Nord"," 12","Saint-Hippolyte",56,16,30,10,0,13,0,0,0,125,341
24063,"Rivière-du-Nord/Rivière-du-Nord"," 13","Saint-Hippolyte",69,18,32,16,1,8,0,0,7,151,339
24063,"Rivière-du-Nord/Rivière-du-Nord"," 14","Saint-Hippolyte",99,23,52,10,0,23,0,0,0,207,467
24063,"Rivière-du-Nord/Rivière-du-Nord"," 15","Saint-Hippolyte",80,13,27,14,1,18,1,1,5,160,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 16A","Saint-Hippolyte",114,27,25,7,5,19,1,0,5,203,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 16B","Saint-Hippolyte",96,20,28,7,1,12,0,0,3,167,416
24063,"Rivière-du-Nord/Rivière-du-Nord"," 17","Saint-Hippolyte",66,15,21,13,0,13,1,0,2,131,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 18","Saint-Hippolyte",76,10,34,14,0,9,1,1,5,150,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 19","Saint-Hippolyte",89,18,20,8,2,10,0,0,3,150,342
24063,"Rivière-du-Nord/Rivière-du-Nord"," 20","Saint-Hippolyte",110,21,43,16,1,9,4,1,3,208,429
24063,"Rivière-du-Nord/Rivière-du-Nord"," 21","Prévost",105,15,48,18,1,21,0,0,1,209,442
24063,"Rivière-du-Nord/Rivière-du-Nord"," 22","Saint-Hippolyte",86,12,38,13,0,8,0,0,1,158,370
24063,"Rivière-du-Nord/Rivière-du-Nord"," 23","Prévost",105,15,39,31,1,15,0,0,1,207,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 24","Prévost",75,22,56,18,1,19,0,0,3,194,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 25","Prévost",96,15,52,12,2,11,1,0,2,191,414
24063,"Rivière-du-Nord/Rivière-du-Nord"," 26","Prévost",137,25,70,28,0,27,0,2,0,289,541
24063,"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",79,22,14,9,0,12,3,0,4,143,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",80,21,28,16,0,14,1,0,6,166,445
24063,"Rivière-du-Nord/Rivière-du-Nord"," 29","Sainte-Sophie",113,18,24,16,1,17,3,0,9,201,439
24063,"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",96,25,48,15,1,13,0,0,0,198,446
24063,"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",100,18,29,10,0,18,0,0,4,179,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",140,27,30,11,0,19,0,2,5,234,447
24063,"Rivière-du-Nord/Rivière-du-Nord"," 33","Prévost",88,10,35,16,3,8,0,0,1,161,357
24063,"Rivière-du-Nord/Rivière-du-Nord"," 34A","Prévost",101,10,50,20,3,10,2,1,1,198,450
24063,"Rivière-du-Nord/Rivière-du-Nord"," 34B","Mobile poll/Bureau itinérant",3,6,18,1,1,0,1,1,2,33,44
24063,"Rivière-du-Nord/Rivière-du-Nord"," 35","Prévost",74,13,41,10,1,12,0,0,2,153,350
24063,"Rivière-du-Nord/Rivière-du-Nord"," 36","Prévost",68,13,64,12,3,13,0,0,3,176,397
24063,"Rivière-du-Nord/Rivière-du-Nord"," 37","Prévost",75,25,39,16,0,18,1,0,0,174,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 38","Prévost",116,25,49,18,1,19,0,0,3,231,446
24063,"Rivière-du-Nord/Rivière-du-Nord"," 39","Sainte-Sophie",137,28,50,15,1,16,0,1,8,256,451
24063,"Rivière-du-Nord/Rivière-du-Nord"," 40","Sainte-Sophie",115,29,46,14,2,14,2,1,8,231,530
24063,"Rivière-du-Nord/Rivière-du-Nord"," 41","Sainte-Sophie",72,15,36,10,2,11,1,0,3,150,415
