Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Anderson-Fennell,Amarit Bains,Tony Bennett,Tanya Corbet,Craig DeCraene,Angelina Ireland,Carla Qualtrough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 76","Delta",36,4,1,55,9,2,77,1,185,423
59011,"Delta/Delta"," 77","Delta",54,4,1,46,4,6,116,2,233,500
59011,"Delta/Delta"," 78","Delta",72,3,1,69,16,4,110,4,279,507
59011,"Delta/Delta"," 79","Delta",38,2,0,53,9,2,65,2,171,348
59011,"Delta/Delta"," 80","Delta",52,4,2,40,5,2,75,1,181,359
59011,"Delta/Delta"," 81","Delta",33,2,4,83,25,5,102,9,263,568
59011,"Delta/Delta"," 82","Delta",53,2,2,37,7,1,96,1,199,482
59011,"Delta/Delta"," 83","Delta",37,2,4,53,6,1,73,1,177,331
59011,"Delta/Delta"," 84","Delta",46,2,1,41,7,3,67,4,171,445
59011,"Delta/Delta"," 85","Delta",40,1,1,34,6,6,72,1,161,401
59011,"Delta/Delta"," 86","Delta",34,1,1,57,8,5,93,0,199,545
59011,"Delta/Delta"," 87","Delta",58,1,2,39,9,1,57,1,168,374
59011,"Delta/Delta"," 88","Delta",46,0,0,28,11,3,34,3,125,386
59011,"Delta/Delta"," 89","Delta",Merged with No./Fusionné avec le n°55,,,,,,,,,406
59011,"Delta/Delta"," 90","Delta",59,0,6,73,20,6,92,5,261,630
59011,"Delta/Delta"," 91","Delta",46,0,3,38,8,0,86,0,181,384
59011,"Delta/Delta"," 92","Delta",33,2,2,32,6,2,91,2,170,429
59011,"Delta/Delta"," 93","Delta",52,3,3,52,14,5,112,1,242,534
59011,"Delta/Delta"," 94","Delta",41,2,6,47,7,1,67,1,172,363
59011,"Delta/Delta"," 95","Delta",68,9,2,53,15,2,119,4,272,484
59011,"Delta/Delta"," 96","Delta",48,2,3,52,11,3,145,2,266,525
59011,"Delta/Delta"," 97","Delta",42,2,0,82,14,8,97,2,247,461
59011,"Delta/Delta"," 98","Delta",35,1,1,53,15,2,67,1,175,425
59011,"Delta/Delta"," 99","Delta",43,1,4,70,17,4,100,1,240,521
59011,"Delta/Delta"," 100","Delta",46,3,0,87,6,11,81,3,237,483
59011,"Delta/Delta"," 101","Delta",45,4,3,100,13,6,139,0,310,550
59011,"Delta/Delta"," 102","Delta",42,0,2,73,15,4,124,0,260,454
59011,"Delta/Delta"," 103","Delta",48,1,1,66,14,2,97,2,231,460
59011,"Delta/Delta"," 104","Delta",39,1,2,92,10,6,83,1,234,457
59011,"Delta/Delta"," 105","Delta",34,3,1,58,19,2,99,0,216,472
59011,"Delta/Delta"," 106","Delta",40,0,1,67,9,3,103,0,223,458
59011,"Delta/Delta"," 107","Delta",35,0,1,84,12,1,85,1,219,529
59011,"Delta/Delta"," 108","Delta",46,1,1,91,10,10,97,1,257,541
59011,"Delta/Delta"," 109","Delta",31,2,1,65,15,0,86,2,202,432
59011,"Delta/Delta"," 110","Delta",44,4,1,94,15,5,82,0,245,479
59011,"Delta/Delta"," 111","Delta",34,2,1,78,6,5,44,1,171,480
59011,"Delta/Delta"," 112","Delta",28,0,0,100,5,8,76,0,217,536
59011,"Delta/Delta"," 113","Delta",21,0,0,48,14,7,61,0,151,349
59011,"Delta/Delta"," 114","Delta",33,2,0,86,11,2,64,0,198,467
59011,"Delta/Delta"," 115","Delta",38,0,1,66,17,3,60,0,185,457
59011,"Delta/Delta"," 116","Delta",25,0,1,42,9,1,44,0,122,297
59011,"Delta/Delta"," 117","Delta",27,2,0,69,6,1,71,1,177,390
59011,"Delta/Delta"," 118","Delta",37,5,0,95,11,4,95,5,252,480
59011,"Delta/Delta"," 119","Delta",67,2,1,81,20,0,88,1,260,483
59011,"Delta/Delta"," 120","Delta",43,0,1,96,9,2,125,1,277,455
59011,"Delta/Delta"," 121","Delta",28,1,2,106,7,4,106,2,256,484
59011,"Delta/Delta"," 122","Delta",43,1,2,74,13,5,112,2,252,427
59011,"Delta/Delta"," 123","Delta",44,0,2,88,6,3,119,0,262,442
59011,"Delta/Delta"," 124","Delta",33,0,0,82,14,2,90,4,225,399
59011,"Delta/Delta"," 125","Delta",41,0,5,107,8,2,110,2,275,470
59011,"Delta/Delta"," 126","Delta",28,3,1,69,12,3,58,2,176,361
59011,"Delta/Delta"," 127","Delta",15,2,1,65,14,0,75,0,172,415
59011,"Delta/Delta"," 128","Delta",11,0,1,107,6,1,118,0,244,570
59011,"Delta/Delta"," 129","Delta",28,1,0,53,8,3,56,0,149,457
59011,"Delta/Delta"," 130","Delta",20,2,1,80,22,2,93,1,221,437
59011,"Delta/Delta"," 131","Delta",30,4,0,69,13,3,105,0,224,425
59011,"Delta/Delta"," 132","Delta",32,2,1,66,20,2,110,1,234,468
59011,"Delta/Delta"," 133","Delta",31,0,1,81,22,5,92,0,232,454
59011,"Delta/Delta"," 134","Delta",29,1,0,77,22,7,87,1,224,408
59011,"Delta/Delta"," 135","Delta",16,1,3,97,22,4,99,0,242,478
59011,"Delta/Delta"," 136","Delta",28,2,0,68,13,4,109,2,226,618
59011,"Delta/Delta"," 137","Delta",37,1,0,86,19,3,161,4,311,508
59011,"Delta/Delta"," 138","Delta",26,0,3,72,16,2,91,0,210,529
59011,"Delta/Delta"," 139","Delta",24,0,0,38,10,0,68,0,140,250
59011,"Delta/Delta"," 140","Delta",34,0,2,65,16,1,138,0,256,462
59011,"Delta/Delta"," 141","Delta",26,0,0,69,24,4,110,0,233,475
59011,"Delta/Delta"," 142","Delta",36,2,4,96,20,6,93,0,257,449
59011,"Delta/Delta"," 143","Delta",33,1,1,58,10,5,70,0,178,341
59011,"Delta/Delta"," 144","Delta",49,0,0,108,24,1,93,3,278,471
59011,"Delta/Delta"," 145","Delta",45,0,1,97,23,9,85,0,260,487
59011,"Delta/Delta"," 146","Delta",24,2,1,59,21,3,69,0,179,514
59011,"Delta/Delta"," 147","Delta",29,1,1,64,17,3,123,1,239,534
59011,"Delta/Delta"," 148","Delta",35,2,3,71,14,4,119,1,249,498
59011,"Delta/Delta"," 149","Delta",29,1,4,57,20,6,95,6,218,425
59011,"Delta/Delta"," 150","Delta",20,1,1,62,12,2,83,0,181,423
59011,"Delta/Delta"," 151","Delta",26,1,0,86,19,8,83,0,223,457
59011,"Delta/Delta"," 152","Delta",12,0,3,106,6,5,85,5,222,432
59011,"Delta/Delta"," 153","Delta",19,1,1,119,9,2,84,0,235,449
59011,"Delta/Delta"," 154","Delta",11,0,1,89,7,0,80,0,188,372
