Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Eyolfson,Steven Fletcher,Brian Ho,Kristin Lauhn-Jensen,Marty Morantz,Melissa Penner,Ken St. George,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",82,16,0,12,93,3,30,0,236,488
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",54,18,0,11,67,1,34,0,185,429
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 3","Winnipeg",56,23,0,12,78,0,39,1,209,439
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 4","Winnipeg",66,13,0,9,89,0,41,0,218,413
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 5","Winnipeg",52,16,2,14,68,4,55,3,214,512
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 6","Winnipeg",94,3,1,14,57,1,37,1,208,438
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 7","Winnipeg",71,13,1,8,89,1,34,3,220,460
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 8","Winnipeg",73,7,0,7,89,1,33,0,210,422
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 9","Winnipeg",83,15,2,13,88,0,58,0,259,559
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 10","Winnipeg",75,13,1,10,125,0,42,0,266,548
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 11","Winnipeg",72,11,1,16,96,0,49,1,246,450
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 12","Winnipeg",68,16,1,10,95,1,46,0,237,493
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 13","Winnipeg",60,14,2,8,77,1,61,0,223,505
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 14","Winnipeg",46,10,1,10,49,0,33,1,150,318
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 15A","Winnipeg",26,4,0,10,24,0,23,0,87,191
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 15B","Winnipeg",15,3,0,5,20,0,7,0,50,88
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 16","Winnipeg",66,15,0,4,82,0,33,3,203,349
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 17","Winnipeg",87,8,1,11,75,1,62,1,246,568
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 18","Winnipeg",79,10,1,6,84,1,61,4,246,543
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 19","Winnipeg",76,20,0,4,83,3,34,1,221,412
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 20","Winnipeg",79,18,1,14,97,0,49,0,258,518
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 21","Winnipeg",102,15,3,13,121,0,47,4,305,549
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 22","Winnipeg",94,20,0,9,114,3,49,0,289,542
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 23","Winnipeg",87,9,0,7,92,1,68,1,265,537
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 24","Winnipeg",76,15,0,15,83,1,43,0,233,445
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 25","Winnipeg",65,15,3,9,72,0,84,0,248,650
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 26","Winnipeg",92,11,1,12,91,1,81,1,290,681
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 27","Winnipeg",74,11,1,13,99,1,51,3,253,545
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 28","Winnipeg",103,18,1,9,142,2,57,2,334,677
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 29","Winnipeg",58,8,2,14,78,1,48,2,211,405
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 30","Winnipeg",81,14,0,14,90,1,42,0,242,511
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 31","Winnipeg",28,8,1,5,13,0,21,0,76,153
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 32","Winnipeg",85,6,0,11,96,0,21,2,221,318
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 33","Winnipeg",74,7,1,15,77,1,37,0,212,460
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 34","Winnipeg",103,9,1,16,52,0,60,1,242,538
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 35","Winnipeg",94,13,0,20,70,0,57,1,255,496
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 36","Winnipeg",88,8,2,14,85,2,47,0,246,489
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 37","Winnipeg",101,16,0,20,90,2,60,0,289,563
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 38","Winnipeg",105,16,0,18,98,3,60,1,301,586
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 39","Winnipeg",94,8,0,13,89,1,43,2,250,526
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 40","Winnipeg",91,13,0,11,73,2,68,4,262,638
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 41A","Winnipeg",80,6,1,10,79,0,25,0,201,401
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 41B","Winnipeg",Merged with No./Fusionné avec le n°56,,,,,,,,,72
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 42","Winnipeg",67,7,0,8,67,1,41,2,193,396
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 43","Winnipeg",74,16,2,18,85,1,65,0,261,567
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 44","Winnipeg",56,23,1,6,85,1,48,0,220,429
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 45","Winnipeg",78,11,1,8,40,1,29,0,168,285
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 46","Winnipeg",58,10,0,8,65,0,36,0,177,363
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 47","Winnipeg",49,9,1,5,43,0,36,0,143,373
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 48","Winnipeg",91,14,0,8,73,0,35,2,223,546
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 49","Winnipeg",81,6,0,10,113,0,26,0,236,468
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 50","Winnipeg",46,8,0,15,104,3,35,0,211,430
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 51","Winnipeg",45,12,2,13,71,1,18,1,163,309
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 52","Winnipeg",83,4,2,18,100,2,63,1,273,491
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 53","Winnipeg",108,9,0,8,78,2,56,0,261,464
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 54A","Winnipeg",71,8,0,14,76,3,35,1,208,426
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 54B","Winnipeg",Merged with No./Fusionné avec le n°56,,,,,,,,,30
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 55","Winnipeg",80,5,2,14,56,0,50,0,207,423
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 56","Winnipeg",38,3,0,3,36,0,8,0,88,87
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 57","Winnipeg",87,18,0,9,76,0,62,2,254,562
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 58","Winnipeg",91,8,0,12,74,2,60,1,248,543
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 59","Winnipeg",100,6,5,22,86,1,62,2,284,583
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 60","Winnipeg",137,9,0,22,83,2,35,1,289,452
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 61","Winnipeg",102,12,1,8,121,2,30,0,276,541
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 62","Winnipeg",99,14,1,16,123,2,43,0,298,529
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 63","Winnipeg",92,15,0,8,96,0,47,1,259,465
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 64","Winnipeg",118,4,0,14,115,0,28,4,283,562
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 65","Winnipeg",91,9,0,12,85,1,42,0,240,467
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 66","Winnipeg",67,12,0,10,117,2,32,1,241,516
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 67","Winnipeg",51,17,0,13,129,0,27,3,240,426
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 68","Headingley",80,12,0,5,131,1,34,1,264,379
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 69","Headingley",63,15,1,10,156,0,30,0,275,437
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 70","Winnipeg",13,3,0,4,14,0,19,0,53,122
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 71","Winnipeg",98,13,0,7,59,1,34,0,212,411
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 72","Winnipeg",86,7,2,7,62,0,34,1,199,398
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 73","Winnipeg",59,9,2,12,61,1,33,0,177,415
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 74","Winnipeg",69,0,0,6,39,1,11,0,126,251
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 75","Winnipeg",119,9,0,7,80,1,21,2,239,513
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 76","Winnipeg",149,12,1,16,81,0,38,3,300,660
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 77","Winnipeg",53,10,0,7,73,1,28,1,173,410
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 78","Winnipeg",94,18,1,13,83,1,32,0,242,544
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 79","Winnipeg",100,9,0,10,117,2,33,1,272,550
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 80","Winnipeg",112,7,0,11,103,0,49,0,282,532
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 81","Winnipeg",104,7,0,13,127,1,25,0,277,546
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 82","Winnipeg",87,10,0,13,85,0,37,2,234,545
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 83","Winnipeg",74,7,2,10,86,1,35,2,217,415
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 84","Winnipeg",93,5,1,2,107,0,30,0,238,464
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 85","Winnipeg",55,9,1,9,71,1,30,2,178,397
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 86","Winnipeg",22,3,1,4,22,0,5,0,57,96
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 87","Winnipeg",45,3,0,5,22,0,12,0,87,225
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 88","Winnipeg",80,8,1,5,82,0,20,0,196,354
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 89","Winnipeg",96,4,0,13,90,0,23,0,226,509
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 90","Winnipeg",69,8,0,16,105,0,26,1,225,469
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 91","Winnipeg",90,5,1,11,115,0,24,1,247,518
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 92","Winnipeg",51,6,0,6,58,2,14,2,139,269
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 93","Winnipeg",71,7,1,16,96,2,52,0,245,565
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 94","Winnipeg",68,6,0,4,88,0,22,0,188,429
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 95","Winnipeg",96,9,0,19,86,1,24,1,236,474
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 96","Winnipeg",105,10,2,19,117,1,23,0,277,526
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 97","Winnipeg",86,6,2,18,96,1,35,2,246,579
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 98","Winnipeg",88,9,0,19,87,0,56,0,259,540
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 99","Winnipeg",78,10,2,10,82,0,35,2,219,514
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 100","Winnipeg",99,15,0,11,126,1,54,1,307,630
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 101A","Winnipeg",82,12,0,17,105,0,34,2,252,459
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 101B","Winnipeg",6,0,0,3,11,0,7,0,27,29
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 102","Winnipeg",83,7,0,13,110,1,30,0,244,450
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 103","Winnipeg",97,7,1,7,117,1,37,1,268,521
