Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Janssen,Brian Kalliecharan,Marty Lancaster,David Patterson,Doug Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 44","Springwater",26,53,21,1,82,0,183,394
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 45","Springwater",29,46,23,3,97,3,201,465
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 46","Springwater",13,65,45,0,64,1,188,456
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 47","Springwater",10,67,43,5,117,0,242,484
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 48","Springwater",10,55,19,1,95,1,181,404
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 49","Springwater",29,80,27,3,73,0,212,378
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 50","Springwater",15,48,24,3,79,0,169,352
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 51","Springwater",19,39,13,1,48,2,122,254
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 52","Barrie",41,93,32,1,105,2,274,567
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 53","Barrie",25,60,19,7,52,1,164,353
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 54","Barrie",31,69,15,6,74,1,196,469
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 55","Barrie",55,61,27,3,38,2,186,431
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 56","Barrie",54,51,37,12,88,4,246,597
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 57","Barrie",23,77,20,9,78,2,209,488
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 58","Barrie",64,67,22,5,56,0,214,547
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 59","Oro-Medonte",22,78,68,4,83,0,255,448
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 60","Oro-Medonte",12,52,27,1,108,1,201,429
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 61","Barrie",25,74,26,2,104,0,231,465
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 62","Barrie",28,63,19,3,81,3,197,410
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 63","Barrie",23,59,11,2,51,0,146,362
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 64","Barrie",27,67,30,1,82,0,207,434
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 65","Barrie",47,64,22,4,62,0,199,498
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 66","Barrie",54,75,27,2,69,3,230,581
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 67","Barrie",40,69,34,5,80,1,229,557
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 68","Barrie",33,69,27,6,83,5,223,475
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 69","Barrie",19,71,12,0,73,1,176,462
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 70","Barrie",41,63,16,2,76,2,200,477
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 71","Barrie",29,86,25,6,66,1,213,501
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 72","Barrie",37,72,17,4,54,1,185,481
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 73","Barrie",43,73,19,4,72,3,214,472
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 74","Barrie",50,88,29,4,54,4,229,629
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 75","Barrie",48,70,36,5,83,1,243,512
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 76","Barrie",58,63,51,8,62,0,242,593
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 77","Barrie",33,69,25,7,80,1,215,502
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 78","Barrie",45,96,29,3,102,0,275,574
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 79","Barrie",48,54,30,3,59,0,194,501
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 80","Barrie",53,68,22,1,57,0,201,484
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 81","Barrie",22,58,26,3,71,2,182,434
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 82","Barrie",40,72,30,5,64,1,212,462
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 83","Barrie",43,80,14,1,56,0,194,403
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 84","Barrie",34,63,25,5,57,1,185,492
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 85","Barrie",35,42,26,4,50,2,159,365
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 86","Barrie",44,45,22,5,43,3,162,403
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 87","Barrie",46,73,34,5,52,0,210,536
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 88","Barrie",40,62,27,9,68,1,207,524
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 89","Barrie",43,68,52,7,64,2,236,593
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 90","Barrie",30,55,29,1,50,2,167,357
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 91","Barrie",63,84,33,9,91,0,280,541
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 92","Barrie",37,88,21,4,95,4,249,552
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 93","Barrie",52,74,24,9,88,3,250,515
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 94","Barrie",36,73,36,4,88,1,238,591
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 95","Barrie",58,124,47,2,79,1,311,632
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 96","Barrie",56,37,19,2,41,1,156,420
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 97","Barrie",44,31,18,5,41,4,143,418
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 98","Barrie",40,95,30,1,94,4,264,494
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 99","Barrie",50,93,24,7,80,0,254,574
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 100","Barrie",56,97,39,7,104,3,306,655
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 101","Barrie",21,86,31,5,64,2,209,509
