Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eileen Clancy Teslenko,Patty Deitch,Pat Finnigan,Mathew Grant Lawson,Allison MacKenzie,Peggy McLean,Ron Nowlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 1","Rivière-du-Portage",18,19,113,5,3,34,3,8,203,343
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 2","Alnwick",18,14,66,5,3,40,1,5,152,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 3","Brantville",24,29,105,4,5,25,1,1,194,316
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 4","Brantville",8,14,86,6,10,11,1,4,140,286
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 5","Brantville",11,23,106,3,7,31,2,8,191,281
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 6","Brantville",22,18,128,4,3,22,3,0,200,353
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 7","Tabusintac 9",21,19,74,8,6,86,9,3,226,417
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 8","Covedell",20,18,78,2,2,54,4,4,182,409
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 9","Fairisle",13,16,81,1,1,44,2,1,159,343
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 10","Alnwick",18,10,98,2,1,39,0,2,170,334
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 11","Neguac",8,7,92,0,1,47,5,0,160,352
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 12","Lower Neguac",14,18,108,1,3,40,4,3,191,365
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 13","Neguac",14,14,55,2,0,23,2,1,111,276
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 14A","Neguac",11,15,107,3,2,40,2,0,180,378
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 14B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,29
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 15","Burnt Church 14",50,14,59,1,0,3,1,0,128,473
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 16","Alnwick",56,7,56,0,1,7,2,1,130,407
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 17","Saint-Wilfred",4,10,57,1,8,34,4,3,121,222
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 18","Lavillette",12,14,79,6,5,37,2,6,161,282
