Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,Trisha Cowie,Gord Miller,Daniel Predie Jr,Tom Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Restoule",123,59,22,1,41,3,249,419
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","South River",46,41,14,1,35,2,139,305
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","South River",61,29,13,5,28,1,137,367
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","South River",44,36,18,0,17,2,117,345
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","South River",44,32,20,1,24,2,123,301
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Machar",106,46,24,3,16,2,197,471
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Machar",55,30,24,2,14,0,125,316
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Loring",60,27,9,0,17,1,114,280
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","Arnstein",83,29,19,5,7,0,143,369
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","Port Loring",79,26,6,0,15,0,126,313
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Sundridge",75,44,26,3,20,1,169,352
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12","Sundridge",81,43,12,2,30,0,168,424
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","Sundridge",63,56,19,2,27,1,168,358
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14","Sundridge",38,28,21,1,10,1,99,231
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","Sundridge",90,39,29,4,24,3,189,398
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","Sundridge",122,50,36,5,37,0,250,532
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17A","Kearney",86,43,16,2,21,0,168,300
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17B","Kearney",82,41,23,4,20,0,170,299
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18","Kearney",91,49,21,0,19,0,180,335
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 19","Dunchurch",123,81,31,1,27,2,265,501
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 20","Dunchurch",111,78,39,3,32,3,266,472
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 21","Magnetawan",97,56,55,2,28,1,239,459
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 22","Magnetawan",92,56,26,2,19,1,196,346
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 23","Magnetawan",89,55,35,1,23,3,206,394
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 24","Burk's Falls",80,39,26,0,15,1,161,391
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 25","Burk's Falls",72,33,11,2,19,0,137,394
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 26","Burk's Falls",74,39,28,3,48,1,193,504
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 27","Burk's Falls",57,24,24,1,17,2,125,412
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 28","Ryerson",85,48,45,4,28,0,210,528
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 29","Katrine",122,59,40,2,37,0,260,536
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 30","Britt",68,56,10,1,12,2,149,440
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31","Emsdale",143,68,31,0,35,2,279,580
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 32","Emsdale",133,55,38,3,20,0,249,479
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 33","Novar",84,58,29,1,17,3,192,330
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 34","Novar",85,35,31,0,24,0,175,350
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 35","Novar",120,45,23,0,30,1,219,419
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 36","Hillside",61,53,40,0,11,2,167,365
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 37","Dwight",119,63,40,2,26,2,252,508
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 38","Dwight",81,41,27,1,16,1,167,296
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 39","Dwight",92,80,21,0,14,0,207,421
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","McKellar",98,54,18,1,23,0,194,369
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41","McKellar",118,71,36,2,30,0,257,478
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Sprucedale",78,47,45,1,29,3,203,399
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Sprucedale",106,38,23,5,37,0,209,416
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","Waubamik",108,60,43,0,20,9,240,442
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","Waubamik",51,47,19,3,21,5,146,349
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","Waubamik",86,45,22,4,20,1,178,344
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47","Huntsville",76,38,18,1,18,0,151,405
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48A","Huntsville",51,45,17,0,16,0,129,307
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48B","Huntsville",45,41,17,0,17,1,121,290
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49A","Huntsville",44,31,29,0,22,1,127,309
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49B","Huntsville",59,59,32,1,20,1,172,346
