Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Teresa Burgess-Ogilvie,Partap Dua,Manpreet Othi,Maninder Sidhu,Ramona Singh,Saranjit Singh,Gaurav Walia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton East/Brampton-Est"," 49B","Brampton",1,0,0,95,35,35,1,2,169,351
35009,"Brampton East/Brampton-Est"," 50A","Brampton",0,0,1,40,23,33,0,0,97,253
35009,"Brampton East/Brampton-Est"," 50B","Brampton",1,0,1,55,49,35,2,0,143,341
35009,"Brampton East/Brampton-Est"," 51A","Brampton",1,4,1,60,35,52,1,1,155,299
35009,"Brampton East/Brampton-Est"," 51B","Brampton",0,0,0,77,18,45,0,1,141,269
35009,"Brampton East/Brampton-Est"," 52","Brampton",1,1,0,73,29,52,2,12,170,351
35009,"Brampton East/Brampton-Est"," 53","Brampton",4,0,1,112,44,49,0,1,211,391
35009,"Brampton East/Brampton-Est"," 54","Brampton",3,0,0,110,47,62,0,4,226,361
35009,"Brampton East/Brampton-Est"," 55","Brampton",7,1,0,120,48,55,0,0,231,370
35009,"Brampton East/Brampton-Est"," 56","Brampton",5,1,3,129,54,86,1,9,288,541
35009,"Brampton East/Brampton-Est"," 57","Brampton",0,2,0,82,33,54,0,4,175,350
35009,"Brampton East/Brampton-Est"," 58","Brampton",5,1,0,84,83,66,0,1,240,452
35009,"Brampton East/Brampton-Est"," 59A","Brampton",1,0,0,56,32,43,0,2,134,262
35009,"Brampton East/Brampton-Est"," 59B","Brampton",4,1,0,55,62,40,1,0,163,313
35009,"Brampton East/Brampton-Est"," 60","Brampton",3,0,0,86,66,60,3,1,219,505
35009,"Brampton East/Brampton-Est"," 61","Brampton",4,0,0,112,46,56,0,1,219,399
35009,"Brampton East/Brampton-Est"," 62","Brampton",4,1,0,152,59,93,0,0,309,479
35009,"Brampton East/Brampton-Est"," 63","Brampton",3,0,1,115,56,60,0,0,235,430
35009,"Brampton East/Brampton-Est"," 64","Brampton",1,0,0,118,63,42,0,1,225,485
35009,"Brampton East/Brampton-Est"," 65A","Brampton",2,1,0,66,24,42,1,1,137,311
35009,"Brampton East/Brampton-Est"," 65B","Brampton",0,0,1,28,25,24,2,0,80,239
35009,"Brampton East/Brampton-Est"," 66","Brampton",2,1,0,78,59,37,1,2,180,456
35009,"Brampton East/Brampton-Est"," 67A","Brampton",1,1,2,63,29,38,0,0,134,282
35009,"Brampton East/Brampton-Est"," 67B","Brampton",1,0,0,61,28,20,1,1,112,288
35009,"Brampton East/Brampton-Est"," 68","Brampton",1,1,0,92,40,44,0,1,179,443
35009,"Brampton East/Brampton-Est"," 69","Brampton",2,0,2,129,43,62,0,6,244,514
35009,"Brampton East/Brampton-Est"," 70","Brampton",4,1,2,115,38,77,0,3,240,491
35009,"Brampton East/Brampton-Est"," 71","Brampton",5,0,0,127,79,49,0,8,268,507
35009,"Brampton East/Brampton-Est"," 72","Brampton",7,1,2,117,55,57,0,0,239,467
35009,"Brampton East/Brampton-Est"," 73","Brampton",10,1,1,152,47,78,0,5,294,517
35009,"Brampton East/Brampton-Est"," 74","Brampton",5,0,0,118,44,44,2,4,217,455
35009,"Brampton East/Brampton-Est"," 75","Brampton",2,0,1,105,55,63,1,6,233,461
35009,"Brampton East/Brampton-Est"," 76","Brampton",1,0,1,146,51,63,0,9,271,522
35009,"Brampton East/Brampton-Est"," 77","Brampton",4,3,0,92,39,49,0,0,187,459
35009,"Brampton East/Brampton-Est"," 78","Brampton",0,0,3,126,39,74,0,0,242,538
35009,"Brampton East/Brampton-Est"," 79","Brampton",0,0,4,100,41,66,0,0,211,505
35009,"Brampton East/Brampton-Est"," 80","Brampton",2,1,0,98,64,55,4,1,225,458
35009,"Brampton East/Brampton-Est"," 81A","Brampton",1,0,0,73,37,23,0,1,135,321
35009,"Brampton East/Brampton-Est"," 81B","Brampton",1,0,0,60,33,30,0,1,125,325
35009,"Brampton East/Brampton-Est"," 82","Brampton",3,0,3,68,46,27,0,2,149,439
35009,"Brampton East/Brampton-Est"," 83","Brampton",2,0,0,84,41,59,1,6,193,417
35009,"Brampton East/Brampton-Est"," 84","Brampton",5,0,1,107,77,44,1,0,235,481
35009,"Brampton East/Brampton-Est"," 85","Brampton",4,0,0,127,39,71,1,2,244,481
35009,"Brampton East/Brampton-Est"," 86","Brampton",5,0,0,112,67,48,0,0,232,386
35009,"Brampton East/Brampton-Est"," 87","Brampton",4,0,0,103,52,54,0,0,213,384
35009,"Brampton East/Brampton-Est"," 88","Brampton",1,0,0,136,55,69,0,0,261,469
35009,"Brampton East/Brampton-Est"," 89","Brampton",5,0,2,128,46,63,3,1,248,484
35009,"Brampton East/Brampton-Est"," 90","Brampton",4,0,1,90,46,82,0,0,223,377
35009,"Brampton East/Brampton-Est"," 91","Brampton",8,1,0,125,44,67,1,0,246,467
35009,"Brampton East/Brampton-Est"," 92A","Brampton",1,1,0,87,21,40,0,1,151,275
35009,"Brampton East/Brampton-Est"," 92B","Brampton",0,3,0,96,21,55,2,0,177,332
35009,"Brampton East/Brampton-Est"," 93","Brampton",1,1,1,94,38,40,1,0,176,373
35009,"Brampton East/Brampton-Est"," 94A","Brampton",1,1,0,54,35,18,0,1,110,280
35009,"Brampton East/Brampton-Est"," 94B","Brampton",5,0,3,60,26,26,0,3,123,281
35009,"Brampton East/Brampton-Est"," 95","Brampton",2,0,1,106,37,60,0,1,207,436
35009,"Brampton East/Brampton-Est"," 96","Brampton",4,1,1,121,39,77,0,7,250,464
35009,"Brampton East/Brampton-Est"," 97","Brampton",4,0,0,120,50,68,0,4,246,495
35009,"Brampton East/Brampton-Est"," 98","Brampton",5,0,2,111,36,50,0,4,208,385
35009,"Brampton East/Brampton-Est"," 99","Brampton",2,0,0,142,30,66,1,2,243,473
35009,"Brampton East/Brampton-Est"," 100","Brampton",2,0,2,116,57,79,2,1,259,506
35009,"Brampton East/Brampton-Est"," 101","Brampton",2,1,1,185,34,81,2,3,309,528
35009,"Brampton East/Brampton-Est"," 102","Brampton",1,0,1,143,51,65,0,1,262,534
35009,"Brampton East/Brampton-Est"," 103","Brampton",1,0,1,124,64,67,1,4,262,521
35009,"Brampton East/Brampton-Est"," 104A","Brampton",2,0,0,69,25,26,1,1,124,264
35009,"Brampton East/Brampton-Est"," 104B","Brampton",1,0,0,61,39,35,2,1,139,307
35009,"Brampton East/Brampton-Est"," 105","Brampton",3,0,4,127,36,43,0,3,216,496
35009,"Brampton East/Brampton-Est"," 106","Brampton",0,0,1,89,48,59,0,4,201,413
35009,"Brampton East/Brampton-Est"," 107","Brampton",0,1,0,144,41,93,1,2,282,486
35009,"Brampton East/Brampton-Est"," 108","Brampton",1,1,1,105,23,50,0,0,181,342
35009,"Brampton East/Brampton-Est"," 109","Brampton",4,0,2,98,35,50,0,0,189,463
35009,"Brampton East/Brampton-Est"," 110","Brampton",4,1,2,71,28,46,0,0,152,336
35009,"Brampton East/Brampton-Est"," 111","Brampton",1,0,0,124,34,51,0,4,214,420
35009,"Brampton East/Brampton-Est"," 112","Brampton",1,0,3,119,30,75,0,3,231,419
35009,"Brampton East/Brampton-Est"," 113","Brampton",4,2,1,101,47,76,0,2,233,459
35009,"Brampton East/Brampton-Est"," 114","Brampton",5,0,0,96,27,54,1,2,185,377
35009,"Brampton East/Brampton-Est"," 115","Brampton",3,1,0,106,35,78,1,4,228,461
35009,"Brampton East/Brampton-Est"," 116","Brampton",6,1,0,82,38,57,4,0,188,400
35009,"Brampton East/Brampton-Est"," 117","Brampton",1,0,2,121,40,78,1,5,248,458
35009,"Brampton East/Brampton-Est"," 118","Brampton",5,0,2,105,68,55,0,4,239,531
35009,"Brampton East/Brampton-Est"," 119","Brampton",0,0,1,122,57,41,2,1,224,517
35009,"Brampton East/Brampton-Est"," 120","Brampton",3,0,1,95,28,59,0,0,186,465
35009,"Brampton East/Brampton-Est"," 121","Brampton",5,0,2,113,57,57,2,1,237,405
35009,"Brampton East/Brampton-Est"," 122A","Brampton",1,0,0,96,41,44,1,2,185,301
35009,"Brampton East/Brampton-Est"," 122B","Brampton",2,0,0,69,37,41,0,0,149,273
35009,"Brampton East/Brampton-Est"," 123","Brampton",3,1,0,98,52,61,1,0,216,497
35009,"Brampton East/Brampton-Est"," 124","Brampton",2,0,1,116,28,47,0,1,195,511
35009,"Brampton East/Brampton-Est"," 125","Brampton",3,0,0,99,26,51,0,3,182,491
35009,"Brampton East/Brampton-Est"," 126","Brampton",2,0,1,90,42,37,0,2,174,380
35009,"Brampton East/Brampton-Est"," 127","Brampton",4,1,1,130,47,66,0,3,252,498
35009,"Brampton East/Brampton-Est"," 128","Brampton",4,0,0,91,27,69,1,3,195,467
35009,"Brampton East/Brampton-Est"," 129A","Brampton",5,0,0,66,37,50,0,0,158,308
35009,"Brampton East/Brampton-Est"," 129B","Brampton",2,0,0,64,27,37,0,0,130,277
35009,"Brampton East/Brampton-Est"," 130","Brampton",3,0,1,120,89,59,1,0,273,480
35009,"Brampton East/Brampton-Est"," 131","Brampton",15,1,1,166,87,65,2,3,340,648
35009,"Brampton East/Brampton-Est"," 132","Brampton",3,0,0,67,53,21,4,2,150,224
35009,"Brampton East/Brampton-Est"," 133","Brampton",3,0,1,81,36,21,1,0,143,324
35009,"Brampton East/Brampton-Est"," 134","Brampton",0,1,0,119,39,47,0,2,208,464
35009,"Brampton East/Brampton-Est"," 135","Brampton",1,0,0,84,28,53,1,0,167,367
35009,"Brampton East/Brampton-Est"," 136","Brampton",1,0,0,82,45,63,0,0,191,385
35009,"Brampton East/Brampton-Est"," 137","Brampton",3,0,0,72,33,73,0,2,183,333
35009,"Brampton East/Brampton-Est"," 138","Brampton",0,0,3,110,39,46,2,0,200,427
35009,"Brampton East/Brampton-Est"," 139","Brampton",7,1,0,129,54,70,2,0,263,531
35009,"Brampton East/Brampton-Est"," 140","Brampton",9,1,1,150,57,54,1,9,282,537
35009,"Brampton East/Brampton-Est"," 141A","Brampton",2,0,0,75,26,32,0,0,135,303
35009,"Brampton East/Brampton-Est"," 141B","Brampton",4,0,1,49,33,29,0,1,117,257
35009,"Brampton East/Brampton-Est"," 142","Brampton",2,0,0,114,30,25,0,0,171,337
35009,"Brampton East/Brampton-Est"," 143","Brampton",5,0,1,97,48,59,2,1,213,434
35009,"Brampton East/Brampton-Est"," 144A","Brampton",2,1,0,58,29,40,0,1,131,315
35009,"Brampton East/Brampton-Est"," 144B","Brampton",1,0,0,49,16,23,2,0,91,242
35009,"Brampton East/Brampton-Est"," 145A","Brampton",2,1,0,86,23,28,1,0,141,277
35009,"Brampton East/Brampton-Est"," 145B","Brampton",4,0,0,67,35,32,0,2,140,277
35009,"Brampton East/Brampton-Est"," 146A","Brampton",0,0,0,67,23,34,0,2,126,258
35009,"Brampton East/Brampton-Est"," 146B","Brampton",4,1,1,95,21,36,0,2,160,338
35009,"Brampton East/Brampton-Est"," 147","Brampton",2,0,0,109,39,47,0,3,200,468
35009,"Brampton East/Brampton-Est"," 148A","Brampton",0,0,0,75,36,31,1,4,147,294
35009,"Brampton East/Brampton-Est"," 148B","Brampton",2,1,0,57,22,23,1,1,107,264
35009,"Brampton East/Brampton-Est"," 149","Brampton",2,1,2,112,31,66,0,1,215,426
35009,"Brampton East/Brampton-Est"," 150A","Brampton",4,0,0,84,38,36,0,1,163,312
35009,"Brampton East/Brampton-Est"," 150B","Brampton",5,0,1,70,22,12,1,1,112,275
35009,"Brampton East/Brampton-Est"," 151","Brampton",2,0,1,124,71,83,2,3,286,538
35009,"Brampton East/Brampton-Est"," 152","Brampton",6,1,2,108,45,67,1,0,230,450
35009,"Brampton East/Brampton-Est"," 153","Brampton",2,0,0,124,18,54,0,1,199,344
35009,"Brampton East/Brampton-Est"," 154","Brampton",0,1,4,1,147,42,52,0,247,489
35009,"Brampton East/Brampton-Est"," 155","Brampton",6,1,1,96,47,68,1,1,221,474
35009,"Brampton East/Brampton-Est"," 156","Brampton",4,0,0,92,36,39,0,0,171,405
35009,"Brampton East/Brampton-Est"," 157","Brampton",3,0,0,80,70,66,0,0,219,508
35009,"Brampton East/Brampton-Est"," 158","Brampton",4,1,3,128,57,51,3,7,254,527
35009,"Brampton East/Brampton-Est"," 159","Brampton",5,0,2,133,62,86,0,0,288,528
35009,"Brampton East/Brampton-Est"," 160A","Brampton",2,0,2,58,45,38,1,2,148,308
35009,"Brampton East/Brampton-Est"," 160B","Brampton",2,0,0,59,23,10,3,1,98,242
35009,"Brampton East/Brampton-Est"," 161","Brampton",1,3,0,105,68,43,2,2,224,517
35009,"Brampton East/Brampton-Est"," 162","Brampton",1,1,0,133,74,41,0,3,253,425
35009,"Brampton East/Brampton-Est"," 163","Brampton",3,0,0,60,55,23,2,1,144,498
35009,"Brampton East/Brampton-Est"," 500","Mobile poll/Bureau itinérant",4,0,2,37,12,7,3,3,68,311
35009,"Brampton East/Brampton-Est"," 600","Brampton",6,3,7,328,329,215,3,3,894,
35009,"Brampton East/Brampton-Est"," 601","Brampton",13,0,4,667,431,428,3,6,1552,
35009,"Brampton East/Brampton-Est"," 602","Brampton",18,0,3,540,266,332,3,15,1177,
35009,"Brampton East/Brampton-Est"," 603","Brampton",9,0,15,476,347,309,4,12,1172,
35009,"Brampton East/Brampton-Est"," 604","Brampton",9,0,3,430,245,257,6,10,960,
35009,"Brampton East/Brampton-Est"," 605","Brampton",7,3,5,416,197,258,4,5,895,
35009,"Brampton East/Brampton-Est"," 606","Brampton",15,1,3,379,217,202,4,11,832,
35009,"Brampton East/Brampton-Est"," 607","Brampton",1,1,1,236,140,142,4,4,529,
35009,"Brampton East/Brampton-Est"," 608","Brampton",6,0,1,320,141,171,0,4,643,
35009,"Brampton East/Brampton-Est"," 609","Brampton",10,0,0,344,169,207,3,3,736,
35009,"Brampton East/Brampton-Est"," 610","Brampton",13,1,1,478,216,300,3,9,1021,
35009,"Brampton East/Brampton-Est"," 611","Brampton",11,1,0,408,153,248,0,5,826,
35009,"Brampton East/Brampton-Est"," 612","Brampton",9,0,2,251,106,125,3,0,496,
35009,"Brampton East/Brampton-Est"," 613","Brampton",17,5,11,506,305,293,4,9,1150,
35009,"Brampton East/Brampton-Est",,Group 1/Groupe 1, 2,0,0,43,5,11,0,3,64,85
35009,"Brampton East/Brampton-Est",,Group 2/Groupe 2, 19,0,1,462,176,269,3,50,980,
