Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Armstrong,Bob Hargreaves,Donald Helkaa,Ericha Hendel,Peter Redecop,Richard Styve,Karen Vecchio,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 1","Cherry Grove",66,41,7,24,2,1,140,3,284,518
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 2","Wellburn",62,34,3,23,0,1,202,1,326,548
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 3","Thorndale",117,97,7,34,2,3,226,0,486,816
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 4","Thorndale",86,57,7,20,2,0,175,2,349,606
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 5","Evelyn",50,44,9,20,3,0,145,2,273,543
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 6","Thames Centre",56,50,5,18,2,2,180,0,313,568
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7","Thames Centre",50,41,5,20,4,2,124,0,246,443
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 8","Dorchester",52,64,6,16,3,0,131,5,277,530
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9","Thames Centre",62,51,2,12,0,1,101,1,230,491
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 10","Thames Centre",41,38,4,16,2,1,110,1,213,417
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 11","Putnam",27,29,6,15,0,0,98,0,175,404
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 12","Dorchester",68,36,3,14,1,0,111,1,234,428
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 13","Dorchester",67,89,1,16,3,0,123,1,300,574
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 14","Dorchester",113,41,3,25,1,1,132,1,317,601
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15","Thames Centre",86,82,2,13,4,0,192,1,380,656
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 16","Dorchester",65,44,2,10,2,1,121,1,246,414
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 17","Dorchester",94,74,5,11,2,1,234,2,423,718
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 18","Nilestown",47,53,7,20,6,1,109,3,246,501
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19A","Gladstone",71,36,4,13,2,3,194,1,324,546
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19B","Gladstone",57,53,6,16,5,2,195,3,337,538
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20A","London",191,47,4,8,2,7,97,1,357,814
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20B","London",30,4,1,0,1,0,12,2,50,190
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 21","London",176,63,6,26,2,1,176,13,463,825
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22A","London",123,54,3,12,0,1,110,3,306,502
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22B","London",117,32,6,8,1,1,100,1,266,460
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 23","London",131,47,1,6,0,1,106,1,293,585
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 24","London",193,82,2,17,1,3,155,2,455,857
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25A","London",154,45,4,10,0,4,79,7,303,623
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25B","London",129,77,3,9,6,1,71,1,297,630
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 26","London",117,44,2,12,2,2,71,3,253,593
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27A","Belmont",78,53,6,11,0,0,92,0,240,456
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27B","Belmont",86,34,4,15,1,0,103,2,245,474
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 28","Belmont",101,94,4,31,3,2,216,0,451,798
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29","London",116,60,6,21,3,0,152,3,361,522
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 30","London",107,58,5,20,1,0,134,3,328,517
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 31","London",112,59,3,31,3,0,224,2,434,737
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 32","London",183,60,6,16,1,1,175,2,444,917
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33A","London",140,39,1,18,0,1,189,3,391,666
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33B","London",139,61,6,12,0,1,196,0,415,692
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 34","London",60,38,2,10,4,2,165,2,283,482
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 35","London",58,31,6,4,2,2,123,1,227,458
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 36","London",36,46,1,15,2,0,167,2,269,514
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 37","Malahide",57,100,13,22,13,3,359,2,569,896
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38","Malahide",72,67,7,21,10,2,246,0,425,822
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39A","Bayham",39,51,4,17,11,3,141,3,269,551
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39B","Bayham",33,62,4,15,10,2,166,0,292,589
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 40","Central Elgin",63,46,8,14,1,0,192,2,326,575
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 41","Malahide",35,23,2,8,9,4,157,4,242,495
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 42","Aylmer",29,37,2,9,9,4,159,1,250,503
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 43","Malahide",34,34,5,9,5,2,178,9,276,576
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 44","Aylmer",34,46,5,12,10,1,152,2,262,580
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 45","St. Thomas",108,85,5,11,2,2,163,1,377,638
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46A","St. Thomas",105,73,9,10,1,2,171,0,371,630
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46B","St. Thomas",12,1,1,1,0,1,23,3,42,131
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 47","Aylmer",24,51,7,16,3,4,141,2,248,569
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 48","Aylmer",36,50,5,18,11,2,173,6,301,715
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 49","St. Thomas",103,114,6,30,1,1,166,0,421,865
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 50","St. Thomas",93,93,7,20,4,1,184,3,405,969
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51A","Southwold",84,50,5,22,3,1,181,4,350,522
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51B","Southwold",50,40,8,10,1,0,159,2,270,468
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52A","Bayham",36,34,0,14,8,2,186,5,285,658
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52B","Bayham",38,45,5,15,11,1,187,3,305,639
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 53","Straffordville",32,28,11,9,8,1,207,1,297,736
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 54","St. Thomas",85,81,4,17,1,1,142,0,331,630
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 55","St. Thomas",65,81,4,20,0,1,100,1,272,777
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 56","Yarmouth",53,75,7,21,14,3,263,2,438,710
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 57","Yarmouth",50,48,4,18,5,2,192,1,320,560
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 58","St. Thomas",40,62,7,20,3,3,92,2,229,443
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 59","St. Thomas",54,67,3,13,1,0,116,2,256,499
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 60","St. Thomas",42,64,5,13,0,0,84,1,209,547
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 61","St. Thomas",41,70,5,15,0,1,76,1,209,570
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 62","St. Thomas",71,74,6,31,0,2,102,2,288,688
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 63","Central Elgin",114,81,9,24,1,3,198,0,430,746
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 64","Central Elgin",69,68,8,27,4,0,152,2,330,540
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 65","Central Elgin",78,31,4,11,1,1,128,0,254,415
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 66","St. Thomas",46,59,9,6,1,1,120,1,243,466
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67A","St. Thomas",62,77,3,19,7,1,160,0,329,738
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67B","St. Thomas",48,52,5,14,4,2,143,0,268,725
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 68","St. Thomas",44,72,4,16,1,3,95,1,236,562
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 69","St. Thomas",41,88,15,17,5,1,115,3,285,777
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 70","St. Thomas",54,67,4,17,1,2,93,3,241,557
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 71","St. Thomas",25,34,3,10,1,0,32,0,105,455
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 72","St. Thomas",62,46,4,16,2,1,91,2,224,479
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73A","St. Thomas",76,71,8,17,2,3,149,2,328,673
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73B","St. Thomas",73,74,2,20,5,1,152,3,330,611
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 74","St. Thomas",65,76,6,10,3,1,105,0,266,670
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 75","St. Thomas",60,91,9,28,5,2,127,0,322,787
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 76","St. Thomas",69,78,8,31,1,1,143,1,332,793
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 77","St. Thomas",58,38,3,8,0,4,102,7,220,487
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 78","St. Thomas",72,98,3,16,0,3,76,4,272,569
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 79","St. Thomas",67,90,8,18,1,0,86,0,270,613
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 80","St. Thomas",52,31,0,12,0,1,70,1,167,361
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 81","St. Thomas",99,95,11,19,3,1,186,3,417,729
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82","St. Thomas",62,59,0,15,5,1,139,1,282,587
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 83","St. Thomas",51,68,6,16,1,2,103,4,251,501
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 84","St. Thomas",52,63,3,16,2,4,94,4,238,490
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 85","St. Thomas",62,60,2,12,0,1,115,7,259,580
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 86","St. Thomas",103,101,6,35,1,1,123,1,371,738
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87A","Central Elgin",97,84,2,17,2,4,160,1,367,634
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87B","Central Elgin",87,71,6,17,4,2,173,1,361,639
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88A","St. Thomas",78,80,3,23,2,3,164,3,356,708
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88B","St. Thomas",102,93,3,23,0,2,201,5,429,768
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 89","St. Thomas",60,50,7,11,0,1,127,2,258,496
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 90","St. Thomas",64,81,5,19,1,2,142,3,317,747
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 91","Yarmouth",93,61,5,8,3,1,163,1,335,728
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 92","Aylmer",33,59,4,13,5,3,137,3,257,591
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 93","Aylmer",42,25,6,14,19,2,141,2,251,499
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94","Aylmer",51,56,3,12,9,1,175,4,311,578
