Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 16C","Wolverton",3,27,45,43,114,5,2,239,135
35080,"Oxford/Oxford"," 17A","Drumbo",Merged with No./Fusionné avec le n°16A,,,,,,,,112
35080,"Oxford/Oxford"," 17B","Drumbo",Merged with No./Fusionné avec le n°16B,,,,,,,,160
35080,"Oxford/Oxford"," 17C","Drumbo",Merged with No./Fusionné avec le n°16C,,,,,,,,136
35080,"Oxford/Oxford"," 18A","Richwood",Merged with No./Fusionné avec le n°16A,,,,,,,,93
35080,"Oxford/Oxford"," 18B","Richwood",Merged with No./Fusionné avec le n°16B,,,,,,,,135
35080,"Oxford/Oxford"," 18C","Richwood",Merged with No./Fusionné avec le n°16C,,,,,,,,98
35080,"Oxford/Oxford"," 19A","Richwood",Merged with No./Fusionné avec le n°16A,,,,,,,,148
35080,"Oxford/Oxford"," 19B","Richwood",Merged with No./Fusionné avec le n°16B,,,,,,,,139
35080,"Oxford/Oxford"," 19C","Richwood",Merged with No./Fusionné avec le n°16C,,,,,,,,70
35080,"Oxford/Oxford"," 20A","Hickson",5,26,47,48,157,7,3,293,142
35080,"Oxford/Oxford"," 20B","Hickson",8,21,35,35,184,8,2,293,174
35080,"Oxford/Oxford"," 21A","Hickson",Merged with No./Fusionné avec le n°20A,,,,,,,,196
35080,"Oxford/Oxford"," 21B","Hickson",Merged with No./Fusionné avec le n°20B,,,,,,,,198
35080,"Oxford/Oxford"," 22A","Braemar",Merged with No./Fusionné avec le n°20A,,,,,,,,220
35080,"Oxford/Oxford"," 22B","Braemar",Merged with No./Fusionné avec le n°20B,,,,,,,,174
35080,"Oxford/Oxford"," 23A","Harrington",3,9,46,46,122,8,0,234,130
35080,"Oxford/Oxford"," 23B","Harrington",5,21,50,65,137,10,0,288,144
35080,"Oxford/Oxford"," 24A","Maplewood",Merged with No./Fusionné avec le n°23A,,,,,,,,104
