Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 128A","Zorra",Merged with No./Fusionné avec le n°125A,,,,,,,,183
35080,"Oxford/Oxford"," 128B","Zorra",Merged with No./Fusionné avec le n°125B,,,,,,,,150
35080,"Oxford/Oxford"," 129","Sweaburg",2,13,28,47,115,3,0,208,330
35080,"Oxford/Oxford"," 130","Sweaburg",1,22,38,27,105,2,0,195,307
35080,"Oxford/Oxford"," 131","Foldens",4,18,39,26,139,8,0,234,385
35080,"Oxford/Oxford"," 132A","Ingersoll",3,18,92,48,94,6,2,263,166
35080,"Oxford/Oxford"," 132B","Ingersoll",1,26,85,30,106,8,1,257,179
35080,"Oxford/Oxford"," 132C","Ingersoll",2,18,108,33,111,11,1,284,156
35080,"Oxford/Oxford"," 133A","Ingersoll",Merged with No./Fusionné avec le n°132A,,,,,,,,140
35080,"Oxford/Oxford"," 133B","Ingersoll",Merged with No./Fusionné avec le n°132B,,,,,,,,121
35080,"Oxford/Oxford"," 133C","Ingersoll",Merged with No./Fusionné avec le n°132C,,,,,,,,150
35080,"Oxford/Oxford"," 134A","Ingersoll",Merged with No./Fusionné avec le n°132A,,,,,,,,102
35080,"Oxford/Oxford"," 134B","Ingersoll",Merged with No./Fusionné avec le n°132B,,,,,,,,93
35080,"Oxford/Oxford"," 134C","Ingersoll",Merged with No./Fusionné avec le n°132C,,,,,,,,125
35080,"Oxford/Oxford"," 135A","Ingersoll",Merged with No./Fusionné avec le n°132A,,,,,,,,189
35080,"Oxford/Oxford"," 135B","Ingersoll",Merged with No./Fusionné avec le n°132B,,,,,,,,167
35080,"Oxford/Oxford"," 135C","Ingersoll",Merged with No./Fusionné avec le n°132C,,,,,,,,166
35080,"Oxford/Oxford"," 136","Ingersoll",6,20,70,58,96,15,1,266,463
35080,"Oxford/Oxford"," 137","Ingersoll",3,26,84,53,103,11,0,280,513
35080,"Oxford/Oxford"," 138A","Norwich",35,10,30,31,206,5,2,319,202
35080,"Oxford/Oxford"," 138B","Norwich",43,19,42,17,276,7,3,407,214
35080,"Oxford/Oxford"," 139A","Burgessville",Merged with No./Fusionné avec le n°138A,,,,,,,,207
35080,"Oxford/Oxford"," 139B","Burgessville",Merged with No./Fusionné avec le n°138B,,,,,,,,216
35080,"Oxford/Oxford"," 140A","Holbrook",Merged with No./Fusionné avec le n°138A,,,,,,,,123
35080,"Oxford/Oxford"," 140B","Holbrook",Merged with No./Fusionné avec le n°138B,,,,,,,,200
35080,"Oxford/Oxford"," 141","Ingersoll",4,15,61,34,73,2,0,189,340
35080,"Oxford/Oxford"," 142","Ingersoll",0,24,60,41,101,9,2,237,449
35080,"Oxford/Oxford"," 143A","Ingersoll",2,34,81,66,118,11,3,315,371
35080,"Oxford/Oxford"," 143B","Ingersoll",3,20,94,59,123,10,4,313,375
35080,"Oxford/Oxford"," 144A","Ingersoll",Merged with No./Fusionné avec le n°143A,,,,,,,,271
35080,"Oxford/Oxford"," 144B","Ingersoll",Merged with No./Fusionné avec le n°143B,,,,,,,,235
35080,"Oxford/Oxford"," 145","Ingersoll",0,25,56,24,69,7,3,184,515
35080,"Oxford/Oxford"," 146","Ingersoll",3,21,79,50,105,6,0,264,578
35080,"Oxford/Oxford"," 147","Ingersoll",4,20,57,42,91,4,4,222,424
35080,"Oxford/Oxford"," 148","Ingersoll",5,26,72,60,75,10,1,249,523
35080,"Oxford/Oxford"," 149","Ingersoll",8,27,63,72,112,10,1,293,598
35080,"Oxford/Oxford"," 150","South-West Oxford",3,8,46,43,75,9,1,185,348
35080,"Oxford/Oxford"," 151A","Ingersoll",1,38,117,49,127,11,3,346,187
35080,"Oxford/Oxford"," 151B","Ingersoll",6,20,84,42,91,16,3,262,175
35080,"Oxford/Oxford"," 152A","Ingersoll",Merged with No./Fusionné avec le n°151A,,,,,,,,211
35080,"Oxford/Oxford"," 152B","Ingersoll",Merged with No./Fusionné avec le n°151B,,,,,,,,230
35080,"Oxford/Oxford"," 153A","Ingersoll",Merged with No./Fusionné avec le n°151A,,,,,,,,254
35080,"Oxford/Oxford"," 153B","Ingersoll",Merged with No./Fusionné avec le n°151B,,,,,,,,211
35080,"Oxford/Oxford"," 154","Norwich",9,7,36,26,112,3,2,195,428
35080,"Oxford/Oxford"," 155","Norwich",2,14,30,38,98,9,2,193,395
35080,"Oxford/Oxford"," 156","Norwich",5,20,63,43,125,8,0,264,564
35080,"Oxford/Oxford"," 157","Norwich",8,16,46,30,122,7,1,230,494
35080,"Oxford/Oxford"," 158","Norwich",8,10,30,30,120,12,2,212,401
35080,"Oxford/Oxford"," 159","Norwich",30,8,24,20,131,7,6,226,432
35080,"Oxford/Oxford"," 160","Thamesford",1,18,56,38,105,2,3,223,336
35080,"Oxford/Oxford"," 161","Thamesford",1,14,38,35,98,2,0,188,309
35080,"Oxford/Oxford"," 162","Thamesford",0,27,76,79,129,10,1,322,493
35080,"Oxford/Oxford"," 163","Dicksons Corners",5,13,35,33,130,2,1,219,371
35080,"Oxford/Oxford"," 164","Ingersoll",3,36,104,75,165,7,2,392,742
35080,"Oxford/Oxford"," 165","South-West Oxford",5,15,72,40,86,5,5,228,494
35080,"Oxford/Oxford"," 166","South-West Oxford",6,15,42,35,107,6,2,213,416
35080,"Oxford/Oxford"," 167","Salford",22,22,79,41,207,12,3,386,366
35080,"Oxford/Oxford"," 168","Verschoyle",Merged with No./Fusionné avec le n°167,,,,,,,,324
35080,"Oxford/Oxford"," 169A","Otterville",10,22,49,53,255,18,0,407,250
35080,"Oxford/Oxford"," 169B","Otterville",23,26,51,43,218,4,3,368,227
35080,"Oxford/Oxford"," 170A","Hawtrey",Merged with No./Fusionné avec le n°169A,,,,,,,,214
35080,"Oxford/Oxford"," 170B","Hawtrey",Merged with No./Fusionné avec le n°169B,,,,,,,,198
35080,"Oxford/Oxford"," 171A","Otterville",Merged with No./Fusionné avec le n°169A,,,,,,,,261
35080,"Oxford/Oxford"," 171B","Otterville",Merged with No./Fusionné avec le n°169B,,,,,,,,225
35080,"Oxford/Oxford"," 172","Norwich",12,4,20,18,118,2,0,174,274
35080,"Oxford/Oxford"," 173","Springford",19,8,47,12,144,7,1,238,369
35080,"Oxford/Oxford"," 174","Norwich",7,8,33,25,152,0,0,225,420
35080,"Oxford/Oxford"," 175","Mount Elgin",3,23,85,36,166,9,2,324,512
35080,"Oxford/Oxford"," 176","Ostrander",9,8,19,25,149,2,0,212,386
35080,"Oxford/Oxford"," 177","Verschoyle",6,17,21,29,111,8,0,192,337
35080,"Oxford/Oxford"," 178A","Tillsonburg",3,28,57,50,163,7,4,312,80
35080,"Oxford/Oxford"," 178B","Tillsonburg",6,17,66,55,114,4,1,263,85
35080,"Oxford/Oxford"," 178C","Tillsonburg",2,19,48,54,142,12,1,278,102
35080,"Oxford/Oxford"," 178D","Tillsonburg",7,30,79,64,176,11,6,373,89
35080,"Oxford/Oxford"," 179A","Tillsonburg",Merged with No./Fusionné avec le n°178A,,,,,,,,164
35080,"Oxford/Oxford"," 179B","Tillsonburg",Merged with No./Fusionné avec le n°178B,,,,,,,,125
35080,"Oxford/Oxford"," 179C","Tillsonburg",Merged with No./Fusionné avec le n°178C,,,,,,,,161
35080,"Oxford/Oxford"," 179D","Tillsonburg",Merged with No./Fusionné avec le n°178D,,,,,,,,174
35080,"Oxford/Oxford"," 180A","Tillsonburg",Merged with No./Fusionné avec le n°178A,,,,,,,,147
35080,"Oxford/Oxford"," 180B","Tillsonburg",Merged with No./Fusionné avec le n°178B,,,,,,,,95
35080,"Oxford/Oxford"," 180C","Tillsonburg",Merged with No./Fusionné avec le n°178C,,,,,,,,116
35080,"Oxford/Oxford"," 180D","Tillsonburg",Merged with No./Fusionné avec le n°178D,,,,,,,,166
35080,"Oxford/Oxford"," 181A","Delmer",Merged with No./Fusionné avec le n°178A,,,,,,,,97
35080,"Oxford/Oxford"," 181B","Delmer",Merged with No./Fusionné avec le n°178B,,,,,,,,87
35080,"Oxford/Oxford"," 181C","Delmer",Merged with No./Fusionné avec le n°178C,,,,,,,,80
35080,"Oxford/Oxford"," 181D","Delmer",Merged with No./Fusionné avec le n°178D,,,,,,,,130
35080,"Oxford/Oxford"," 182A","Delmer",Merged with No./Fusionné avec le n°178A,,,,,,,,100
35080,"Oxford/Oxford"," 182B","Delmer",Merged with No./Fusionné avec le n°178B,,,,,,,,84
35080,"Oxford/Oxford"," 182C","Delmer",Merged with No./Fusionné avec le n°178C,,,,,,,,98
35080,"Oxford/Oxford"," 182D","Delmer",Merged with No./Fusionné avec le n°178D,,,,,,,,128
35080,"Oxford/Oxford"," 183A","Tillsonburg",0,31,79,37,153,4,3,307,126
35080,"Oxford/Oxford"," 183B","Tillsonburg",3,26,52,21,91,7,3,203,104
35080,"Oxford/Oxford"," 183C","Tillsonburg",1,10,58,60,111,8,4,252,97
35080,"Oxford/Oxford"," 183D","Tillsonburg",6,22,73,62,110,17,4,294,100
35080,"Oxford/Oxford"," 184A","Tillsonburg",Merged with No./Fusionné avec le n°183A,,,,,,,,153
35080,"Oxford/Oxford"," 184B","Tillsonburg",Merged with No./Fusionné avec le n°183B,,,,,,,,100
35080,"Oxford/Oxford"," 184C","Tillsonburg",Merged with No./Fusionné avec le n°183C,,,,,,,,135
35080,"Oxford/Oxford"," 184D","Tillsonburg",Merged with No./Fusionné avec le n°183D,,,,,,,,140
35080,"Oxford/Oxford"," 185A","Tillsonburg",Merged with No./Fusionné avec le n°183A,,,,,,,,186
35080,"Oxford/Oxford"," 185B","Tillsonburg",Merged with No./Fusionné avec le n°183B,,,,,,,,107
35080,"Oxford/Oxford"," 185C","Tillsonburg",Merged with No./Fusionné avec le n°183C,,,,,,,,140
35080,"Oxford/Oxford"," 185D","Tillsonburg",Merged with No./Fusionné avec le n°183D,,,,,,,,150
35080,"Oxford/Oxford"," 186A","Tillsonburg",Merged with No./Fusionné avec le n°183A,,,,,,,,136
35080,"Oxford/Oxford"," 186B","Tillsonburg",Merged with No./Fusionné avec le n°183B,,,,,,,,123
35080,"Oxford/Oxford"," 186C","Tillsonburg",Merged with No./Fusionné avec le n°183C,,,,,,,,123
35080,"Oxford/Oxford"," 186D","Tillsonburg",Merged with No./Fusionné avec le n°183D,,,,,,,,129
35080,"Oxford/Oxford"," 187A","Tillsonburg",Merged with No./Fusionné avec le n°183A,,,,,,,,157
35080,"Oxford/Oxford"," 187B","Tillsonburg",Merged with No./Fusionné avec le n°183B,,,,,,,,117
35080,"Oxford/Oxford"," 187C","Tillsonburg",Merged with No./Fusionné avec le n°183C,,,,,,,,114
35080,"Oxford/Oxford"," 187D","Tillsonburg",Merged with No./Fusionné avec le n°183D,,,,,,,,151
35080,"Oxford/Oxford"," 188","Tillsonburg",7,17,69,51,109,13,1,267,573
35080,"Oxford/Oxford"," 189","Tillsonburg",2,16,46,42,71,4,1,182,460
35080,"Oxford/Oxford"," 190","Tillsonburg",4,21,42,47,127,9,2,252,471
35080,"Oxford/Oxford"," 191","Tillsonburg",2,23,63,78,133,6,1,306,592
35080,"Oxford/Oxford"," 192","Tillsonburg",1,13,40,40,118,5,3,220,465
35080,"Oxford/Oxford"," 193A","Tillsonburg",4,26,63,46,88,2,5,234,201
35080,"Oxford/Oxford"," 193B","Tillsonburg",3,20,67,37,89,6,3,225,197
35080,"Oxford/Oxford"," 194A","Tillsonburg",Merged with No./Fusionné avec le n°193A,,,,,,,,215
35080,"Oxford/Oxford"," 194B","Tillsonburg",Merged with No./Fusionné avec le n°193B,,,,,,,,199
35080,"Oxford/Oxford"," 195A","Tillsonburg",Merged with No./Fusionné avec le n°193A,,,,,,,,244
35080,"Oxford/Oxford"," 195B","Tillsonburg",Merged with No./Fusionné avec le n°193B,,,,,,,,257
35080,"Oxford/Oxford"," 196A","Delmer",10,20,60,35,185,2,0,312,158
35080,"Oxford/Oxford"," 196B","Delmer",6,9,54,23,157,8,3,260,139
35080,"Oxford/Oxford"," 197A","Brownsville Station",Merged with No./Fusionné avec le n°196A,,,,,,,,195
35080,"Oxford/Oxford"," 197B","Brownsville Station",Merged with No./Fusionné avec le n°196B,,,,,,,,190
35080,"Oxford/Oxford"," 198A","Brownsville",Merged with No./Fusionné avec le n°196A,,,,,,,,162
35080,"Oxford/Oxford"," 198B","Brownsville",Merged with No./Fusionné avec le n°196B,,,,,,,,115
35080,"Oxford/Oxford"," 199","Tillsonburg",11,24,60,76,156,4,5,336,585
35080,"Oxford/Oxford"," 200","Tillsonburg",1,31,27,67,114,2,1,243,431
35080,"Oxford/Oxford"," 201","Tillsonburg",2,20,37,62,86,4,5,216,369
35080,"Oxford/Oxford"," 202","Tillsonburg",3,15,50,57,148,7,2,282,522
35080,"Oxford/Oxford"," 203","Tillsonburg",2,40,20,89,121,9,1,282,541
35080,"Oxford/Oxford"," 204","Tillsonburg",1,9,21,30,92,2,4,159,345
35080,"Oxford/Oxford"," 205","Tillsonburg",2,13,25,34,89,9,0,172,358
35080,"Oxford/Oxford"," 206","Norfolk County",1,12,28,35,84,7,0,167,365
35080,"Oxford/Oxford"," 207","Tillsonburg",4,15,45,41,67,3,0,175,430
35080,"Oxford/Oxford"," 208","Norfolk County",1,15,34,32,109,5,0,196,577
35080,"Oxford/Oxford"," 209","Norfolk County",3,10,35,26,92,5,1,172,412
35080,"Oxford/Oxford"," 400","Woodstock",0,6,13,54,74,1,0,148,209
35080,"Oxford/Oxford"," 401","Woodstock",0,6,31,24,88,4,6,159,217
35080,"Oxford/Oxford"," 402","Woodstock",3,11,18,38,74,4,2,150,225
35080,"Oxford/Oxford"," 403","Woodstock",3,15,21,41,88,3,3,174,225
35080,"Oxford/Oxford"," 404","Woodstock",0,4,10,46,72,1,10,143,218
35080,"Oxford/Oxford"," 405","Woodstock",0,7,19,36,79,3,0,144,183
35080,"Oxford/Oxford"," 406","Woodstock",3,4,9,22,31,1,11,81,169
35080,"Oxford/Oxford"," 407","Woodstock",1,11,18,27,51,1,2,111,175
35080,"Oxford/Oxford"," 408","Woodstock",4,11,5,13,49,0,6,88,114
35080,"Oxford/Oxford"," 409","Woodstock",1,8,19,40,68,2,0,138,186
35080,"Oxford/Oxford"," 410","Woodstock",2,1,7,13,26,4,4,57,158
35080,"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",1,8,17,22,33,4,7,92,207
35080,"Oxford/Oxford"," 501","Mobile poll/Bureau itinérant",0,5,7,15,38,0,2,67,119
35080,"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",0,5,5,18,32,2,4,66,150
35080,"Oxford/Oxford"," 503","Mobile poll/Bureau itinérant",5,2,5,13,24,3,1,53,128
35080,"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",1,1,7,17,28,1,3,58,79
35080,"Oxford/Oxford"," 600","Zorra",6,26,69,73,204,8,1,387,
35080,"Oxford/Oxford"," 601","East Zorra-Tavistock",6,13,30,45,141,3,0,238,
35080,"Oxford/Oxford"," 602","East Zorra-Tavistock",9,19,50,50,212,7,3,350,
35080,"Oxford/Oxford"," 603","Blandford-Blenheim",5,36,28,51,178,7,2,307,
35080,"Oxford/Oxford"," 604","Blandford-Blenheim",5,33,50,70,196,8,7,369,
35080,"Oxford/Oxford"," 605","Woodstock",4,38,123,158,362,22,3,710,
35080,"Oxford/Oxford"," 606","Woodstock",4,43,132,110,238,25,2,554,
35080,"Oxford/Oxford"," 607","Woodstock",7,65,129,182,414,19,4,820,
35080,"Oxford/Oxford"," 608","Woodstock",6,48,78,96,148,21,3,400,
35080,"Oxford/Oxford"," 609","Woodstock",4,34,98,96,231,15,2,480,
35080,"Oxford/Oxford"," 610","Woodstock",4,49,108,68,216,15,6,466,
35080,"Oxford/Oxford"," 611","Zorra",5,32,58,69,188,7,3,362,
35080,"Oxford/Oxford"," 612","Ingersoll",6,56,239,148,312,23,2,786,
35080,"Oxford/Oxford"," 613","Ingersoll",15,72,186,192,318,26,7,816,
35080,"Oxford/Oxford"," 614","South-West Oxford",4,27,38,18,94,7,1,189,
35080,"Oxford/Oxford"," 615","Woodstock",0,42,125,124,240,30,3,564,
35080,"Oxford/Oxford"," 616","Burford--Brant",8,22,56,54,128,2,1,271,
35080,"Oxford/Oxford"," 617","Norwich",5,19,52,51,202,5,1,335,
35080,"Oxford/Oxford"," 618","South-West Oxford",11,15,62,28,170,9,3,298,
35080,"Oxford/Oxford"," 619","Tillsonburg",5,53,111,198,476,22,5,870,
35080,"Oxford/Oxford"," 620","Tillsonburg",13,49,117,120,302,18,3,622,
35080,"Oxford/Oxford"," 621","Tillsonburg",5,39,97,145,460,26,16,788,
35080,"Oxford/Oxford"," 622","Norwich",21,47,96,89,404,20,12,689,
35080,"Oxford/Oxford",,Group 1/Groupe 1, 3,13,18,34,25,1,11,105,119
35080,"Oxford/Oxford",,Group 2/Groupe 2, 11,130,223,270,507,31,17,1189,
