Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Bernier,Andrew Moraga,Mike Morrice,Ellen Papenburg,Raj Saini,Stephen Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Kitchener Centre/Kitchener-Centre"," 1","Kitchener",4,14,34,1,56,80,0,189,431
35045,"Kitchener Centre/Kitchener-Centre"," 2","Kitchener",5,10,51,2,48,76,3,195,366
35045,"Kitchener Centre/Kitchener-Centre"," 3","Kitchener",5,17,56,1,98,74,3,254,459
35045,"Kitchener Centre/Kitchener-Centre"," 4","Kitchener",2,11,41,0,69,43,0,166,295
35045,"Kitchener Centre/Kitchener-Centre"," 5","Kitchener",2,21,56,1,82,48,1,211,426
35045,"Kitchener Centre/Kitchener-Centre"," 6","Kitchener",3,20,40,0,83,52,0,198,444
35045,"Kitchener Centre/Kitchener-Centre"," 7","Kitchener",5,21,58,0,45,49,0,178,425
35045,"Kitchener Centre/Kitchener-Centre"," 8","Kitchener",11,22,60,1,74,33,0,201,422
35045,"Kitchener Centre/Kitchener-Centre"," 9","Kitchener",5,28,71,1,85,34,2,226,438
35045,"Kitchener Centre/Kitchener-Centre"," 10","Kitchener",6,35,74,4,84,56,2,261,467
35045,"Kitchener Centre/Kitchener-Centre"," 11","Kitchener",3,21,35,0,64,58,4,185,374
35045,"Kitchener Centre/Kitchener-Centre"," 12","Kitchener",1,22,42,2,80,67,2,216,438
35045,"Kitchener Centre/Kitchener-Centre"," 13","Kitchener",2,17,44,2,72,72,11,220,451
35045,"Kitchener Centre/Kitchener-Centre"," 14","Kitchener",1,37,41,0,75,53,4,211,485
35045,"Kitchener Centre/Kitchener-Centre"," 15","Kitchener",1,25,37,0,105,95,1,264,502
35045,"Kitchener Centre/Kitchener-Centre"," 16","Kitchener",6,19,40,1,68,60,0,194,376
35045,"Kitchener Centre/Kitchener-Centre"," 17","Kitchener",6,29,66,0,62,39,1,203,354
35045,"Kitchener Centre/Kitchener-Centre"," 18","Kitchener",3,33,75,0,74,75,1,261,516
35045,"Kitchener Centre/Kitchener-Centre"," 19","Kitchener",8,18,40,0,43,33,2,144,390
35045,"Kitchener Centre/Kitchener-Centre"," 20","Kitchener",5,28,53,0,67,40,2,195,344
35045,"Kitchener Centre/Kitchener-Centre"," 21","Kitchener",9,19,56,2,125,86,1,298,564
35045,"Kitchener Centre/Kitchener-Centre"," 22","Kitchener",4,25,25,0,72,41,0,167,367
35045,"Kitchener Centre/Kitchener-Centre"," 23","Kitchener",3,29,24,1,34,41,2,134,369
35045,"Kitchener Centre/Kitchener-Centre"," 24","Kitchener",3,21,36,0,111,79,1,251,494
35045,"Kitchener Centre/Kitchener-Centre"," 25","Kitchener",3,32,47,2,70,60,3,217,402
35045,"Kitchener Centre/Kitchener-Centre"," 26","Kitchener",4,12,39,1,86,71,2,215,361
35045,"Kitchener Centre/Kitchener-Centre"," 27","Kitchener",6,18,56,0,107,94,2,283,566
35045,"Kitchener Centre/Kitchener-Centre"," 28","Kitchener",3,12,32,0,118,76,4,245,433
35045,"Kitchener Centre/Kitchener-Centre"," 29","Kitchener",2,11,28,0,83,84,2,210,449
35045,"Kitchener Centre/Kitchener-Centre"," 30","Kitchener",8,15,37,0,110,103,4,277,572
35045,"Kitchener Centre/Kitchener-Centre"," 31","Kitchener",1,37,23,1,115,109,2,288,596
35045,"Kitchener Centre/Kitchener-Centre"," 32","Kitchener",3,25,38,0,101,103,3,273,492
35045,"Kitchener Centre/Kitchener-Centre"," 33","Kitchener",1,33,37,0,56,42,0,169,393
35045,"Kitchener Centre/Kitchener-Centre"," 34","Kitchener",7,28,74,0,86,75,3,273,499
35045,"Kitchener Centre/Kitchener-Centre"," 35","Kitchener",6,43,101,1,134,54,3,342,687
35045,"Kitchener Centre/Kitchener-Centre"," 36","Kitchener",6,30,125,0,95,66,2,324,575
35045,"Kitchener Centre/Kitchener-Centre"," 37","Kitchener",4,31,37,1,73,35,1,182,369
35045,"Kitchener Centre/Kitchener-Centre"," 38","Kitchener",6,28,73,3,49,20,1,180,383
35045,"Kitchener Centre/Kitchener-Centre"," 39","Kitchener",5,21,34,1,60,42,1,164,413
35045,"Kitchener Centre/Kitchener-Centre"," 40","Kitchener",6,28,42,0,73,61,2,212,368
35045,"Kitchener Centre/Kitchener-Centre"," 41","Kitchener",3,44,52,1,51,49,0,200,379
35045,"Kitchener Centre/Kitchener-Centre"," 42","Kitchener",7,27,55,1,61,66,1,218,453
35045,"Kitchener Centre/Kitchener-Centre"," 43","Kitchener",1,21,17,0,56,35,7,137,388
35045,"Kitchener Centre/Kitchener-Centre"," 44","Kitchener",10,33,54,2,68,44,6,217,524
35045,"Kitchener Centre/Kitchener-Centre"," 45","Kitchener",10,42,58,2,92,67,2,273,505
35045,"Kitchener Centre/Kitchener-Centre"," 46","Kitchener",5,26,74,0,72,36,2,215,456
