Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Barrett,Brian Deheer,Maggie Farrington,Matthew Gilks,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 1","Fitzgerald",1,10,74,44,27,1,157,399
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 2","Fort Chipewyan",Merged with No./Fusionné avec le n°1,,,,,,,213
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3","Fort McKay",5,8,24,35,79,0,151,425
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4A","Chipewyan Lakes",3,5,8,25,43,2,86,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4B","Chipewyan Lakes",1,2,10,13,38,0,64,326
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 5","Wabasca",8,8,19,48,87,0,170,492
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 6","Wabasca",3,9,21,40,59,0,132,403
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7A","Trout Lake",2,4,14,19,39,0,78,300
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7B","Trout Lake",1,3,24,33,33,0,94,372
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 8","Fort McMurray",8,2,14,10,130,0,164,226
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 9A","Wood Buffalo",Merged with No./Fusionné avec le n°8,,,,,,,164
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 9B","Wood Buffalo",6,0,18,13,81,0,118,401
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 10","Fort McMurray",4,3,12,4,108,0,131,356
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11","Fort McMurray",11,2,17,10,149,1,190,473
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 12A","Wood Buffalo",8,4,33,13,129,1,188,458
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 12B","Wood Buffalo",9,2,14,11,114,1,151,226
