Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rosemarie Falk,Larry Ingram,David Kim-Cragg,Jason MacInnis,Marcella Pedersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",19,52,1,5,149,0,226,1206
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",12,41,5,3,170,1,232,982
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",172,0,2,3,1,0,178,286
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Bolney",367,7,3,9,10,2,398,497
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Spruce Lake",93,6,2,0,2,1,104,291
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","Thunderchild First Nation 115B",13,32,1,0,28,0,74,117
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","Turtleford",315,77,6,9,94,2,503,957
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","St. Walburg",144,11,4,6,7,2,174,367
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","St. Walburg",193,4,5,6,13,0,221,431
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Bolney",84,4,4,2,9,0,103,308
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Northminster",236,5,3,4,2,0,250,618
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Hillmond",256,5,3,8,4,0,276,424
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Lloydminster",158,1,0,2,6,0,167,449
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13","Livelong",292,22,8,15,59,2,398,630
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Lloydminster (Part)",182,6,1,1,9,1,200,469
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Lloydminster (Part)",161,5,3,4,16,0,189,457
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Lloydminster (Part)",124,7,3,7,18,0,159,392
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Lloydminster (Part)",109,15,5,0,16,0,145,330
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Lloydminster (Part)",109,3,2,2,12,1,129,382
