Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Matt DeCourcey,Andrea Johnson,Brandon Kirby,Jacob Patterson,Jason Paull,Lesley Thomas,Mackenzie Thomason,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 1","Maugerville",97,71,119,0,1,4,6,20,1,319,295
13003,"Fredericton/Fredericton"," 2","Burpees Corner",143,89,175,0,1,5,7,31,1,452,289
13003,"Fredericton/Fredericton"," 3","Burpees Corner",Merged with No./Fusionné avec le n°2,,,,,,,,,,285
13003,"Fredericton/Fredericton"," 4","St. Marys",73,61,102,1,0,4,1,26,5,273,519
13003,"Fredericton/Fredericton"," 5","Maugerville",89,49,82,2,0,4,3,14,0,243,460
13003,"Fredericton/Fredericton"," 6","Sheffield",91,59,234,1,0,14,2,26,0,427,338
13003,"Fredericton/Fredericton"," 7","Sheffield",Merged with No./Fusionné avec le n°6,,,,,,,,,,306
13003,"Fredericton/Fredericton"," 8","Douglas Harbour",55,64,159,1,0,5,2,11,0,297,454
13003,"Fredericton/Fredericton"," 9","Fredericton",129,104,146,0,0,15,5,23,4,426,475
13003,"Fredericton/Fredericton"," 10","Fredericton",Merged with No./Fusionné avec le n°9,,,,,,,,,,409
13003,"Fredericton/Fredericton"," 11","Fredericton",93,54,49,1,0,6,2,12,0,217,478
13003,"Fredericton/Fredericton"," 12","Devon 30",87,31,13,0,0,0,0,18,0,149,479
13003,"Fredericton/Fredericton"," 13","Fredericton",90,78,71,0,0,5,1,13,0,258,532
13003,"Fredericton/Fredericton"," 14","Fredericton",60,60,70,0,0,3,0,11,0,204,461
13003,"Fredericton/Fredericton"," 15","Fredericton",85,35,14,0,0,5,1,6,1,147,482
13003,"Fredericton/Fredericton"," 16A","Fredericton",98,62,61,0,0,4,0,25,0,250,728
13003,"Fredericton/Fredericton"," 16B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,,57
13003,"Fredericton/Fredericton"," 17","Fredericton",66,50,56,1,0,3,3,11,0,190,387
13003,"Fredericton/Fredericton"," 18","Fredericton",89,35,67,0,1,7,0,16,0,215,444
13003,"Fredericton/Fredericton"," 19","Fredericton",73,29,58,0,0,2,2,10,1,175,406
13003,"Fredericton/Fredericton"," 20","Fredericton",67,78,86,6,0,4,1,10,4,256,428
13003,"Fredericton/Fredericton"," 21","Fredericton",Results combined with No./Résultats combinés au n°20,,,,,,,,,,405
13003,"Fredericton/Fredericton"," 22","Fredericton",70,58,42,0,0,0,0,7,0,177,348
13003,"Fredericton/Fredericton"," 23","Fredericton",57,36,60,0,1,7,0,12,2,175,519
13003,"Fredericton/Fredericton"," 24","Fredericton",63,48,36,0,0,1,0,9,0,157,338
13003,"Fredericton/Fredericton"," 25","Fredericton",61,57,45,1,0,2,1,2,1,170,365
13003,"Fredericton/Fredericton"," 26","Fredericton",60,46,46,0,1,1,2,14,0,170,356
13003,"Fredericton/Fredericton"," 27","Fredericton",70,43,48,1,0,9,4,20,3,198,472
13003,"Fredericton/Fredericton"," 28","Fredericton",137,92,82,3,0,6,0,30,2,352,412
13003,"Fredericton/Fredericton"," 29","Fredericton",Merged with No./Fusionné avec le n°28,,,,,,,,,,391
13003,"Fredericton/Fredericton"," 30","Fredericton",68,39,52,0,0,2,1,9,4,175,451
13003,"Fredericton/Fredericton"," 31","Fredericton",79,76,57,0,0,6,2,10,0,230,474
13003,"Fredericton/Fredericton"," 32","Fredericton",79,56,64,0,1,1,1,4,2,208,401
13003,"Fredericton/Fredericton"," 33","Fredericton",60,54,44,0,0,3,0,7,0,168,350
13003,"Fredericton/Fredericton"," 34","Fredericton",80,61,33,0,0,6,1,6,1,188,400
13003,"Fredericton/Fredericton"," 35","Fredericton",74,46,57,1,1,4,3,11,0,197,413
13003,"Fredericton/Fredericton"," 36","Fredericton",74,40,44,0,0,2,1,15,0,176,389
13003,"Fredericton/Fredericton"," 37","Fredericton",88,54,49,0,0,3,0,8,0,202,420
13003,"Fredericton/Fredericton"," 38","Fredericton",72,70,58,0,0,2,2,9,1,214,400
13003,"Fredericton/Fredericton"," 39","Fredericton",69,71,60,0,0,3,0,11,0,214,424
13003,"Fredericton/Fredericton"," 40","Fredericton",64,49,44,1,0,4,2,16,1,181,419
13003,"Fredericton/Fredericton"," 41","Fredericton",80,58,58,1,0,0,0,15,3,215,454
13003,"Fredericton/Fredericton"," 42","Fredericton",78,50,44,0,1,4,1,13,2,193,425
13003,"Fredericton/Fredericton"," 43","Fredericton",96,43,54,1,0,2,1,11,0,208,405
13003,"Fredericton/Fredericton"," 44","Fredericton",85,54,51,1,0,1,0,16,1,209,411
13003,"Fredericton/Fredericton"," 45","Fredericton",68,54,58,0,0,3,0,9,0,192,516
13003,"Fredericton/Fredericton"," 46","Fredericton",80,63,67,0,0,12,0,17,3,242,446
13003,"Fredericton/Fredericton"," 47","Fredericton",68,48,62,0,0,0,5,14,1,198,434
13003,"Fredericton/Fredericton"," 48","Fredericton",74,61,73,0,0,10,4,13,0,235,482
13003,"Fredericton/Fredericton"," 49","Fredericton",66,43,36,0,0,4,0,12,0,161,325
13003,"Fredericton/Fredericton"," 50","Sheffield",85,40,81,2,0,6,1,15,3,233,348
13003,"Fredericton/Fredericton"," 51","Maugerville",52,46,121,0,0,5,2,14,0,240,456
13003,"Fredericton/Fredericton"," 52","Fredericton",61,36,33,0,0,0,0,5,1,136,365
13003,"Fredericton/Fredericton"," 53","Fredericton",86,67,25,3,1,1,1,10,2,196,467
13003,"Fredericton/Fredericton"," 54","Fredericton",141,71,18,1,1,0,1,20,0,253,551
13003,"Fredericton/Fredericton"," 55","Fredericton",Merged with No./Fusionné avec le n°56,,,,,,,,,,391
13003,"Fredericton/Fredericton"," 56","Fredericton",193,101,34,2,1,4,2,29,0,366,486
13003,"Fredericton/Fredericton"," 57","Fredericton",64,67,37,1,0,3,2,5,2,181,395
13003,"Fredericton/Fredericton"," 58","Fredericton",56,38,48,1,0,4,0,8,0,155,311
13003,"Fredericton/Fredericton"," 59","Fredericton",86,57,72,1,0,4,0,19,1,240,461
13003,"Fredericton/Fredericton"," 60","Fredericton",129,85,114,0,0,9,5,28,0,370,460
13003,"Fredericton/Fredericton"," 61","Fredericton",Merged with No./Fusionné avec le n°60,,,,,,,,,,338
13003,"Fredericton/Fredericton"," 62","Fredericton",67,47,64,0,0,3,4,17,0,202,412
