Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Hartnell,Amanda Moddejonge,Marcus Powlowski,Linda Rydholm,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Fort Frances",3,3,47,35,47,0,135,306
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Fort Frances",5,10,45,51,62,1,174,381
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Fort Frances",7,4,46,44,66,0,167,381
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Fort Frances",0,9,47,67,70,2,195,426
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Fort Frances",1,12,50,68,29,0,160,367
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Devlin",12,12,73,167,76,0,340,571
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Sapawe",1,5,20,44,16,0,86,176
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Shebandowan",1,7,19,38,4,0,69,121
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Oliver Paipoonge",4,6,83,76,53,2,224,460
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",3,14,57,94,58,1,227,391
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Millar",5,8,55,80,50,1,199,345
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","Oliver",3,9,67,55,54,0,188,354
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","Murillo",1,9,39,69,39,0,157,278
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Thunder Bay",1,8,95,41,82,0,227,545
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Thunder Bay",7,5,91,45,71,5,224,501
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Kakabeka Falls",3,6,23,29,28,0,89,252
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Thunder Bay",2,1,54,24,53,0,134,308
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Thunder Bay",0,6,95,42,72,1,216,364
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Thunder Bay",2,2,78,48,68,2,200,370
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Thunder Bay",0,6,88,49,68,0,211,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Thunder Bay",3,17,114,37,68,3,242,483
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Thunder Bay",8,9,94,46,85,8,250,582
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Thunder Bay",2,2,92,45,58,2,201,387
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Thunder Bay",4,7,95,66,100,2,274,552
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","Thunder Bay",3,3,66,28,86,1,187,479
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Thunder Bay",1,5,54,33,47,0,140,295
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Thunder Bay",1,4,57,35,13,0,110,262
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Thunder Bay",3,6,97,49,78,0,233,466
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Thunder Bay",2,17,119,51,56,0,245,523
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",1,6,60,34,37,0,138,270
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",6,8,54,31,85,0,184,491
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",7,14,70,44,104,9,248,550
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Neguaguon Lake 25D",0,0,13,0,26,0,39,178
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",4,5,103,51,77,1,241,424
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",2,9,80,39,42,1,173,264
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",0,9,85,32,55,0,181,331
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",6,13,143,46,59,2,269,483
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",8,10,65,32,66,3,184,458
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",6,3,42,24,84,4,163,418
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",1,11,60,25,78,2,177,401
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",2,13,55,32,72,2,176,431
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",2,5,46,22,53,2,130,392
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",3,7,56,30,50,2,148,324
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",4,4,58,41,39,3,149,309
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",0,1,65,30,44,3,143,306
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",3,9,46,27,82,0,167,368
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",4,11,63,36,69,1,184,359
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",2,3,55,28,56,2,146,353
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97","Thunder Bay",4,5,106,107,46,0,268,470
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",3,9,144,102,61,1,320,635
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",3,11,120,64,70,0,268,513
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",5,13,139,58,36,1,252,474
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",4,8,81,76,47,5,221,432
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",3,4,48,13,54,0,122,369
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",6,6,118,41,67,1,239,530
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",2,2,51,30,47,7,139,271
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",5,6,104,40,55,2,212,352
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",4,3,39,29,41,2,118,271
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",4,10,40,30,67,1,152,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",13,7,50,50,78,1,199,376
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",2,9,51,27,65,1,155,392
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",4,10,63,26,78,2,183,397
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",0,11,89,49,48,0,197,362
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",1,7,120,45,59,0,232,397
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",3,7,101,56,37,2,206,367
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",4,8,100,52,62,6,232,439
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",4,8,72,38,30,5,157,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",5,7,90,44,73,0,219,442
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",4,8,76,27,54,0,169,423
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",6,5,69,35,89,0,204,411
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",1,6,76,47,66,0,196,438
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",3,8,55,35,38,0,139,387
