Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ginette Boutet,Miranda Gallo,Georgia Kokotsis,Emmanuella Lambropoulos,Christopher Mikus,Thérèse Miljours,Richard Serour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 1","Saint-Laurent",1,18,3,172,2,5,13,3,217,584
24068,"Saint-Laurent/Saint-Laurent"," 2","Saint-Laurent",0,18,5,159,3,12,20,7,224,494
24068,"Saint-Laurent/Saint-Laurent"," 3","Saint-Laurent",0,13,7,120,1,5,31,5,182,366
24068,"Saint-Laurent/Saint-Laurent"," 4","Saint-Laurent",0,16,8,194,0,9,19,4,250,558
24068,"Saint-Laurent/Saint-Laurent"," 5","Saint-Laurent",0,23,9,184,4,14,37,11,282,502
24068,"Saint-Laurent/Saint-Laurent"," 6","Saint-Laurent",1,21,8,192,5,11,38,3,279,588
24068,"Saint-Laurent/Saint-Laurent"," 7","Saint-Laurent",0,15,3,138,0,5,22,7,190,494
24068,"Saint-Laurent/Saint-Laurent"," 8","Saint-Laurent",0,10,5,93,0,4,36,4,152,419
24068,"Saint-Laurent/Saint-Laurent"," 9","Saint-Laurent",0,12,2,82,0,6,24,0,126,418
24068,"Saint-Laurent/Saint-Laurent"," 10","Saint-Laurent",0,5,4,102,0,5,12,1,129,333
24068,"Saint-Laurent/Saint-Laurent"," 11","Saint-Laurent",0,24,5,130,2,15,33,0,209,620
24068,"Saint-Laurent/Saint-Laurent"," 12","Saint-Laurent",1,14,4,100,0,5,21,1,146,444
24068,"Saint-Laurent/Saint-Laurent"," 13","Saint-Laurent",0,21,10,121,0,6,60,4,222,561
24068,"Saint-Laurent/Saint-Laurent"," 14","Saint-Laurent",0,25,9,175,2,8,32,8,259,628
24068,"Saint-Laurent/Saint-Laurent"," 15","Saint-Laurent",0,19,11,170,1,7,36,6,250,653
24068,"Saint-Laurent/Saint-Laurent"," 16","Saint-Laurent",1,7,5,111,0,10,28,3,165,446
24068,"Saint-Laurent/Saint-Laurent"," 17","Saint-Laurent",0,25,9,151,6,7,24,5,227,490
24068,"Saint-Laurent/Saint-Laurent"," 18","Saint-Laurent",0,23,13,164,3,27,45,11,286,573
24068,"Saint-Laurent/Saint-Laurent"," 19","Saint-Laurent",0,13,14,88,0,12,36,4,167,376
24068,"Saint-Laurent/Saint-Laurent"," 20","Saint-Laurent",1,21,7,208,3,8,36,9,293,572
24068,"Saint-Laurent/Saint-Laurent"," 21","Saint-Laurent",0,29,8,167,3,11,35,11,264,489
24068,"Saint-Laurent/Saint-Laurent"," 22","Saint-Laurent",0,36,16,121,3,19,35,5,235,488
24068,"Saint-Laurent/Saint-Laurent"," 23","Saint-Laurent",0,39,22,145,3,25,47,3,284,490
24068,"Saint-Laurent/Saint-Laurent"," 24","Saint-Laurent",1,40,23,155,3,26,31,3,282,554
24068,"Saint-Laurent/Saint-Laurent"," 25","Saint-Laurent",1,33,6,146,1,10,13,8,218,482
24068,"Saint-Laurent/Saint-Laurent"," 26","Saint-Laurent",1,25,10,105,6,20,41,5,213,442
24068,"Saint-Laurent/Saint-Laurent"," 27","Saint-Laurent",0,21,20,144,1,18,43,5,252,592
24068,"Saint-Laurent/Saint-Laurent"," 28","Saint-Laurent",0,15,9,123,2,23,31,2,205,411
24068,"Saint-Laurent/Saint-Laurent"," 29","Saint-Laurent",1,12,7,116,2,6,20,2,166,441
