Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Blair,Amanda Cain,Italo Eratostene,Kimberly Fawcett Smith,Simon Luisi,Keith McCrady,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Scarborough",218,3,1,19,0,38,0,279,600
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Scarborough",155,6,2,35,2,38,6,244,574
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Scarborough",145,11,0,51,0,29,2,238,442
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Scarborough",79,8,2,33,2,25,4,153,237
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Scarborough",135,6,2,35,1,27,6,212,473
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Scarborough",166,9,0,62,0,34,0,271,572
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Scarborough",110,10,5,66,0,49,1,241,466
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Scarborough",103,14,8,52,0,30,2,209,364
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Scarborough",94,8,2,49,0,24,1,178,340
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Scarborough",75,11,2,33,3,22,0,146,311
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Scarborough",124,11,2,65,0,24,1,227,514
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Scarborough",136,21,5,67,3,41,1,274,570
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Scarborough",130,12,3,49,0,49,0,243,528
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Scarborough",89,7,2,55,1,18,1,173,401
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15A","Scarborough",95,4,3,34,1,24,0,161,335
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73B,,,,,,,,89
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Scarborough",154,3,1,50,3,36,3,250,517
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Scarborough",178,11,4,36,0,32,4,265,539
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Scarborough",81,12,2,38,1,34,3,171,427
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Scarborough",95,8,7,36,0,20,2,168,361
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Scarborough",108,2,1,42,0,27,0,180,483
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Scarborough",136,6,3,41,2,30,2,220,398
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Scarborough",110,7,1,37,0,28,2,185,424
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Scarborough",90,10,0,46,0,35,5,186,413
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Scarborough",102,12,2,66,0,36,0,218,391
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25","Scarborough",134,27,3,67,0,89,2,322,591
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Scarborough",118,6,0,49,0,23,2,198,375
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27A","Scarborough",85,2,0,24,1,21,0,133,332
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27B","Scarborough",78,9,1,21,0,21,0,130,343
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Scarborough",103,8,4,59,0,27,0,201,346
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29","Scarborough",94,20,1,60,0,24,1,200,362
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Scarborough",121,7,4,74,0,34,0,240,377
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Scarborough",115,9,1,59,0,32,1,217,394
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32","Scarborough",92,13,3,61,2,23,4,198,396
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Scarborough",109,6,2,42,0,14,1,174,363
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Scarborough",133,7,1,22,1,40,1,205,451
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Scarborough",122,11,1,34,1,28,2,199,418
