Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monique Allard,Lyne Bessette,Steeve Cloutier,Bruno Côté,Lawrence Cotton,Normand Dallaire,Sylvie Jetté,François Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 1","Orford",87,58,0,12,0,8,19,1,1,186,459
24016,"Brome--Missisquoi/Brome--Missisquoi"," 2","Orford",95,78,1,16,0,13,14,1,1,219,462
24016,"Brome--Missisquoi/Brome--Missisquoi"," 3","Orford",69,70,1,26,1,14,22,2,0,205,437
24016,"Brome--Missisquoi/Brome--Missisquoi"," 4","Orford",56,50,0,15,0,9,21,0,0,151,339
24016,"Brome--Missisquoi/Brome--Missisquoi"," 5","Orford",71,68,2,22,0,4,10,0,0,177,421
24016,"Brome--Missisquoi/Brome--Missisquoi"," 6","Orford",68,72,1,21,1,13,14,0,0,190,456
24016,"Brome--Missisquoi/Brome--Missisquoi"," 7","Orford",48,99,0,10,0,11,27,0,0,195,440
24016,"Brome--Missisquoi/Brome--Missisquoi"," 8","Orford",43,44,0,6,0,8,4,0,0,105,313
24016,"Brome--Missisquoi/Brome--Missisquoi"," 9","Orford",62,104,0,18,0,9,19,1,1,214,413
24016,"Brome--Missisquoi/Brome--Missisquoi"," 10","Eastman",166,103,1,15,1,20,26,2,4,338,548
24016,"Brome--Missisquoi/Brome--Missisquoi"," 11","Eastman",132,93,1,17,0,19,20,1,5,288,470
24016,"Brome--Missisquoi/Brome--Missisquoi"," 12","Eastman",77,87,0,20,0,23,14,4,3,228,418
24016,"Brome--Missisquoi/Brome--Missisquoi"," 13","Eastman",106,80,3,19,0,15,15,4,2,244,356
24016,"Brome--Missisquoi/Brome--Missisquoi"," 14","Magog",50,36,0,13,0,9,11,2,0,121,295
24016,"Brome--Missisquoi/Brome--Missisquoi"," 15","Magog",68,51,0,45,0,5,14,2,6,191,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 16","Magog",59,50,0,29,0,6,13,0,5,162,338
24016,"Brome--Missisquoi/Brome--Missisquoi"," 17","Magog",80,41,1,31,0,5,6,2,1,167,391
24016,"Brome--Missisquoi/Brome--Missisquoi"," 18","Magog",63,61,0,24,0,9,16,1,6,180,405
24016,"Brome--Missisquoi/Brome--Missisquoi"," 19","Magog",87,43,2,30,0,5,19,2,8,196,385
