Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bossio,Adam L. E. Gray,Derek Sloan,David Tough,Sari Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 1","Bangor",63,4,149,33,13,3,265,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 2","Carlow",51,3,122,29,18,0,223,380
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 3","Maynooth",50,4,88,26,14,0,182,336
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 4","Maynooth",47,4,98,27,8,0,184,352
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 5","Monteagle",41,6,70,30,13,1,161,315
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 6","Monteagle",54,10,109,15,13,0,201,373
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 7","Monteagle",39,1,83,9,4,0,136,340
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 8","Herschel",40,2,73,25,16,2,158,370
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 9","Denbigh--Abinger--Ashby",47,6,103,16,4,1,177,299
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 10","Vennachar",34,0,55,8,8,3,108,240
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 11","Mayo",64,4,115,21,10,3,217,424
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 12","Herschel",50,2,98,38,7,0,195,358
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 13","Herschel",46,5,76,28,9,4,168,352
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 14","Herschel",67,1,61,12,7,1,149,338
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 15","Dungannon",56,1,85,25,8,3,178,434
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 16","Dungannon",43,4,73,33,9,3,165,416
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 17","Bancroft",11,0,40,10,6,0,67,138
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 18","Bancroft",14,3,17,6,2,0,42,135
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 19","Bancroft",47,3,63,14,10,4,141,339
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 20","Bancroft",49,4,73,9,15,1,151,380
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 21","Bancroft",50,3,52,18,3,0,126,313
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 22","Faraday",36,6,69,18,9,2,140,316
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 23","Bancroft",36,5,59,11,6,0,117,419
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 24","Dungannon",41,2,102,28,12,2,187,388
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 25","Dungannon",59,6,101,12,13,0,191,353
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 26","Faraday",70,8,79,12,6,0,175,406
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 27","Faraday",41,1,54,14,4,3,117,310
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 28","Faraday",57,5,103,22,9,3,199,379
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 29","Massanoga",44,1,74,14,8,0,141,280
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 30","Limerick",58,1,65,15,11,2,152,288
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 31","Tudor and Cashel",25,2,46,4,3,0,80,162
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 32","Tudor and Cashel",42,5,111,30,17,4,209,420
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 33","Northbrook",36,2,54,16,7,2,117,268
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 34","Northbrook",34,2,53,13,6,1,109,273
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 35","Queensborough",32,6,51,15,10,0,114,216
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 36","Wollaston",63,13,99,40,15,0,230,430
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 37","Wollaston",76,5,69,28,11,1,190,389
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 38","Flinton",63,3,144,26,15,5,256,483
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 39","Kaladar",23,3,33,8,6,1,74,203
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 40","Actinolite",78,5,83,26,13,3,208,527
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 41","Bellheck",75,6,61,28,12,0,182,372
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 42","Bellheck",50,5,51,18,16,0,140,297
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 43","Tamworth",56,5,38,22,12,0,133,286
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 44","Erinsville",95,0,92,20,14,0,221,451
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 45","Eldorado",54,6,72,15,6,0,153,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 46","Eldorado",48,6,65,16,13,1,149,323
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 47","Eldorado",71,9,81,16,10,0,187,408
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 48","Eldorado",68,7,100,18,9,0,202,511
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 49","Deloro",26,3,43,14,15,1,102,299
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 50","Chippewa",47,7,95,29,16,0,194,343
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 51","Enterprise",53,0,66,19,12,0,150,287
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 52","Hungerford",58,2,58,12,11,0,141,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 53","Hungerford",73,6,70,14,10,0,173,407
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 54","Tweed",42,2,52,16,4,1,117,350
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 55","Hungerford",61,3,33,13,5,2,117,360
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 56","Moscow",108,13,120,42,20,4,307,503
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 57","Marmora and Lake",88,11,134,39,23,0,295,498
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 58","Marmora and Lake",43,11,77,27,18,2,178,370
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 59","Marmora and Lake",67,8,62,23,11,1,172,307
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 60","Hungerford",65,2,63,16,17,0,163,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 61","Tweed",45,1,44,31,6,0,127,327
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 62","Eldorado",23,1,59,9,6,0,98,340
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 63","Deloro",38,4,79,19,8,1,149,273
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 64","Madoc",51,16,73,20,15,0,175,460
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 65","Madoc",42,13,62,17,12,3,149,361
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 66","Madoc",49,12,50,25,13,2,151,391
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 67","Madoc",38,3,51,17,8,0,117,297
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 68","Madoc",27,1,55,11,3,0,97,314
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 69","Hungerford",74,7,96,30,24,1,232,427
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 70","Yarker",102,11,72,45,24,0,254,437
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 71","Colebrook",103,5,98,42,29,0,277,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 72","Camden East",117,5,85,40,11,0,258,445
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 73","Thorpe",50,1,65,40,7,0,163,403
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 74","Milsap",99,7,80,26,8,2,222,406
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 75","Milsap",85,3,91,46,12,1,238,469
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 76","Croydon",87,7,114,23,15,1,247,474
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 77","Greater Napanee",75,2,135,34,15,1,262,519
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 78","Tweed",50,3,70,11,6,0,140,340
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 79","Tweed",51,2,33,20,12,0,118,300
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 80","Hungerford",42,9,68,20,15,0,154,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 81","Hungerford",46,8,74,15,14,2,159,375
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 82","Marmora",39,9,99,24,14,3,188,419
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 83","Marmora",53,7,130,19,23,4,236,486
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 84","Marmora and Lake",53,6,99,28,8,0,194,350
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 85","Marmora and Lake",51,1,97,25,11,2,187,385
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 86","Huntingdon",66,11,126,31,14,1,249,456
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 87","Huntingdon",76,9,134,43,25,3,290,487
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 88","Camden East",102,4,59,25,9,4,203,330
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 89","Newburgh",118,5,66,44,26,1,260,423
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 90","Strathcona",76,4,91,32,17,1,221,406
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 91","Switzerville",69,6,107,19,8,0,209,411
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 92","Thomasburg",93,9,82,35,18,2,239,419
