Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Carlton Darby,Adam Laughton,Sven Spengemann,Cynthia Trentelman,Eugen Vizitiu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 1","Mississauga",127,0,19,130,14,0,2,292,481
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 2","Mississauga",110,0,16,125,8,2,0,261,453
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 3","Mississauga",102,2,12,122,5,6,1,250,405
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 4","Mississauga",86,0,22,93,7,3,2,213,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 5","Mississauga",81,0,28,95,10,1,1,216,438
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 6","Mississauga",77,0,32,90,10,3,2,214,457
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 7","Mississauga",92,0,22,103,5,6,0,228,429
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 8","Mississauga",93,1,22,128,18,7,6,275,436
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 9","Mississauga",75,0,15,88,10,5,3,196,369
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 10","Mississauga",75,1,21,78,10,3,0,188,372
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 11A","Mississauga",59,0,21,67,4,1,2,154,307
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 11B","Mississauga",44,1,19,76,8,2,0,150,330
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 12","Mississauga",87,1,11,90,7,2,1,199,383
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 13","Mississauga",97,0,12,83,5,2,0,199,410
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 14","Mississauga",84,1,18,92,17,3,3,218,464
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 15","Mississauga",81,0,16,132,14,3,1,247,424
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 16","Mississauga",75,0,11,117,8,1,1,213,356
