Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jack Harris,David Peters,Joedy Wall,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 64","St. John's",91,5,32,82,1,211,421
10006,"St. John's East/St. John's-Est"," 65","St. John's",148,10,29,85,2,274,591
10006,"St. John's East/St. John's-Est"," 66","St. John's",105,4,16,77,3,205,389
10006,"St. John's East/St. John's-Est"," 67","St. John's",131,4,23,91,4,253,459
10006,"St. John's East/St. John's-Est"," 68","St. John's",84,6,27,70,2,189,414
10006,"St. John's East/St. John's-Est"," 69","St. John's",119,4,45,120,7,295,610
10006,"St. John's East/St. John's-Est"," 70","St. John's",156,6,40,88,0,290,552
10006,"St. John's East/St. John's-Est"," 71","St. John's",79,4,35,63,2,183,356
10006,"St. John's East/St. John's-Est"," 72","St. John's",106,4,45,101,0,256,474
10006,"St. John's East/St. John's-Est"," 73","St. John's",98,2,34,68,6,208,440
10006,"St. John's East/St. John's-Est"," 74","St. John's",119,3,43,67,2,234,415
10006,"St. John's East/St. John's-Est"," 75","St. John's",153,4,41,73,0,271,503
10006,"St. John's East/St. John's-Est"," 76","St. John's",144,4,41,99,1,289,578
10006,"St. John's East/St. John's-Est"," 77","St. John's",75,2,11,51,3,142,303
10006,"St. John's East/St. John's-Est"," 78","St. John's",102,5,26,45,4,182,484
10006,"St. John's East/St. John's-Est"," 79","St. John's",91,1,29,80,0,201,361
10006,"St. John's East/St. John's-Est"," 80","St. John's",61,2,25,74,0,162,354
10006,"St. John's East/St. John's-Est"," 81","St. John's",114,6,24,91,3,238,497
10006,"St. John's East/St. John's-Est"," 82","St. John's",81,5,30,88,0,204,393
10006,"St. John's East/St. John's-Est"," 83","St. John's",101,4,15,89,5,214,432
10006,"St. John's East/St. John's-Est"," 84","St. John's",119,5,28,115,2,269,492
