Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter DeVita,Raquel Fronte,Muhammad Hassan Khan,Teresa Kruze,Domenic Montesano,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 1","Vaughan",40,15,1,110,0,132,0,298,683
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 2","Vaughan",20,8,2,77,4,126,4,241,546
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 3","Vaughan",17,4,2,63,1,83,7,177,460
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 4","Vaughan",35,4,0,72,3,132,2,248,517
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 5","Vaughan",21,4,0,75,6,165,0,271,561
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 6","Vaughan",20,9,1,65,0,105,0,200,499
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 7","Vaughan",33,15,1,94,8,138,2,291,662
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 8","Vaughan",23,6,0,78,4,112,7,230,486
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 9","Vaughan",25,8,1,74,0,135,3,246,473
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 10","Vaughan",19,8,0,55,1,116,2,201,441
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 11","Vaughan",18,10,2,86,2,87,5,210,495
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 12","Vaughan",26,4,1,70,2,111,1,215,454
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 13","Vaughan",10,4,0,94,2,87,2,199,377
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 14","Vaughan",12,3,1,75,1,107,1,200,374
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 15","Vaughan",21,4,0,168,4,148,2,347,643
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 16","Vaughan",18,4,0,83,1,87,6,199,449
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 17","Vaughan",12,6,0,93,3,104,1,219,428
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 18","Vaughan",17,3,0,115,2,108,0,245,509
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 19","Vaughan",5,4,0,100,5,143,0,257,450
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 20","Vaughan",25,6,0,52,0,123,3,209,434
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 21","Vaughan",15,3,0,75,6,113,0,212,487
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 22","Vaughan",17,3,0,86,5,100,0,211,435
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 23","Vaughan",25,4,0,61,4,119,2,215,452
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 24","Vaughan",28,3,1,82,1,115,2,232,445
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 25","Vaughan",30,8,2,63,5,134,0,242,414
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 26","Vaughan",19,6,1,74,3,128,0,231,566
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 27","Vaughan",23,4,1,50,4,119,0,201,509
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 28","Vaughan",30,7,2,65,2,119,3,228,542
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 29","Vaughan",21,1,0,87,2,84,3,198,443
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 30","Vaughan",24,7,1,80,0,125,2,239,472
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 31","Vaughan",12,6,1,70,7,84,1,181,383
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 32","Vaughan",11,5,1,70,3,112,2,204,450
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 33","Vaughan",23,3,1,61,3,92,2,185,436
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 34","Vaughan",19,1,3,74,3,112,4,216,440
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 35","Vaughan",17,7,2,87,1,95,6,215,435
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 36","Vaughan",25,5,0,91,0,108,2,231,478
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 37","Vaughan",14,3,0,74,2,104,3,200,443
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 38","Vaughan",10,3,0,83,1,80,2,179,398
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 39","Vaughan",16,7,2,85,6,126,0,242,494
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 40","Vaughan",9,6,0,104,2,133,0,254,514
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 41","Vaughan",7,5,0,130,2,59,0,203,420
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 42","Vaughan",14,2,0,94,4,102,0,216,419
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 43","Vaughan",22,12,0,90,3,93,3,223,488
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 44","Vaughan",13,3,2,85,6,108,3,220,442
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 45","Vaughan",16,5,0,92,1,95,0,209,430
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 46","Vaughan",21,6,0,82,2,99,1,211,413
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 47","Vaughan",16,9,1,97,1,126,2,252,442
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 48","Vaughan",27,14,3,76,7,111,1,239,490
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 49","Vaughan",18,5,0,141,6,116,5,291,553
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 50","Vaughan",12,5,1,116,2,93,1,230,379
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 51","Vaughan",15,9,0,85,3,82,3,197,364
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 52","Vaughan",7,2,0,86,1,68,1,165,302
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 53","Vaughan",18,5,0,88,1,57,4,173,348
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 54","Vaughan",10,5,0,76,0,118,4,213,449
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 55","Vaughan",7,6,0,81,2,88,0,184,385
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 56","Vaughan",9,4,2,99,4,64,2,184,349
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 57","Vaughan",23,6,0,65,5,100,0,199,472
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 58","Vaughan",17,5,1,87,3,153,0,266,422
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 59","Vaughan",19,10,2,112,5,136,2,286,488
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 60","Vaughan",25,5,1,79,7,114,0,231,538
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 61","Vaughan",33,3,3,97,4,147,2,289,523
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 62","Vaughan",17,5,0,117,0,121,1,261,409
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 63","Vaughan",10,8,0,87,0,81,3,189,429
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 64","Vaughan",11,3,0,79,1,144,0,238,452
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 65","Vaughan",9,3,0,88,4,108,0,212,344
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 66","Vaughan",7,2,1,86,3,110,0,209,410
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 67","Vaughan",9,5,1,80,1,92,1,189,334
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 68","Vaughan",11,5,0,112,2,75,1,206,412
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 69","Vaughan",5,2,1,122,5,110,2,247,457
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 70","Vaughan",24,5,0,78,4,119,2,232,460
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 71","Vaughan",28,7,0,86,1,102,1,225,498
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 72","Vaughan",12,2,0,83,6,143,1,247,456
