Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julius Buté,Dwayne Cappelletti,Matthieu Couture,Angelo Esposito,Marguerite Howells,Angelo Iacono,Andriana Kocini,Michel Lachance,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 55","Laval",0,0,1,17,4,81,8,48,2,161,369
24004,"Alfred-Pellan/Alfred-Pellan"," 56","Laval",1,0,1,11,1,41,4,26,3,88,285
24004,"Alfred-Pellan/Alfred-Pellan"," 57","Laval",0,3,0,52,4,149,15,12,2,237,475
24004,"Alfred-Pellan/Alfred-Pellan"," 58","Laval",2,1,1,26,3,95,9,13,1,151,329
24004,"Alfred-Pellan/Alfred-Pellan"," 59","Laval",0,0,1,33,1,135,17,5,2,194,381
24004,"Alfred-Pellan/Alfred-Pellan"," 60","Laval",1,1,2,67,4,149,12,11,4,251,470
24004,"Alfred-Pellan/Alfred-Pellan"," 61","Laval",0,0,2,19,2,69,10,33,0,135,310
24004,"Alfred-Pellan/Alfred-Pellan"," 62","Laval",0,0,0,31,5,139,2,10,3,190,395
24004,"Alfred-Pellan/Alfred-Pellan"," 63","Laval",0,0,2,74,3,164,16,9,5,273,510
24004,"Alfred-Pellan/Alfred-Pellan"," 64","Laval",0,1,0,53,5,96,15,2,1,173,363
24004,"Alfred-Pellan/Alfred-Pellan"," 65","Laval",0,0,0,44,2,135,16,15,1,213,451
24004,"Alfred-Pellan/Alfred-Pellan"," 66","Laval",0,0,0,17,6,132,20,57,3,235,598
24004,"Alfred-Pellan/Alfred-Pellan"," 67","Laval",0,0,2,47,2,180,12,8,4,255,555
24004,"Alfred-Pellan/Alfred-Pellan"," 68","Laval",2,0,1,15,3,81,15,39,4,160,413
24004,"Alfred-Pellan/Alfred-Pellan"," 69","Laval",0,0,4,15,8,60,14,67,4,172,388
24004,"Alfred-Pellan/Alfred-Pellan"," 70","Laval",0,0,6,9,15,84,21,130,5,270,516
24004,"Alfred-Pellan/Alfred-Pellan"," 71","Laval",1,0,0,22,6,59,27,90,5,210,430
24004,"Alfred-Pellan/Alfred-Pellan"," 72","Laval",0,0,5,22,7,123,20,50,2,229,381
24004,"Alfred-Pellan/Alfred-Pellan"," 73","Laval",0,0,2,13,9,76,24,37,2,163,394
24004,"Alfred-Pellan/Alfred-Pellan"," 74","Laval",1,0,2,18,9,94,27,65,4,220,419
24004,"Alfred-Pellan/Alfred-Pellan"," 75","Laval",1,0,2,30,6,132,17,20,4,212,435
24004,"Alfred-Pellan/Alfred-Pellan"," 76","Laval",0,1,4,34,3,94,17,41,5,199,410
24004,"Alfred-Pellan/Alfred-Pellan"," 77","Laval",0,0,3,26,7,137,10,16,3,202,395
24004,"Alfred-Pellan/Alfred-Pellan"," 78","Laval",0,0,2,19,3,74,9,75,3,185,363
24004,"Alfred-Pellan/Alfred-Pellan"," 79","Laval",0,2,1,16,15,73,12,61,2,182,385
24004,"Alfred-Pellan/Alfred-Pellan"," 80","Laval",1,0,1,15,3,77,18,48,0,163,363
24004,"Alfred-Pellan/Alfred-Pellan"," 81","Laval",0,0,4,12,2,65,13,19,1,116,280
24004,"Alfred-Pellan/Alfred-Pellan"," 82","Laval",1,0,0,26,3,82,14,28,0,154,277
24004,"Alfred-Pellan/Alfred-Pellan"," 83","Laval",0,0,2,20,6,84,21,61,2,196,471
24004,"Alfred-Pellan/Alfred-Pellan"," 84","Laval",1,1,0,11,10,83,12,40,4,162,311
24004,"Alfred-Pellan/Alfred-Pellan"," 85","Laval",1,1,1,15,11,90,12,57,2,190,461
24004,"Alfred-Pellan/Alfred-Pellan"," 86","Laval",1,3,3,12,12,70,19,74,5,199,460
24004,"Alfred-Pellan/Alfred-Pellan"," 87","Laval",1,0,3,21,10,71,17,62,4,189,417
24004,"Alfred-Pellan/Alfred-Pellan"," 88","Laval",1,0,2,17,13,72,23,91,7,226,387
24004,"Alfred-Pellan/Alfred-Pellan"," 89","Laval",1,0,0,18,11,62,24,45,0,161,552
24004,"Alfred-Pellan/Alfred-Pellan"," 90","Laval",0,0,2,10,5,74,14,48,3,156,338
24004,"Alfred-Pellan/Alfred-Pellan"," 91","Laval",0,0,0,11,9,101,17,75,2,215,419
24004,"Alfred-Pellan/Alfred-Pellan"," 92","Laval",0,0,0,18,4,90,21,45,2,180,368
24004,"Alfred-Pellan/Alfred-Pellan"," 93","Laval",1,0,2,39,9,113,11,58,5,238,426
24004,"Alfred-Pellan/Alfred-Pellan"," 94","Laval",1,0,0,11,8,116,29,68,3,236,386
24004,"Alfred-Pellan/Alfred-Pellan"," 95","Laval",0,1,2,43,2,129,18,29,4,228,452
24004,"Alfred-Pellan/Alfred-Pellan"," 96","Laval",0,1,1,19,7,75,16,63,5,187,442
24004,"Alfred-Pellan/Alfred-Pellan"," 97","Laval",0,3,3,27,10,124,17,46,11,241,440
24004,"Alfred-Pellan/Alfred-Pellan"," 98","Laval",0,0,1,13,4,119,20,14,0,171,356
24004,"Alfred-Pellan/Alfred-Pellan"," 99","Laval",2,0,1,17,6,79,20,50,3,178,344
24004,"Alfred-Pellan/Alfred-Pellan"," 100","Laval",1,1,2,16,4,76,16,34,4,154,347
24004,"Alfred-Pellan/Alfred-Pellan"," 101","Laval",0,0,0,23,4,82,21,58,4,192,417
24004,"Alfred-Pellan/Alfred-Pellan"," 102","Laval",1,1,0,9,7,68,14,27,1,128,319
24004,"Alfred-Pellan/Alfred-Pellan"," 103","Laval",2,0,1,19,19,105,22,54,5,227,359
24004,"Alfred-Pellan/Alfred-Pellan"," 104","Laval",1,0,2,12,6,102,16,50,7,196,454
24004,"Alfred-Pellan/Alfred-Pellan"," 105","Laval",0,1,4,13,10,53,12,54,4,151,361
24004,"Alfred-Pellan/Alfred-Pellan"," 106","Laval",0,0,0,18,6,70,10,65,4,173,440
24004,"Alfred-Pellan/Alfred-Pellan"," 107","Laval",1,0,2,15,7,86,25,55,3,194,381
24004,"Alfred-Pellan/Alfred-Pellan"," 108","Laval",0,0,1,17,7,83,15,51,7,181,343
24004,"Alfred-Pellan/Alfred-Pellan"," 109","Laval",0,1,2,21,3,101,11,53,1,193,381
24004,"Alfred-Pellan/Alfred-Pellan"," 110","Laval",1,1,1,30,8,102,17,57,2,219,421
24004,"Alfred-Pellan/Alfred-Pellan"," 111","Laval",1,0,0,20,13,93,13,62,5,207,430
24004,"Alfred-Pellan/Alfred-Pellan"," 112","Laval",0,0,1,20,5,82,11,66,1,186,410
24004,"Alfred-Pellan/Alfred-Pellan"," 113","Laval",0,0,0,15,5,101,23,49,1,194,353
24004,"Alfred-Pellan/Alfred-Pellan"," 114","Laval",0,0,0,21,11,83,14,23,3,155,330
24004,"Alfred-Pellan/Alfred-Pellan"," 115","Laval",0,0,0,32,3,113,7,9,1,165,338
24004,"Alfred-Pellan/Alfred-Pellan"," 116","Laval",1,0,1,10,7,68,10,27,0,124,310
24004,"Alfred-Pellan/Alfred-Pellan"," 117","Laval",0,3,2,37,9,109,25,34,3,222,443
24004,"Alfred-Pellan/Alfred-Pellan"," 118","Laval",3,0,1,17,5,78,4,54,3,165,388
24004,"Alfred-Pellan/Alfred-Pellan"," 119","Laval",0,0,1,9,5,72,17,38,0,142,349
24004,"Alfred-Pellan/Alfred-Pellan"," 120","Laval",2,0,3,19,5,57,9,34,2,131,308
24004,"Alfred-Pellan/Alfred-Pellan"," 121","Laval",0,0,0,16,5,70,13,32,2,138,381
24004,"Alfred-Pellan/Alfred-Pellan"," 122","Laval",1,0,0,23,8,83,11,53,3,182,395
24004,"Alfred-Pellan/Alfred-Pellan"," 123","Laval",2,0,2,12,3,67,21,33,2,142,356
24004,"Alfred-Pellan/Alfred-Pellan"," 124","Laval",1,2,1,11,2,82,9,34,0,142,329
24004,"Alfred-Pellan/Alfred-Pellan"," 125","Laval",0,0,1,7,2,73,20,32,3,138,331
24004,"Alfred-Pellan/Alfred-Pellan"," 126","Laval",0,0,0,14,4,46,15,42,1,122,284
