Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Paul Bordonaro,Danny Celovsky,Tim Durkin,Neil Ellis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 1","Quinte West",30,6,10,95,71,0,212,474
35006,"Bay of Quinte/Baie de Quinte"," 2","Quinte West",15,0,14,77,54,1,161,352
35006,"Bay of Quinte/Baie de Quinte"," 3","Quinte West",44,0,11,85,67,0,207,468
35006,"Bay of Quinte/Baie de Quinte"," 4","Quinte West",37,7,13,107,34,4,202,441
35006,"Bay of Quinte/Baie de Quinte"," 5","Quinte West",50,5,10,83,59,0,207,417
35006,"Bay of Quinte/Baie de Quinte"," 6","Quinte West",35,6,8,114,104,1,268,557
35006,"Bay of Quinte/Baie de Quinte"," 7","Quinte West",32,6,21,76,83,2,220,488
35006,"Bay of Quinte/Baie de Quinte"," 8","Quinte West",24,5,14,91,86,0,220,471
35006,"Bay of Quinte/Baie de Quinte"," 9","Quinte West",34,5,8,88,84,0,219,483
35006,"Bay of Quinte/Baie de Quinte"," 10","Quinte West",27,1,10,102,56,2,198,433
35006,"Bay of Quinte/Baie de Quinte"," 11","Quinte West",18,5,6,51,53,0,133,279
35006,"Bay of Quinte/Baie de Quinte"," 12","Quinte West",44,5,21,146,95,2,313,604
35006,"Bay of Quinte/Baie de Quinte"," 13","Belleville",35,7,10,110,133,1,296,537
35006,"Bay of Quinte/Baie de Quinte"," 14","Belleville",42,5,15,90,120,4,276,550
35006,"Bay of Quinte/Baie de Quinte"," 15","Belleville",40,6,8,84,67,0,205,519
35006,"Bay of Quinte/Baie de Quinte"," 16","Belleville",45,3,2,69,76,1,196,409
35006,"Bay of Quinte/Baie de Quinte"," 17","Belleville",44,4,11,52,67,2,180,525
35006,"Bay of Quinte/Baie de Quinte"," 18","Belleville",19,2,15,76,87,2,201,457
35006,"Bay of Quinte/Baie de Quinte"," 19","Belleville",22,3,9,51,94,1,180,390
35006,"Bay of Quinte/Baie de Quinte"," 20","Belleville",25,3,12,66,103,2,211,409
35006,"Bay of Quinte/Baie de Quinte"," 21","Belleville",34,2,15,60,105,1,217,397
35006,"Bay of Quinte/Baie de Quinte"," 22","Belleville",41,4,17,94,148,0,304,586
35006,"Bay of Quinte/Baie de Quinte"," 23","Belleville",19,6,8,63,94,2,192,323
35006,"Bay of Quinte/Baie de Quinte"," 24","Belleville",41,6,11,102,128,6,294,579
35006,"Bay of Quinte/Baie de Quinte"," 25","Belleville",30,6,10,70,58,3,177,407
35006,"Bay of Quinte/Baie de Quinte"," 26","Belleville",69,5,11,72,116,0,273,550
35006,"Bay of Quinte/Baie de Quinte"," 27","Belleville",50,9,6,62,85,0,212,456
35006,"Bay of Quinte/Baie de Quinte"," 28","Belleville",48,3,12,70,80,3,216,498
35006,"Bay of Quinte/Baie de Quinte"," 29","Belleville",40,3,12,38,35,0,128,416
35006,"Bay of Quinte/Baie de Quinte"," 30","Belleville",51,0,6,57,79,1,194,479
35006,"Bay of Quinte/Baie de Quinte"," 31","Belleville",33,4,14,40,77,1,169,483
35006,"Bay of Quinte/Baie de Quinte"," 32","Belleville",37,1,14,47,59,0,158,522
35006,"Bay of Quinte/Baie de Quinte"," 33","Belleville",41,1,7,55,87,0,191,480
35006,"Bay of Quinte/Baie de Quinte"," 34","Belleville",34,1,9,35,92,2,173,408
35006,"Bay of Quinte/Baie de Quinte"," 35","Belleville",42,2,7,31,47,0,129,415
35006,"Bay of Quinte/Baie de Quinte"," 36","Belleville",27,4,10,60,81,0,182,381
35006,"Bay of Quinte/Baie de Quinte"," 37","Belleville",38,3,10,51,70,0,172,411
35006,"Bay of Quinte/Baie de Quinte"," 38","Belleville",41,6,11,47,81,0,186,401
35006,"Bay of Quinte/Baie de Quinte"," 39","Belleville",35,5,10,34,81,1,166,343
35006,"Bay of Quinte/Baie de Quinte"," 40","Belleville",42,5,11,28,111,1,198,379
35006,"Bay of Quinte/Baie de Quinte"," 41","Belleville",39,5,16,50,82,0,192,386
35006,"Bay of Quinte/Baie de Quinte"," 42","Belleville",37,3,11,69,97,0,217,414
35006,"Bay of Quinte/Baie de Quinte"," 43","Quinte West",44,5,12,140,58,0,259,458
35006,"Bay of Quinte/Baie de Quinte"," 44","Quinte West",38,9,24,135,69,1,276,489
35006,"Bay of Quinte/Baie de Quinte"," 45","Belleville",31,3,6,84,101,0,225,439
35006,"Bay of Quinte/Baie de Quinte"," 46","Belleville",53,0,13,54,82,1,203,479
35006,"Bay of Quinte/Baie de Quinte"," 47","Belleville",40,4,18,94,110,4,270,534
35006,"Bay of Quinte/Baie de Quinte"," 48","Belleville",36,1,7,44,56,0,144,365
35006,"Bay of Quinte/Baie de Quinte"," 49","Belleville",45,1,10,77,76,2,211,442
35006,"Bay of Quinte/Baie de Quinte"," 50","Belleville",34,2,5,53,101,2,197,447
35006,"Bay of Quinte/Baie de Quinte"," 51","Belleville",45,5,12,78,104,1,245,529
35006,"Bay of Quinte/Baie de Quinte"," 52","Belleville",17,4,10,45,94,1,171,410
35006,"Bay of Quinte/Baie de Quinte"," 53","Belleville",30,3,10,55,74,1,173,547
35006,"Bay of Quinte/Baie de Quinte"," 54","Belleville",33,2,18,56,109,1,219,410
35006,"Bay of Quinte/Baie de Quinte"," 55","Belleville",47,3,17,60,72,1,200,405
35006,"Bay of Quinte/Baie de Quinte"," 56","Belleville",31,2,17,40,74,0,164,377
35006,"Bay of Quinte/Baie de Quinte"," 57","Belleville",32,3,17,30,81,0,163,340
35006,"Bay of Quinte/Baie de Quinte"," 58","Belleville",46,3,14,35,96,0,194,413
35006,"Bay of Quinte/Baie de Quinte"," 59","Belleville",55,8,10,49,79,5,206,503
35006,"Bay of Quinte/Baie de Quinte"," 60","Belleville",39,2,17,43,117,1,219,501
35006,"Bay of Quinte/Baie de Quinte"," 61","Belleville",46,3,18,54,110,2,233,532
35006,"Bay of Quinte/Baie de Quinte"," 62","Belleville",32,2,19,52,107,3,215,355
35006,"Bay of Quinte/Baie de Quinte"," 63","Belleville",52,6,12,49,120,0,239,546
35006,"Bay of Quinte/Baie de Quinte"," 64","Belleville",26,4,10,52,100,0,192,401
35006,"Bay of Quinte/Baie de Quinte"," 65","Belleville",31,5,7,45,72,0,160,386
35006,"Bay of Quinte/Baie de Quinte"," 66","Quinte West",22,8,9,116,39,2,196,420
35006,"Bay of Quinte/Baie de Quinte"," 67","Quinte West",25,3,9,98,57,0,192,414
35006,"Bay of Quinte/Baie de Quinte"," 68","Quinte West",32,3,14,124,77,2,252,432
35006,"Bay of Quinte/Baie de Quinte"," 69","Quinte West",38,6,13,67,51,1,176,390
35006,"Bay of Quinte/Baie de Quinte"," 70","Quinte West",36,5,13,82,65,0,201,461
35006,"Bay of Quinte/Baie de Quinte"," 71","Quinte West",45,6,14,94,65,0,224,489
35006,"Bay of Quinte/Baie de Quinte"," 72","Belleville",47,3,12,54,53,0,169,466
35006,"Bay of Quinte/Baie de Quinte"," 73","Belleville",48,4,12,40,38,0,142,477
35006,"Bay of Quinte/Baie de Quinte"," 74","Belleville",54,6,9,52,62,1,184,468
35006,"Bay of Quinte/Baie de Quinte"," 75","Belleville",51,3,14,53,48,0,169,484
35006,"Bay of Quinte/Baie de Quinte"," 76","Belleville",44,13,17,73,84,0,231,549
35006,"Bay of Quinte/Baie de Quinte"," 77","Belleville",53,7,7,53,62,2,184,492
35006,"Bay of Quinte/Baie de Quinte"," 78","Belleville",56,9,7,59,54,1,186,450
35006,"Bay of Quinte/Baie de Quinte"," 79","Belleville",44,3,21,56,70,2,196,479
35006,"Bay of Quinte/Baie de Quinte"," 80","Belleville",41,4,19,64,59,1,188,466
35006,"Bay of Quinte/Baie de Quinte"," 81","Belleville",50,11,18,64,57,0,200,484
35006,"Bay of Quinte/Baie de Quinte"," 82","Belleville",22,3,9,66,125,0,225,525
35006,"Bay of Quinte/Baie de Quinte"," 83","Belleville",28,3,9,77,106,4,227,515
35006,"Bay of Quinte/Baie de Quinte"," 84","Belleville",23,2,8,65,78,4,180,451
35006,"Bay of Quinte/Baie de Quinte"," 85","Belleville",23,1,11,59,60,3,157,464
35006,"Bay of Quinte/Baie de Quinte"," 86","Belleville",51,4,16,39,77,4,191,461
35006,"Bay of Quinte/Baie de Quinte"," 87","Belleville",42,1,11,88,135,0,277,583
35006,"Bay of Quinte/Baie de Quinte"," 88A","Belleville",38,4,12,87,141,4,286,616
35006,"Bay of Quinte/Baie de Quinte"," 88B","Belleville",33,5,8,98,113,3,260,579
35006,"Bay of Quinte/Baie de Quinte"," 89","Belleville",61,7,10,77,112,0,267,621
35006,"Bay of Quinte/Baie de Quinte"," 90","Belleville",39,1,10,67,124,1,242,503
35006,"Bay of Quinte/Baie de Quinte"," 91","Belleville",11,0,4,24,37,2,78,166
35006,"Bay of Quinte/Baie de Quinte"," 92","Belleville",14,0,5,17,19,0,55,99
35006,"Bay of Quinte/Baie de Quinte"," 93","Prince Edward County",56,5,27,78,115,1,282,455
35006,"Bay of Quinte/Baie de Quinte"," 94","Prince Edward County",44,7,17,104,92,2,266,457
35006,"Bay of Quinte/Baie de Quinte"," 95","Prince Edward County",48,8,18,74,88,2,238,483
35006,"Bay of Quinte/Baie de Quinte"," 96","Prince Edward County",50,10,13,112,86,1,272,484
35006,"Bay of Quinte/Baie de Quinte"," 97","Prince Edward County",29,2,10,113,103,3,260,458
35006,"Bay of Quinte/Baie de Quinte"," 98","Prince Edward County",33,10,12,88,78,2,223,383
35006,"Bay of Quinte/Baie de Quinte"," 99","Prince Edward County",25,6,9,92,90,3,225,396
35006,"Bay of Quinte/Baie de Quinte"," 100","Prince Edward County",17,5,12,110,104,0,248,408
35006,"Bay of Quinte/Baie de Quinte"," 101","Quinte West",36,2,19,100,93,4,254,509
35006,"Bay of Quinte/Baie de Quinte"," 102","Quinte West",60,10,16,111,117,0,314,514
35006,"Bay of Quinte/Baie de Quinte"," 103","Quinte West",60,2,11,127,133,0,333,689
35006,"Bay of Quinte/Baie de Quinte"," 104","Quinte West",21,1,8,76,42,1,149,387
35006,"Bay of Quinte/Baie de Quinte"," 105","Quinte West",38,8,19,116,87,3,271,425
35006,"Bay of Quinte/Baie de Quinte"," 106","Quinte West",28,8,10,68,62,0,176,349
35006,"Bay of Quinte/Baie de Quinte"," 107","Quinte West",41,9,11,104,73,0,238,476
35006,"Bay of Quinte/Baie de Quinte"," 108","Prince Edward County",26,2,26,52,106,0,212,383
35006,"Bay of Quinte/Baie de Quinte"," 109","Prince Edward County",39,1,22,72,114,0,248,432
35006,"Bay of Quinte/Baie de Quinte"," 110","Quinte West",54,4,10,123,79,2,272,527
35006,"Bay of Quinte/Baie de Quinte"," 111","Quinte West",45,2,6,85,81,2,221,536
35006,"Bay of Quinte/Baie de Quinte"," 112","Quinte West",7,0,5,60,53,2,127,389
35006,"Bay of Quinte/Baie de Quinte"," 113","Quinte West",27,4,10,62,44,1,148,517
35006,"Bay of Quinte/Baie de Quinte"," 114","Quinte West",26,5,11,84,38,4,168,399
35006,"Bay of Quinte/Baie de Quinte"," 115","Quinte West",43,4,20,125,61,1,254,472
35006,"Bay of Quinte/Baie de Quinte"," 116","Quinte West",44,10,18,120,71,1,264,440
35006,"Bay of Quinte/Baie de Quinte"," 117","Quinte West",28,2,12,107,50,3,202,411
35006,"Bay of Quinte/Baie de Quinte"," 118","Quinte West",17,5,11,94,69,0,196,368
35006,"Bay of Quinte/Baie de Quinte"," 119","Quinte West",45,10,8,107,59,2,231,477
35006,"Bay of Quinte/Baie de Quinte"," 120","Quinte West",43,6,10,110,92,2,263,461
35006,"Bay of Quinte/Baie de Quinte"," 121","Quinte West",38,9,10,73,63,5,198,522
35006,"Bay of Quinte/Baie de Quinte"," 122","Quinte West",40,6,21,77,90,2,236,500
35006,"Bay of Quinte/Baie de Quinte"," 123","Quinte West",29,6,8,91,54,3,191,521
35006,"Bay of Quinte/Baie de Quinte"," 124","Quinte West",41,12,19,106,38,0,216,631
35006,"Bay of Quinte/Baie de Quinte"," 125","Quinte West",56,9,25,115,50,7,262,583
35006,"Bay of Quinte/Baie de Quinte"," 126","Quinte West",32,3,9,80,49,5,178,428
35006,"Bay of Quinte/Baie de Quinte"," 127","Quinte West",40,6,11,53,46,2,158,426
35006,"Bay of Quinte/Baie de Quinte"," 128","Quinte West",46,2,9,56,42,0,155,414
35006,"Bay of Quinte/Baie de Quinte"," 129","Quinte West",40,10,10,68,55,0,183,438
35006,"Bay of Quinte/Baie de Quinte"," 130","Quinte West",38,2,5,74,34,0,153,438
35006,"Bay of Quinte/Baie de Quinte"," 131","Quinte West",34,10,11,85,63,2,205,450
35006,"Bay of Quinte/Baie de Quinte"," 132","Quinte West",46,6,15,59,63,2,191,522
