Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelvin Boucher-Chicago,Michael Di Pasquale,Eric Melillo,Bob Nault,Kirsi Ralko,Rudy Turtle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"Kenora/Kenora"," 1","Fort Severn 89",0,0,0,17,0,76,42,135,242
35042,"Kenora/Kenora"," 2","Wapekeka 2",0,0,0,7,0,148,0,155,268
35042,"Kenora/Kenora"," 3","Bearskin Lake",0,0,1,13,0,117,2,133,234
35042,"Kenora/Kenora"," 4","Big Trout Lake",1,1,1,4,3,202,1,213,544
35042,"Kenora/Kenora"," 5","Sachigo Lake 1",0,0,3,31,1,52,4,91,196
35042,"Kenora/Kenora"," 6","Kasabonika Lake",1,3,2,15,4,167,0,192,283
35042,"Kenora/Kenora"," 7","Muskrat Dam Lake",0,0,0,18,0,85,5,108,160
35042,"Kenora/Kenora"," 8","Kee-Way-Win",0,0,3,54,0,45,1,103,199
35042,"Kenora/Kenora"," 9","Kingfisher Lake 1",0,0,3,5,1,132,1,142,322
35042,"Kenora/Kenora"," 10A","Sandy Lake First Nation",2,0,3,288,0,58,1,352,594
35042,"Kenora/Kenora"," 10B","Sandy Lake First Nation",Results combined with No./Résultats combinés au n°10A,,,,,,,,436
35042,"Kenora/Kenora"," 11","Weagamow Lake 87",1,1,7,91,2,134,19,255,583
35042,"Kenora/Kenora"," 12","Webequie",0,2,5,107,3,155,1,273,367
35042,"Kenora/Kenora"," 13","Wunnummin Lake",1,0,1,25,0,173,3,203,354
35042,"Kenora/Kenora"," 14","Summer Beaver",1,0,1,11,4,89,0,106,241
35042,"Kenora/Kenora"," 15","North Spirit Lake",0,1,1,26,0,22,3,53,158
35042,"Kenora/Kenora"," 16","Deer Lake",0,0,2,77,0,35,1,115,413
35042,"Kenora/Kenora"," 17","Neskantaga",0,0,2,19,0,48,0,69,105
35042,"Kenora/Kenora"," 18","Poplar Hill",0,1,1,44,1,70,4,121,318
35042,"Kenora/Kenora"," 19","Pickle Lake",0,4,57,46,2,32,0,141,295
35042,"Kenora/Kenora"," 20","Fort Hope 64",2,1,3,33,4,145,0,188,324
35042,"Kenora/Kenora"," 21","Cat Lake 63C",0,2,6,28,1,52,5,94,164
35042,"Kenora/Kenora"," 22A","Pikangikum 14",0,0,4,11,0,123,6,144,532
35042,"Kenora/Kenora"," 22B","Pikangikum 14",Results combined with No./Résultats combinés au n°22A,,,,,,,,667
35042,"Kenora/Kenora"," 23A","Osnaburgh 63A",Merged with No./Fusionné avec le n°23C,,,,,,,,45
35042,"Kenora/Kenora"," 23B","Osnaburgh 63A",0,0,0,4,0,10,0,14,57
35042,"Kenora/Kenora"," 23C","Osnaburgh 63A",0,0,1,19,2,26,0,48,146
35042,"Kenora/Kenora"," 24","McKenzie Island",2,4,77,91,21,43,0,238,439
