Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Cyara Bird,Judy Klassen,Ken Klyne,Ralph McLean,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 127","Little Black River",82,19,34,0,4,0,139,333
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 128","Fort Alexander",172,3,104,1,3,0,283,596
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 129","Fort Alexander",121,3,29,1,5,0,159,467
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 500","Mobile poll/Bureau itinérant",13,10,11,1,3,2,40,79
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 501","Mobile poll/Bureau itinérant",9,3,6,1,1,4,24,65
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 502","Mobile poll/Bureau itinérant",16,5,4,1,2,0,28,82
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 503","Mobile poll/Bureau itinérant",28,7,10,1,6,0,52,99
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 600","Churchill",39,4,11,1,1,0,56,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 601","Lynn Lake--Leaf Rapids",42,9,14,1,17,1,84,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 602","Flin Flon",238,202,62,6,31,7,546,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 603","Nelson House",94,7,34,3,4,3,145,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 604","Snow Lake",55,57,11,7,9,0,139,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 605","The Pas",74,56,24,2,31,0,187,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 606","The Pas",147,130,63,12,55,4,411,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 607","Thompson",235,207,102,5,21,8,578,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 608","Thompson",108,73,38,6,12,0,237,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 609","Cross Lake",209,4,22,0,1,0,236,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 610","Gods Lake Narrows",Results combined with No./Résultats combinés au n°612,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 611","God's River 86A",15,0,0,1,0,0,16,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 612","Gillam",106,31,10,4,9,1,161,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 613","Garden Hill",9,1,35,1,0,0,46,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 614","St. Theresa Point",3,0,225,1,0,3,232,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 615","Norway House",76,8,38,2,3,0,127,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 616","Grand Rapids",89,3,29,0,5,0,126,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 617","Dauphin River",12,1,2,1,1,0,17,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 618","Peguis",Results combined with No./Résultats combinés au n°123,,,,,,,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 619","Bullhead-Matheson",11,1,2,0,0,0,14,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 620","Bloodvein",23,1,6,0,0,0,30,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 621","Fort Alexander",40,1,16,2,2,0,61,
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski",,Group 1/Groupe 1, 151,10,91,3,13,20,288,296
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski",,Group 2/Groupe 2, 488,248,146,14,71,21,988,
