Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Lawrence,Mallory MacDonald,Kim Rudd,Frank Vaughan,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 1","Trent Hills",60,17,46,4,8,0,135,330
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 2","Trent Hills",77,23,52,5,19,0,176,408
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 3","Trent Hills",56,30,51,3,19,0,159,403
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 4","Trent Hills",65,33,49,6,13,0,166,352
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 5","Trent Hills",94,24,68,3,19,0,208,478
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 6","Campbellford",50,34,57,2,17,0,160,404
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 7","Campbellford",43,23,62,6,12,2,148,406
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 8","Trent Hills",108,36,54,2,17,0,217,489
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 9","Trent Hills",62,35,44,4,20,0,165,333
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 10","Trent Hills",61,21,43,3,8,0,136,323
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 11","Campbellford",52,34,37,0,9,1,133,327
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 12","Campbellford",68,38,94,7,19,1,227,447
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 13","Asphodel-Norwood",74,42,43,0,9,0,168,297
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 14","Asphodel-Norwood",76,29,58,8,9,1,181,321
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 15","Norwood",51,25,44,4,21,0,145,288
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 16","Asphodel-Norwood",139,73,106,7,23,1,349,678
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 17","Norwood",89,49,81,5,22,0,246,469
