Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya Herbert,Nigel Logan,Don Melanson,Amarjeet Sohi,Tim Uppal,Annie Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 1","Edmonton",4,25,2,33,138,12,0,214,414
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 2","Edmonton",3,22,2,61,75,1,3,167,316
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 3","Edmonton",5,30,0,47,112,8,1,203,369
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 4","Edmonton",4,22,3,72,146,6,3,256,418
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 5","Edmonton",3,15,3,65,101,3,0,190,398
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 6","Edmonton",6,30,0,56,77,4,1,174,349
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 7","Edmonton",1,22,0,71,45,2,1,142,355
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 8","Edmonton",8,23,1,55,76,7,3,173,374
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 9","Edmonton",9,36,1,73,123,4,2,248,421
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 10","Edmonton",3,17,1,75,92,3,1,192,337
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 11","Edmonton",2,31,2,82,91,5,2,215,446
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 12","Edmonton",2,42,1,65,85,3,2,200,363
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 13","Edmonton",1,19,1,86,81,3,1,192,333
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 14","Edmonton",4,26,1,105,86,3,1,226,408
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 15","Edmonton",2,37,0,97,97,0,0,233,422
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 16","Edmonton",2,11,2,92,73,0,0,180,352
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 17","Edmonton",5,31,1,78,177,9,0,301,534
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 18","Edmonton",6,32,1,74,105,6,1,225,374
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 19","Edmonton",15,28,0,80,140,7,3,273,452
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 20","Edmonton",3,34,0,47,76,2,1,163,346
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 21","Edmonton",2,31,2,83,131,7,0,256,465
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 22","Edmonton",2,25,0,58,61,5,2,153,362
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 23","Edmonton",3,22,0,69,136,3,1,234,427
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 24","Edmonton",2,17,0,73,58,3,1,154,356
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 25","Edmonton",2,34,0,83,90,2,0,211,367
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 26","Edmonton",4,32,1,97,98,5,1,238,446
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 27","Edmonton",4,33,0,60,102,4,4,207,436
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 28","Edmonton",6,16,3,51,104,4,1,185,377
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 29","Edmonton",8,48,0,84,131,4,4,279,503
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 30","Edmonton",6,32,3,85,91,2,0,219,483
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 31","Edmonton",6,19,0,53,100,6,1,185,423
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 32","Edmonton",7,25,0,65,131,5,1,234,439
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 33","Edmonton",5,21,1,40,100,10,0,177,374
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 34","Edmonton",8,31,1,54,84,3,0,181,312
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 35","Edmonton",5,25,1,60,117,10,4,222,422
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 36","Edmonton",2,23,0,36,94,6,0,161,357
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 37","Edmonton",2,42,0,63,91,9,1,208,384
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 38","Edmonton",2,14,0,96,84,4,1,201,430
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 39","Edmonton",3,40,4,96,120,2,0,265,545
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 40","Edmonton",2,26,2,111,137,6,2,286,490
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 41","Edmonton",2,40,0,109,111,0,1,263,512
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 42","Edmonton",6,46,2,62,150,1,1,268,446
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 43","Edmonton",4,37,2,78,126,4,0,251,473
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 44","Edmonton",6,36,0,69,143,3,1,258,515
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 45","Edmonton",8,28,0,54,146,6,1,243,484
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 46","Edmonton",2,17,0,65,133,1,0,218,380
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 47","Edmonton",4,39,1,42,124,2,1,213,439
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 48","Edmonton",12,29,1,62,93,4,0,201,380
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 49","Edmonton",6,38,1,53,150,4,0,252,484
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 50","Edmonton",3,35,1,90,116,4,3,252,501
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 51","Edmonton",8,30,0,70,155,1,3,267,417
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 52","Edmonton",2,26,1,66,101,13,1,210,398
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 53","Edmonton",3,26,0,57,131,5,3,225,433
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 54","Edmonton",2,49,1,79,133,4,5,273,504
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 55","Edmonton",8,24,0,63,98,5,0,198,388
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 56","Edmonton",4,26,0,61,59,3,2,155,449
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 57","Edmonton",4,36,0,88,120,11,3,262,456
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 58","Edmonton",11,21,3,64,101,4,2,206,391
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 59","Edmonton",6,35,4,87,124,4,1,261,477
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 60","Edmonton",3,25,0,46,82,1,1,158,355
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 61","Edmonton",4,20,0,69,96,2,3,194,411
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 62","Edmonton",2,24,0,56,95,3,1,181,429
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 63","Edmonton",2,19,0,54,85,8,1,169,340
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 64","Edmonton",5,15,1,40,86,9,2,158,356
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 65","Edmonton",6,33,1,42,59,7,0,148,399
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 66","Edmonton",2,27,1,44,79,2,0,155,305
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 67","Edmonton",4,24,1,43,78,9,4,163,338
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 68","Edmonton",4,18,0,64,87,2,0,175,413
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 69","Edmonton",2,13,0,69,86,4,0,174,307
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 70","Edmonton",4,22,1,62,114,7,0,210,388
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 71","Edmonton",4,29,1,67,87,2,2,192,414
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 72","Edmonton",8,20,1,66,79,1,1,176,368
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 73","Edmonton",5,28,1,62,103,3,0,202,490
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 74","Edmonton",5,20,5,64,126,1,3,224,464
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 75","Edmonton",4,15,1,46,67,2,1,136,465
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 76","Edmonton",4,23,1,66,102,2,3,201,346
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 77","Edmonton",4,40,0,75,115,2,2,238,462
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 78","Edmonton",4,39,1,72,97,4,3,220,413
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 79","Edmonton",10,25,1,49,101,5,1,192,399
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 80","Edmonton",8,31,1,59,136,6,6,247,474
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 81","Edmonton",5,11,4,26,127,4,2,179,295
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 82","Edmonton",2,23,0,77,96,4,3,205,430
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 83","Edmonton",5,28,0,93,124,3,1,254,497
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 84","Edmonton",2,27,0,88,120,2,0,239,455
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 85","Edmonton",0,37,2,98,142,3,0,282,529
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 86","Edmonton",0,38,1,82,105,6,1,233,473
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 87","Edmonton",3,20,0,73,108,1,3,208,423
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 88","Edmonton",2,21,0,84,80,2,1,190,492
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 89","Edmonton",3,35,0,109,128,2,0,277,588
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 90","Edmonton",5,33,1,113,111,0,0,263,644
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 91","Edmonton",7,37,0,98,110,12,0,264,481
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 92","Edmonton",4,33,1,60,123,3,2,226,490
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 93","Edmonton",5,34,0,93,85,1,2,220,498
