Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Giancroce,Erin O'Toole,Evan Price,Brenda Virtue,Sarah Whalen-Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 1","Scugog",56,89,17,8,36,1,207,371
35023,"Durham/Durham"," 2","Scugog",38,111,4,7,26,1,187,336
35023,"Durham/Durham"," 3","Scugog",78,87,17,2,38,3,225,425
35023,"Durham/Durham"," 4","Scugog",49,109,11,6,41,0,216,346
35023,"Durham/Durham"," 5","Scugog",40,75,7,3,26,0,151,308
35023,"Durham/Durham"," 6","Scugog",35,85,9,1,17,2,149,286
35023,"Durham/Durham"," 7","Scugog",73,131,14,4,32,0,254,375
35023,"Durham/Durham"," 8","Scugog",40,91,10,7,47,1,196,361
35023,"Durham/Durham"," 9","Scugog",60,91,23,5,30,1,210,376
35023,"Durham/Durham"," 10","Scugog",48,130,11,1,37,0,227,437
35023,"Durham/Durham"," 11","Scugog",36,82,6,4,19,0,147,302
35023,"Durham/Durham"," 12","Scugog",54,101,16,1,20,2,194,390
35023,"Durham/Durham"," 13","Scugog",46,86,7,9,26,1,175,307
35023,"Durham/Durham"," 14","Scugog",44,95,16,2,31,1,189,341
35023,"Durham/Durham"," 15","Scugog",36,88,13,8,24,0,169,289
35023,"Durham/Durham"," 16","Scugog",57,102,19,0,26,0,204,368
35023,"Durham/Durham"," 17","Scugog",54,109,16,3,34,0,216,355
35023,"Durham/Durham"," 18","Scugog",30,77,14,3,5,1,130,313
35023,"Durham/Durham"," 19","Scugog",51,88,13,5,25,1,183,362
35023,"Durham/Durham"," 20","Scugog",29,52,16,5,14,0,116,274
35023,"Durham/Durham"," 21","Scugog",65,109,5,3,22,1,205,408
35023,"Durham/Durham"," 22","Scugog",47,81,2,0,9,3,142,308
35023,"Durham/Durham"," 23","Scugog",55,110,18,1,42,0,226,413
35023,"Durham/Durham"," 24","Scugog",56,148,11,7,30,0,252,416
35023,"Durham/Durham"," 25","Scugog",42,152,22,7,42,1,266,420
35023,"Durham/Durham"," 26","Scugog",36,97,13,6,26,2,180,303
35023,"Durham/Durham"," 27","Scugog",51,132,13,5,27,0,228,382
35023,"Durham/Durham"," 28","Scugog",82,104,25,0,21,5,237,418
35023,"Durham/Durham"," 29","Scugog",66,78,17,7,42,2,212,442
35023,"Durham/Durham"," 30","Scugog",81,91,18,5,28,0,223,458
35023,"Durham/Durham"," 31","Scugog",56,86,11,2,33,2,190,390
35023,"Durham/Durham"," 32","Scugog",59,90,23,12,48,2,234,403
35023,"Durham/Durham"," 33","Scugog",33,49,11,4,23,0,120,287
35023,"Durham/Durham"," 34","Scugog",44,61,14,3,30,3,155,300
35023,"Durham/Durham"," 35","Scugog",35,77,8,2,14,0,136,277
35023,"Durham/Durham"," 36","Scugog",63,63,13,3,18,0,160,307
35023,"Durham/Durham"," 37","Scugog",60,95,7,5,27,1,195,451
35023,"Durham/Durham"," 38","Scugog",50,83,11,10,21,0,175,342
35023,"Durham/Durham"," 39","Scugog",60,88,10,4,27,5,194,339
35023,"Durham/Durham"," 40","Scugog",36,69,13,3,25,0,146,302
35023,"Durham/Durham"," 41","Scugog",66,107,8,1,17,1,200,361
35023,"Durham/Durham"," 42","Scugog",62,72,11,3,31,1,180,356
35023,"Durham/Durham"," 43","Scugog",42,82,14,0,22,0,160,366
35023,"Durham/Durham"," 44","Scugog",43,78,9,4,20,0,154,324
