Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Deng,Sean McQuillan,Harjit S. Sajjan,Wai Young,Judy Zaichkowsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver South/Vancouver-Sud"," 1","Vancouver",1,25,51,79,10,0,166,419
59040,"Vancouver South/Vancouver-Sud"," 2","Vancouver",2,28,92,73,13,0,208,405
59040,"Vancouver South/Vancouver-Sud"," 3","Vancouver",4,18,41,59,10,0,132,399
59040,"Vancouver South/Vancouver-Sud"," 4","Vancouver",2,16,49,56,14,0,137,354
59040,"Vancouver South/Vancouver-Sud"," 5","Vancouver",1,36,77,71,22,0,207,465
59040,"Vancouver South/Vancouver-Sud"," 6","Vancouver",0,16,51,51,16,2,136,422
59040,"Vancouver South/Vancouver-Sud"," 7","Vancouver",0,40,81,51,10,0,182,427
59040,"Vancouver South/Vancouver-Sud"," 8","Vancouver",4,75,93,49,32,3,256,511
59040,"Vancouver South/Vancouver-Sud"," 9","Vancouver",1,26,82,24,11,0,144,417
59040,"Vancouver South/Vancouver-Sud"," 10","Vancouver",2,87,125,67,19,3,303,616
59040,"Vancouver South/Vancouver-Sud"," 11","Vancouver",4,24,77,56,8,0,169,397
59040,"Vancouver South/Vancouver-Sud"," 12","Vancouver",4,56,89,58,21,4,232,467
59040,"Vancouver South/Vancouver-Sud"," 13","Vancouver",2,44,69,72,10,3,200,470
59040,"Vancouver South/Vancouver-Sud"," 14","Vancouver",1,33,59,59,4,3,159,398
59040,"Vancouver South/Vancouver-Sud"," 15","Vancouver",1,27,68,72,15,0,183,443
59040,"Vancouver South/Vancouver-Sud"," 16","Vancouver",3,41,66,62,9,1,182,476
59040,"Vancouver South/Vancouver-Sud"," 17","Vancouver",3,52,77,26,9,1,168,497
59040,"Vancouver South/Vancouver-Sud"," 18","Vancouver",4,54,41,32,13,0,144,407
59040,"Vancouver South/Vancouver-Sud"," 19","Vancouver",1,25,63,37,11,0,137,462
59040,"Vancouver South/Vancouver-Sud"," 20","Vancouver",0,19,92,49,6,2,168,529
59040,"Vancouver South/Vancouver-Sud"," 21","Vancouver",4,22,61,32,9,4,132,465
59040,"Vancouver South/Vancouver-Sud"," 22","Vancouver",0,39,43,43,8,1,134,420
59040,"Vancouver South/Vancouver-Sud"," 23","Vancouver",4,39,47,56,2,0,148,439
59040,"Vancouver South/Vancouver-Sud"," 24","Vancouver",1,29,36,40,6,1,113,422
59040,"Vancouver South/Vancouver-Sud"," 25","Vancouver",1,27,59,50,7,0,144,422
59040,"Vancouver South/Vancouver-Sud"," 26","Vancouver",0,23,55,60,4,2,144,447
59040,"Vancouver South/Vancouver-Sud"," 27","Vancouver",2,33,52,56,8,3,154,430
59040,"Vancouver South/Vancouver-Sud"," 28","Vancouver",2,26,44,47,2,1,122,413
59040,"Vancouver South/Vancouver-Sud"," 29","Vancouver",3,15,72,50,9,1,150,553
59040,"Vancouver South/Vancouver-Sud"," 30","Vancouver",0,21,60,37,6,0,124,406
59040,"Vancouver South/Vancouver-Sud"," 31","Vancouver",2,31,54,46,9,0,142,414
59040,"Vancouver South/Vancouver-Sud"," 32","Vancouver",3,28,78,38,5,2,154,449
59040,"Vancouver South/Vancouver-Sud"," 33","Vancouver",0,23,64,44,5,1,137,454
59040,"Vancouver South/Vancouver-Sud"," 34","Vancouver",1,31,65,26,5,0,128,412
59040,"Vancouver South/Vancouver-Sud"," 35","Vancouver",0,25,53,46,8,1,133,459
59040,"Vancouver South/Vancouver-Sud"," 36","Vancouver",2,27,67,33,7,1,137,512
59040,"Vancouver South/Vancouver-Sud"," 37","Vancouver",3,36,81,57,7,1,185,484
59040,"Vancouver South/Vancouver-Sud"," 38","Vancouver",2,33,62,85,9,3,194,472
59040,"Vancouver South/Vancouver-Sud"," 39","Vancouver",3,64,68,52,13,7,207,506
59040,"Vancouver South/Vancouver-Sud"," 40","Vancouver",3,41,74,67,9,1,195,453
59040,"Vancouver South/Vancouver-Sud"," 41","Vancouver",2,34,73,52,7,1,169,441
59040,"Vancouver South/Vancouver-Sud"," 42","Vancouver",0,22,62,66,6,3,159,432
59040,"Vancouver South/Vancouver-Sud"," 43","Vancouver",1,27,62,87,8,0,185,429
59040,"Vancouver South/Vancouver-Sud"," 44","Vancouver",0,16,51,48,9,0,124,379
59040,"Vancouver South/Vancouver-Sud"," 45","Vancouver",0,8,40,55,4,0,107,399
59040,"Vancouver South/Vancouver-Sud"," 46","Vancouver",2,18,28,57,9,2,116,371
59040,"Vancouver South/Vancouver-Sud"," 47","Vancouver",0,13,37,50,1,1,102,385
59040,"Vancouver South/Vancouver-Sud"," 48","Vancouver",3,19,44,42,10,0,118,356
59040,"Vancouver South/Vancouver-Sud"," 49","Vancouver",2,13,46,60,3,0,124,336
59040,"Vancouver South/Vancouver-Sud"," 50","Vancouver",4,28,47,69,13,3,164,581
59040,"Vancouver South/Vancouver-Sud"," 51","Vancouver",1,34,61,59,10,5,170,407
59040,"Vancouver South/Vancouver-Sud"," 52","Vancouver",2,28,51,55,9,1,146,453
59040,"Vancouver South/Vancouver-Sud"," 53","Vancouver",2,31,64,57,5,3,162,408
59040,"Vancouver South/Vancouver-Sud"," 54","Vancouver",2,30,61,68,9,1,171,512
59040,"Vancouver South/Vancouver-Sud"," 55","Vancouver",2,22,23,55,3,1,106,329
59040,"Vancouver South/Vancouver-Sud"," 56","Vancouver",0,35,80,52,5,2,174,485
59040,"Vancouver South/Vancouver-Sud"," 57","Vancouver",3,21,61,63,4,3,155,523
59040,"Vancouver South/Vancouver-Sud"," 58","Vancouver",1,31,60,37,12,1,142,370
59040,"Vancouver South/Vancouver-Sud"," 59","Vancouver",3,21,52,51,4,2,133,445
59040,"Vancouver South/Vancouver-Sud"," 60","Vancouver",4,31,74,37,6,2,154,383
59040,"Vancouver South/Vancouver-Sud"," 61","Vancouver",3,30,58,45,10,3,149,429
59040,"Vancouver South/Vancouver-Sud"," 62","Vancouver",0,39,95,47,9,2,192,448
59040,"Vancouver South/Vancouver-Sud"," 63","Vancouver",1,32,55,42,8,0,138,397
59040,"Vancouver South/Vancouver-Sud"," 64","Vancouver",1,41,91,33,2,2,170,446
59040,"Vancouver South/Vancouver-Sud"," 65","Vancouver",4,32,91,53,9,1,190,451
59040,"Vancouver South/Vancouver-Sud"," 66","Vancouver",0,28,72,57,7,1,165,443
59040,"Vancouver South/Vancouver-Sud"," 67","Vancouver",3,32,136,57,6,1,235,476
59040,"Vancouver South/Vancouver-Sud"," 68","Vancouver",2,28,76,41,4,1,152,370
59040,"Vancouver South/Vancouver-Sud"," 69","Vancouver",0,21,83,37,4,2,147,402
59040,"Vancouver South/Vancouver-Sud"," 70","Vancouver",1,27,96,56,6,4,190,400
59040,"Vancouver South/Vancouver-Sud"," 71","Vancouver",0,34,63,40,1,2,140,375
59040,"Vancouver South/Vancouver-Sud"," 72","Vancouver",2,30,41,30,5,1,109,326
59040,"Vancouver South/Vancouver-Sud"," 73","Vancouver",4,38,88,48,5,4,187,517
59040,"Vancouver South/Vancouver-Sud"," 74","Vancouver",5,26,64,64,6,3,168,503
59040,"Vancouver South/Vancouver-Sud"," 75","Vancouver",1,27,50,61,14,2,155,475
59040,"Vancouver South/Vancouver-Sud"," 76","Vancouver",2,28,29,55,3,4,121,442
59040,"Vancouver South/Vancouver-Sud"," 77","Vancouver",0,18,34,44,2,0,98,431
59040,"Vancouver South/Vancouver-Sud"," 78","Vancouver",3,35,50,69,1,1,159,456
59040,"Vancouver South/Vancouver-Sud"," 79","Vancouver",2,26,64,37,2,4,135,442
59040,"Vancouver South/Vancouver-Sud"," 80","Vancouver",3,31,62,49,4,2,151,457
59040,"Vancouver South/Vancouver-Sud"," 81","Vancouver",0,22,62,78,12,2,176,440
59040,"Vancouver South/Vancouver-Sud"," 82","Vancouver",2,32,79,65,3,0,181,495
59040,"Vancouver South/Vancouver-Sud"," 83","Vancouver",2,28,63,87,10,5,195,424
59040,"Vancouver South/Vancouver-Sud"," 84","Vancouver",4,33,84,69,10,1,201,469
59040,"Vancouver South/Vancouver-Sud"," 85","Vancouver",4,23,57,49,5,0,138,448
59040,"Vancouver South/Vancouver-Sud"," 86","Vancouver",2,17,49,72,11,0,151,376
59040,"Vancouver South/Vancouver-Sud"," 87","Vancouver",0,36,62,72,9,1,180,466
59040,"Vancouver South/Vancouver-Sud"," 88","Vancouver",1,22,41,89,6,1,160,438
59040,"Vancouver South/Vancouver-Sud"," 89","Vancouver",3,13,58,71,10,4,159,410
59040,"Vancouver South/Vancouver-Sud"," 90","Vancouver",3,38,59,78,8,2,188,465
59040,"Vancouver South/Vancouver-Sud"," 91","Vancouver",3,41,31,54,4,5,138,434
59040,"Vancouver South/Vancouver-Sud"," 92","Vancouver",0,34,25,29,12,0,100,417
59040,"Vancouver South/Vancouver-Sud"," 93","Vancouver",6,20,53,62,4,0,145,430
59040,"Vancouver South/Vancouver-Sud"," 94","Vancouver",3,18,34,60,3,1,119,426
59040,"Vancouver South/Vancouver-Sud"," 95","Vancouver",3,24,43,59,4,0,133,446
59040,"Vancouver South/Vancouver-Sud"," 96","Vancouver",0,21,54,60,8,0,143,444
59040,"Vancouver South/Vancouver-Sud"," 97","Vancouver",1,27,54,76,3,0,161,393
59040,"Vancouver South/Vancouver-Sud"," 98","Vancouver",0,23,52,49,9,1,134,314
59040,"Vancouver South/Vancouver-Sud"," 99","Vancouver",3,32,43,79,7,1,165,403
59040,"Vancouver South/Vancouver-Sud"," 100","Vancouver",3,30,59,64,2,5,163,407
59040,"Vancouver South/Vancouver-Sud"," 101","Vancouver",5,40,73,77,3,1,199,460
59040,"Vancouver South/Vancouver-Sud"," 102","Vancouver",2,25,64,63,12,2,168,385
59040,"Vancouver South/Vancouver-Sud"," 103","Vancouver",0,25,57,40,4,2,128,354
59040,"Vancouver South/Vancouver-Sud"," 104","Vancouver",2,33,96,70,2,1,204,501
59040,"Vancouver South/Vancouver-Sud"," 105","Vancouver",4,36,72,71,12,1,196,502
59040,"Vancouver South/Vancouver-Sud"," 106","Vancouver",2,23,56,47,4,0,132,400
59040,"Vancouver South/Vancouver-Sud"," 107","Vancouver",3,29,40,66,13,1,152,467
59040,"Vancouver South/Vancouver-Sud"," 108","Vancouver",0,23,65,74,4,1,167,476
59040,"Vancouver South/Vancouver-Sud"," 109","Vancouver",0,20,86,67,3,1,177,517
59040,"Vancouver South/Vancouver-Sud"," 110","Vancouver",6,16,65,69,9,2,167,474
59040,"Vancouver South/Vancouver-Sud"," 111","Vancouver",7,48,90,90,9,2,246,587
59040,"Vancouver South/Vancouver-Sud"," 112","Vancouver",3,46,79,55,3,2,188,517
59040,"Vancouver South/Vancouver-Sud"," 113","Vancouver",4,60,73,48,19,1,205,462
59040,"Vancouver South/Vancouver-Sud"," 114","Vancouver",5,58,64,79,11,0,217,516
59040,"Vancouver South/Vancouver-Sud"," 115","Vancouver",1,47,49,43,12,3,155,478
59040,"Vancouver South/Vancouver-Sud"," 116","Vancouver",3,44,77,79,14,3,220,485
59040,"Vancouver South/Vancouver-Sud"," 117","Vancouver",1,29,48,65,11,2,156,419
59040,"Vancouver South/Vancouver-Sud"," 118","Vancouver",1,34,44,49,5,3,136,359
59040,"Vancouver South/Vancouver-Sud"," 119","Vancouver",1,26,90,58,7,0,182,407
59040,"Vancouver South/Vancouver-Sud"," 120","Vancouver",2,24,64,69,4,1,164,399
59040,"Vancouver South/Vancouver-Sud"," 121","Vancouver",0,30,97,71,9,3,210,485
59040,"Vancouver South/Vancouver-Sud"," 122","Vancouver",2,25,50,74,7,3,161,393
59040,"Vancouver South/Vancouver-Sud"," 123","Vancouver",3,25,66,90,7,2,193,477
59040,"Vancouver South/Vancouver-Sud"," 124","Vancouver",3,25,71,71,6,3,179,440
59040,"Vancouver South/Vancouver-Sud"," 125","Vancouver",0,27,70,100,12,4,213,465
59040,"Vancouver South/Vancouver-Sud"," 126","Vancouver",2,36,68,34,5,7,152,506
59040,"Vancouver South/Vancouver-Sud"," 127","Vancouver",1,34,88,41,15,1,180,489
59040,"Vancouver South/Vancouver-Sud"," 128","Vancouver",2,54,132,38,5,5,236,545
59040,"Vancouver South/Vancouver-Sud"," 129","Vancouver",0,23,54,22,6,1,106,418
59040,"Vancouver South/Vancouver-Sud"," 130","Vancouver",2,34,88,17,5,7,153,454
59040,"Vancouver South/Vancouver-Sud"," 131","Vancouver",3,35,86,35,11,1,171,423
59040,"Vancouver South/Vancouver-Sud"," 132","Vancouver",1,31,85,41,9,0,167,487
59040,"Vancouver South/Vancouver-Sud"," 133","Vancouver",3,41,127,38,15,2,226,515
59040,"Vancouver South/Vancouver-Sud"," 134","Vancouver",5,48,80,35,26,0,194,423
