Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Davis,Suzanne de Montigny,Hansen Ginn,Peter Julian,Neeraj Murarka,Ahmad Passyar,Joseph Theriault,Megan Veck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 1","Burnaby",37,12,3,58,1,0,0,38,0,149,359
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 2","Burnaby",124,26,4,101,1,2,0,99,1,358,429
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 3","Burnaby",Merged with No./Fusionné avec le n°2,,,,,,,,,,405
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 4","Burnaby",57,15,2,82,3,1,0,51,1,212,507
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 5","Burnaby",58,13,3,88,3,1,1,49,0,216,452
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 6","Burnaby",31,7,0,26,0,1,0,80,0,145,396
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 7","Burnaby",44,12,5,37,0,0,0,77,0,175,382
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 8","Burnaby",29,8,1,55,0,0,0,45,0,138,490
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 9","Burnaby",31,12,5,55,1,0,1,42,0,147,513
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 10","Burnaby",47,13,4,71,0,0,0,65,3,203,530
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 11","Burnaby",43,11,2,55,1,0,0,58,5,175,436
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 12","Burnaby",26,18,5,53,2,0,0,45,0,149,403
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 13","Burnaby",24,11,3,48,0,0,0,28,2,116,493
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 14","Burnaby",36,5,4,36,0,1,1,42,3,128,598
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 15","Burnaby",52,7,3,65,1,0,0,38,0,166,517
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 16A","Burnaby",75,13,8,80,0,1,0,61,1,239,606
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 16B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74B,,,,,,,,,,103
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 17","Burnaby",39,8,2,47,1,0,0,44,3,144,385
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 18","Burnaby",39,7,2,40,0,0,0,74,3,165,472
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 19","Burnaby",58,14,1,99,3,1,0,74,0,250,494
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 20","Burnaby",43,19,3,121,1,0,0,68,5,260,554
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 21","Burnaby",29,12,2,80,0,0,0,40,1,164,356
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 22","Burnaby",51,11,2,98,1,0,0,62,0,225,473
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 23","Burnaby",29,14,1,81,1,0,0,55,0,181,445
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 24","Burnaby",46,3,1,85,2,0,0,44,2,183,418
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 25","Burnaby",29,9,1,88,2,0,1,37,1,168,480
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 26","Burnaby",38,10,3,89,0,0,0,47,0,187,426
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 27","Burnaby",37,8,2,39,1,0,0,82,2,171,468
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 28","Burnaby",54,17,5,96,0,1,0,68,4,245,538
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 29","New Westminster",38,18,0,82,0,0,0,26,1,165,392
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 30","New Westminster",47,18,2,63,0,1,0,45,1,177,442
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 31","New Westminster",32,13,3,78,0,0,0,23,1,150,403
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 32","Burnaby",37,8,2,37,0,1,1,59,0,145,481
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 33","Burnaby",17,5,2,37,0,2,0,44,3,110,351
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 34","Burnaby",42,11,5,54,4,0,0,16,3,135,435
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 35","Burnaby",46,13,1,58,7,1,0,32,4,162,530
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 36","Burnaby",51,8,1,60,4,0,0,40,0,164,505
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 37","Burnaby",28,11,0,57,2,0,0,57,1,156,537
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 38","Burnaby",32,15,3,93,2,0,0,31,0,176,450
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 39","Burnaby",51,14,8,103,2,1,1,55,3,238,672
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 40","Burnaby",56,10,2,76,5,0,5,29,1,184,535
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 41","Burnaby",30,3,2,51,0,0,1,34,4,125,394
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 42","Burnaby",35,6,3,49,1,2,0,23,2,121,558
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 43","Burnaby",32,5,1,56,0,0,0,38,6,138,465
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 44","Burnaby",37,7,1,58,0,0,0,34,4,141,452
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 45","Burnaby",29,5,3,63,3,0,0,30,1,134,416
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 46","Burnaby",34,4,2,53,1,0,0,35,3,132,416
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 47","Burnaby",33,16,2,60,0,0,0,64,2,177,576
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 48","Burnaby",44,16,2,65,2,0,1,51,1,182,525
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 49","Burnaby",26,6,3,91,1,0,0,18,4,149,410
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 50","Burnaby",37,3,0,94,0,0,0,50,4,188,406
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 51","Burnaby",45,6,1,138,2,0,0,47,2,241,492
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 52","Burnaby",40,8,0,105,0,0,0,48,4,205,460
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 53","Burnaby",43,8,2,61,0,1,0,38,1,154,431
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 54","Burnaby",45,15,3,87,3,0,1,62,0,216,599
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 55","Burnaby",35,14,1,40,3,0,0,45,0,138,439
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 56","Burnaby",11,3,1,37,0,0,0,38,0,90,323
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 57","Burnaby",42,7,2,67,0,0,0,43,5,166,436
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 58","Burnaby",42,21,7,93,2,1,0,55,2,223,504
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 59","Burnaby",61,19,1,92,0,1,0,52,3,229,690
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 60","Burnaby",36,4,1,61,1,0,0,43,3,149,467
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 61","Burnaby",33,7,0,89,0,0,0,21,1,151,416
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 62","Burnaby",45,4,1,72,0,0,0,39,2,163,447
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 63","Burnaby",34,14,2,60,1,0,0,31,2,144,485
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 64","Burnaby",41,8,1,87,1,0,0,42,1,181,463
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 65","Burnaby",43,14,3,101,1,0,0,46,4,212,522
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 66","Burnaby",35,2,7,72,2,1,1,34,3,157,496
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 67","New Westminster",51,26,8,72,0,0,0,38,1,196,351
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 68","New Westminster",50,26,2,113,0,1,1,81,1,275,453
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 69","New Westminster",53,28,1,105,4,0,0,54,0,245,460
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 70","New Westminster",41,25,1,129,0,2,0,47,0,245,573
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 71","New Westminster",47,14,0,92,0,0,0,43,1,197,416
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 72","New Westminster",37,26,7,101,1,0,0,35,2,209,364
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 73","New Westminster",57,14,7,93,2,0,0,27,1,201,422
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 74A","New Westminster",30,20,5,83,0,0,0,27,1,166,288
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 74B","Mobile poll/Bureau itinérant",55,15,1,56,1,0,0,23,4,155,121
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 75","New Westminster",63,34,5,95,0,0,0,53,2,252,440
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 76","New Westminster",56,26,6,82,0,1,1,36,5,213,480
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 77","New Westminster",43,16,4,94,1,1,0,36,0,195,452
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 78","New Westminster",64,26,2,82,1,0,0,46,0,221,393
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 79","New Westminster",46,30,3,98,1,0,1,49,2,230,389
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 80","New Westminster",50,20,3,82,0,1,0,29,0,185,375
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 81","New Westminster",48,20,7,102,2,1,1,55,3,239,554
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 82","New Westminster",63,19,4,81,6,0,1,57,1,232,556
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 83","New Westminster",52,17,2,85,2,0,0,45,2,205,469
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 84","New Westminster",39,16,1,105,3,0,0,47,0,211,401
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 85","New Westminster",62,27,10,109,1,0,0,48,0,257,446
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 86","New Westminster",37,13,5,78,1,0,0,40,0,174,363
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 87","New Westminster",70,39,4,120,1,0,0,54,0,288,506
