Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Bregman,Gary Gladstone,Peter Kent,Waseem Malik,Sara Petrucci,Josh Rachlis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 1","Vaughan",1,90,121,0,15,7,1,235,699
35104,"Thornhill/Thornhill"," 2","Vaughan",2,53,90,0,7,5,1,158,456
35104,"Thornhill/Thornhill"," 3","Vaughan",1,47,112,0,5,8,2,175,475
35104,"Thornhill/Thornhill"," 4","Vaughan",0,34,89,0,4,5,3,135,477
35104,"Thornhill/Thornhill"," 5","Vaughan",2,53,129,0,9,3,3,199,498
35104,"Thornhill/Thornhill"," 6","Vaughan",2,55,71,0,13,4,0,145,397
35104,"Thornhill/Thornhill"," 7","Vaughan",0,55,122,0,14,5,0,196,500
35104,"Thornhill/Thornhill"," 8","Markham",1,128,97,0,18,10,6,260,536
35104,"Thornhill/Thornhill"," 9","Markham",1,129,97,2,31,9,6,275,532
35104,"Thornhill/Thornhill"," 10","Markham",0,138,101,1,19,12,1,272,509
35104,"Thornhill/Thornhill"," 11","Vaughan",1,46,122,0,7,1,0,177,466
35104,"Thornhill/Thornhill"," 12","Vaughan",2,42,97,0,6,3,1,151,398
35104,"Thornhill/Thornhill"," 13","Vaughan",2,56,122,0,18,3,1,202,497
35104,"Thornhill/Thornhill"," 14","Vaughan",0,52,167,0,22,5,3,249,533
35104,"Thornhill/Thornhill"," 15","Vaughan",0,46,123,0,13,8,1,191,441
35104,"Thornhill/Thornhill"," 16","Vaughan",2,69,122,0,15,10,0,218,493
35104,"Thornhill/Thornhill"," 17","Vaughan",2,38,101,0,10,3,1,155,438
35104,"Thornhill/Thornhill"," 18","Vaughan",2,87,97,1,17,6,0,210,479
35104,"Thornhill/Thornhill"," 19","Markham",0,53,63,0,12,7,1,136,332
35104,"Thornhill/Thornhill"," 20","Markham",1,100,98,1,14,7,0,221,444
35104,"Thornhill/Thornhill"," 21","Markham",3,120,83,0,23,12,2,243,522
35104,"Thornhill/Thornhill"," 22","Markham",2,75,59,0,8,11,2,157,368
35104,"Thornhill/Thornhill"," 23","Markham",1,69,62,0,5,4,2,143,353
35104,"Thornhill/Thornhill"," 24","Markham",2,98,71,0,12,7,1,191,379
35104,"Thornhill/Thornhill"," 25","Markham",0,52,67,0,11,1,0,131,326
35104,"Thornhill/Thornhill"," 26","Markham",0,101,93,1,23,14,4,236,568
35104,"Thornhill/Thornhill"," 27","Vaughan",0,78,83,1,8,10,1,181,419
35104,"Thornhill/Thornhill"," 28","Markham",0,67,39,0,16,8,1,131,326
35104,"Thornhill/Thornhill"," 29","Vaughan",0,65,105,0,14,2,1,187,414
35104,"Thornhill/Thornhill"," 30","Vaughan",0,49,107,0,13,12,0,181,500
35104,"Thornhill/Thornhill"," 31","Vaughan",0,38,72,0,5,2,0,117,322
35104,"Thornhill/Thornhill"," 32","Vaughan",2,54,115,1,17,3,2,194,470
35104,"Thornhill/Thornhill"," 33","Vaughan",0,53,89,0,12,6,1,161,372
35104,"Thornhill/Thornhill"," 34","Vaughan",0,63,94,0,8,7,1,173,445
35104,"Thornhill/Thornhill"," 35","Vaughan",1,57,138,0,12,4,5,217,450
35104,"Thornhill/Thornhill"," 36","Vaughan",1,77,152,0,24,11,0,265,545
35104,"Thornhill/Thornhill"," 37","Vaughan",2,59,143,0,12,2,3,221,481
35104,"Thornhill/Thornhill"," 38","Vaughan",0,62,73,0,15,4,1,155,391
35104,"Thornhill/Thornhill"," 39","Vaughan",0,72,97,1,13,10,2,195,465
35104,"Thornhill/Thornhill"," 40","Vaughan",0,63,88,0,24,4,0,179,509
35104,"Thornhill/Thornhill"," 41","Vaughan",0,29,92,0,9,4,1,135,407
35104,"Thornhill/Thornhill"," 42","Vaughan",0,32,77,0,1,4,0,114,315
35104,"Thornhill/Thornhill"," 43","Vaughan",1,48,127,0,7,4,0,187,484
35104,"Thornhill/Thornhill"," 44","Vaughan",1,46,94,0,9,1,2,153,391
35104,"Thornhill/Thornhill"," 45","Vaughan",0,54,112,0,4,4,1,175,411
35104,"Thornhill/Thornhill"," 46","Vaughan",0,37,93,0,10,3,1,144,357
35104,"Thornhill/Thornhill"," 47","Vaughan",0,43,114,0,14,5,1,177,530
35104,"Thornhill/Thornhill"," 48","Vaughan",1,99,147,2,20,4,5,278,541
35104,"Thornhill/Thornhill"," 49","Vaughan",1,71,105,0,10,4,1,192,423
35104,"Thornhill/Thornhill"," 50","Vaughan",1,79,101,0,24,6,6,217,421
35104,"Thornhill/Thornhill"," 51","Vaughan",1,95,96,1,26,7,8,234,468
35104,"Thornhill/Thornhill"," 52","Vaughan",2,107,129,1,24,4,3,270,506
35104,"Thornhill/Thornhill"," 53","Vaughan",2,99,106,0,14,3,5,229,489
35104,"Thornhill/Thornhill"," 54","Vaughan",0,73,96,1,14,6,2,192,429
35104,"Thornhill/Thornhill"," 55","Vaughan",0,79,86,0,10,12,0,187,381
35104,"Thornhill/Thornhill"," 56","Vaughan",0,113,92,0,16,0,1,222,447
35104,"Thornhill/Thornhill"," 57","Vaughan",2,92,84,0,19,12,1,210,458
35104,"Thornhill/Thornhill"," 58","Vaughan",0,32,68,0,5,1,0,106,387
35104,"Thornhill/Thornhill"," 59","Vaughan",0,46,82,0,8,3,2,141,368
35104,"Thornhill/Thornhill"," 60","Vaughan",1,57,79,0,8,8,3,156,352
35104,"Thornhill/Thornhill"," 61","Vaughan",0,35,64,0,2,1,0,102,337
35104,"Thornhill/Thornhill"," 62","Vaughan",1,56,87,0,16,6,2,168,364
35104,"Thornhill/Thornhill"," 63","Vaughan",0,32,48,0,7,3,2,92,281
35104,"Thornhill/Thornhill"," 64","Vaughan",0,49,69,0,8,5,0,131,269
35104,"Thornhill/Thornhill"," 65","Markham",0,35,40,1,8,8,0,92,206
35104,"Thornhill/Thornhill"," 66","Markham",0,66,77,0,7,12,2,164,421
