Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Jasmine Calix,Dean Gibson,Rebecca Malo,Cody Payant,Glenn Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 20","Waldheim",249,15,2,2,1,1,1,271,378
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 21","Waldheim",148,26,5,5,4,1,1,190,268
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 22","Waldheim",200,15,5,7,8,0,0,235,390
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 23","Radisson",152,21,3,5,13,2,0,196,300
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 24","Radisson",148,9,6,7,3,0,0,173,303
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 25","Vade",134,12,2,2,3,1,0,154,320
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 26","Rosthern",138,23,7,11,3,2,2,186,402
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 27","Rosthern",109,47,4,12,8,5,4,189,369
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 28","Rosthern",105,42,5,15,2,1,3,173,322
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 29","Hepburn",180,10,2,5,3,2,1,203,278
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 30","Hepburn",271,23,7,9,10,4,0,324,442
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 31","One Arrow 95",2,0,0,1,0,0,0,3,4
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 32","Sokal",58,9,0,2,3,0,0,72,139
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 33","Wakaw",124,24,5,13,4,1,0,171,323
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 34","Bonne Madone",107,13,1,3,0,1,0,125,235
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 35","Wakaw",84,30,0,9,3,1,1,128,267
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 36","Wakaw",55,17,0,13,1,0,2,88,203
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 37","Lizard Lake",62,6,1,3,0,1,0,73,168
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 38","Struan",97,11,2,0,2,0,0,112,203
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 39","Borden",255,46,9,16,7,4,3,340,452
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 40","Hague",251,8,0,6,5,0,0,270,411
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 41","Hague",220,16,2,5,3,0,1,247,329
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 42","Hague",189,10,0,2,3,2,2,208,306
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 43","Dalmeny",105,7,1,0,2,0,0,115,222
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 44","Dalmeny",121,15,0,15,2,1,0,154,318
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 45","Dalmeny",158,30,5,11,10,1,0,215,398
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 46","Dalmeny",129,45,7,23,2,1,0,207,360
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 47","Dalmeny",195,23,2,9,5,0,1,235,462
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 48","Smuts",106,17,5,7,5,1,1,142,270
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 49","Osler",300,17,7,4,12,0,0,340,532
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 50","Osler",245,38,8,7,2,3,0,303,498
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 51","Osler",254,8,4,5,2,0,1,274,493
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 52","Osler",249,26,2,7,4,1,2,291,371
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 53","Osler",166,17,5,5,5,0,0,198,291
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 54","St. Benedict",91,7,3,4,2,0,0,107,220
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 55","Langham",133,32,4,11,3,4,0,187,320
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 56","Langham",163,36,8,9,3,0,1,220,339
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 57","Langham",311,41,8,10,9,2,1,382,546
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 58","Langham",213,32,7,11,6,3,1,273,411
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 59","Cudworth",86,5,0,6,3,0,2,102,167
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 60","McGee",114,18,3,9,3,0,1,148,231
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 61","Sovereign",164,17,4,11,14,1,2,213,321
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 62","Langham",26,1,1,0,2,0,0,30,70
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 63A","Middle Lake",84,6,1,1,0,0,2,94,282
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 63B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,12
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 64","Middle Lake",81,5,2,4,5,0,0,97,208
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 65","Warman",258,43,3,19,9,0,1,333,551
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 66A","Warman",237,34,3,7,3,2,0,286,640
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,71
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 67","Warman",235,33,4,20,8,0,1,301,597
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 68","Warman",251,38,5,13,7,1,1,316,620
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 69","Warman",209,29,0,11,1,1,0,251,529
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 70","Warman",151,15,4,4,2,0,0,176,372
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 71","Warman",223,43,4,13,3,1,4,291,533
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 72","Warman",174,25,11,21,2,0,3,236,574
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 73","Warman",148,30,2,7,4,1,1,193,394
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 74","Warman",158,20,3,7,2,1,2,193,492
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 75","Warman",146,27,4,16,4,0,0,197,492
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 76","Warman",125,21,2,4,7,0,1,160,357
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 77","Warman",114,25,4,6,0,2,0,151,350
