Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Binette,Guy Croteau,Domenico Cusmano,Yves Le Seigle,Chu Anh Pham,Pablo Rodriguez,Patrick St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Honoré-Mercier/Honoré-Mercier"," 1A","Montréal",38,18,9,0,9,76,0,2,152,321
24029,"Honoré-Mercier/Honoré-Mercier"," 1B","Montréal",32,25,9,0,15,61,0,0,142,307
24029,"Honoré-Mercier/Honoré-Mercier"," 2","Montréal",22,22,1,0,11,107,1,6,170,395
24029,"Honoré-Mercier/Honoré-Mercier"," 3","Montréal",51,19,7,0,21,78,1,2,179,338
24029,"Honoré-Mercier/Honoré-Mercier"," 4","Montréal",100,30,8,0,25,151,2,2,318,595
24029,"Honoré-Mercier/Honoré-Mercier"," 5","Montréal",45,11,0,0,22,94,3,3,178,419
24029,"Honoré-Mercier/Honoré-Mercier"," 6","Montréal",15,40,10,0,34,150,0,3,252,532
24029,"Honoré-Mercier/Honoré-Mercier"," 7","Montréal",55,13,5,0,11,61,2,4,151,442
24029,"Honoré-Mercier/Honoré-Mercier"," 8","Montréal",48,43,4,1,25,152,0,5,278,483
24029,"Honoré-Mercier/Honoré-Mercier"," 9","Montréal",36,32,9,0,21,137,1,4,240,490
24029,"Honoré-Mercier/Honoré-Mercier"," 10","Montréal",26,23,7,1,26,161,2,4,250,506
24029,"Honoré-Mercier/Honoré-Mercier"," 11","Montréal",16,15,3,0,16,131,2,1,184,339
24029,"Honoré-Mercier/Honoré-Mercier"," 12","Montréal",27,31,5,0,23,108,2,2,198,425
24029,"Honoré-Mercier/Honoré-Mercier"," 13","Montréal",46,27,4,0,21,118,2,4,222,435
24029,"Honoré-Mercier/Honoré-Mercier"," 14A","Montréal",22,8,3,0,11,74,1,0,119,253
24029,"Honoré-Mercier/Honoré-Mercier"," 14B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,80
24029,"Honoré-Mercier/Honoré-Mercier"," 15","Montréal",45,16,3,0,33,128,2,7,234,435
24029,"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",8,61,10,0,29,186,4,3,301,569
24029,"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",33,10,4,1,15,105,4,4,176,395
