Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tony D'Angelo,Terry Dowdall,Sherri Jackson,Lorne Kenney,Ilona Matthews,Richard Sommer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 1","The Blue Mountains",1,72,39,112,18,5,0,247,525
35099,"Simcoe--Grey/Simcoe--Grey"," 2","The Blue Mountains",0,56,5,71,5,3,0,140,336
35099,"Simcoe--Grey/Simcoe--Grey"," 3","The Blue Mountains",0,96,21,105,21,2,1,246,509
35099,"Simcoe--Grey/Simcoe--Grey"," 4","The Blue Mountains",0,47,35,70,18,2,2,174,362
35099,"Simcoe--Grey/Simcoe--Grey"," 5","The Blue Mountains",0,44,35,99,29,0,0,207,488
35099,"Simcoe--Grey/Simcoe--Grey"," 6","The Blue Mountains",0,51,43,93,28,2,1,218,494
35099,"Simcoe--Grey/Simcoe--Grey"," 7","The Blue Mountains",0,68,35,92,28,1,0,224,424
35099,"Simcoe--Grey/Simcoe--Grey"," 8","The Blue Mountains",1,63,64,101,22,4,0,255,472
35099,"Simcoe--Grey/Simcoe--Grey"," 9","The Blue Mountains",1,86,25,113,12,1,0,238,502
35099,"Simcoe--Grey/Simcoe--Grey"," 10","The Blue Mountains",0,67,19,65,10,7,0,168,435
35099,"Simcoe--Grey/Simcoe--Grey"," 11","The Blue Mountains",0,65,25,107,16,0,0,213,465
35099,"Simcoe--Grey/Simcoe--Grey"," 12A","The Blue Mountains",0,69,16,59,9,3,0,156,394
35099,"Simcoe--Grey/Simcoe--Grey"," 12B","The Blue Mountains",0,49,18,62,11,3,0,143,345
35099,"Simcoe--Grey/Simcoe--Grey"," 13","The Blue Mountains",0,81,45,73,22,2,0,223,365
35099,"Simcoe--Grey/Simcoe--Grey"," 14","The Blue Mountains",0,116,36,67,17,5,1,242,401
35099,"Simcoe--Grey/Simcoe--Grey"," 15","The Blue Mountains",3,101,35,81,14,1,2,237,451
35099,"Simcoe--Grey/Simcoe--Grey"," 16","Collingwood",0,71,26,69,18,2,2,188,455
35099,"Simcoe--Grey/Simcoe--Grey"," 17","Collingwood",0,75,23,87,22,0,1,208,457
35099,"Simcoe--Grey/Simcoe--Grey"," 18","Collingwood",0,60,19,83,18,4,1,185,431
35099,"Simcoe--Grey/Simcoe--Grey"," 19","Collingwood",0,71,23,87,6,0,0,187,359
35099,"Simcoe--Grey/Simcoe--Grey"," 20","Collingwood",0,96,34,144,23,6,2,305,598
35099,"Simcoe--Grey/Simcoe--Grey"," 21","Collingwood",0,40,20,53,18,2,1,134,324
35099,"Simcoe--Grey/Simcoe--Grey"," 22","Collingwood",2,49,26,87,20,6,1,191,461
35099,"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",0,39,8,64,3,0,3,117,138
35099,"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",1,46,29,61,7,3,0,147,296
35099,"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",1,48,12,68,10,2,1,142,298
35099,"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",0,88,31,107,12,5,0,243,423
35099,"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",0,102,25,132,16,0,2,277,517
35099,"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",1,42,23,67,22,7,2,164,386
35099,"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",0,48,42,92,19,8,1,210,415
35099,"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",0,52,44,86,43,5,0,230,451
35099,"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",0,69,36,62,45,0,2,214,445
35099,"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",0,54,22,91,26,2,3,198,488
35099,"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",1,50,47,84,17,1,2,202,443
35099,"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",0,36,37,74,30,1,0,178,424
35099,"Simcoe--Grey/Simcoe--Grey"," 35","Collingwood",1,57,50,86,28,6,1,229,476
35099,"Simcoe--Grey/Simcoe--Grey"," 36","Collingwood",1,42,35,71,23,0,0,172,412
35099,"Simcoe--Grey/Simcoe--Grey"," 37","Collingwood",0,71,39,86,29,7,1,233,523
35099,"Simcoe--Grey/Simcoe--Grey"," 38","Collingwood",0,62,25,54,33,6,2,182,466
35099,"Simcoe--Grey/Simcoe--Grey"," 39","Collingwood",0,47,35,56,28,3,1,170,509
35099,"Simcoe--Grey/Simcoe--Grey"," 40","Collingwood",1,43,33,65,25,0,0,167,408
35099,"Simcoe--Grey/Simcoe--Grey"," 41","Collingwood",1,33,9,48,1,2,3,97,149
35099,"Simcoe--Grey/Simcoe--Grey"," 42","Collingwood",1,69,21,75,17,1,1,185,406
35099,"Simcoe--Grey/Simcoe--Grey"," 43","Collingwood",0,78,52,87,33,0,0,250,508
35099,"Simcoe--Grey/Simcoe--Grey"," 44","Collingwood",0,61,24,93,16,6,1,201,435
35099,"Simcoe--Grey/Simcoe--Grey"," 45","Collingwood",0,75,48,83,22,5,0,233,499
35099,"Simcoe--Grey/Simcoe--Grey"," 46","Collingwood",0,57,48,81,30,6,3,225,477
