Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathleen Dixon,Austen Erhardt,Sandra Filosof-Schipper,Leigh Kenny,Joyce Murray,Geoff Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Quadra/Vancouver Quadra"," 1","Greater Vancouver A",21,1,1,82,58,28,2,193,493
59039,"Vancouver Quadra/Vancouver Quadra"," 2","Greater Vancouver A",37,1,2,86,65,42,1,234,474
59039,"Vancouver Quadra/Vancouver Quadra"," 3","Greater Vancouver A",41,1,2,25,84,22,1,176,450
59039,"Vancouver Quadra/Vancouver Quadra"," 4","Greater Vancouver A",51,3,2,40,70,13,1,180,435
59039,"Vancouver Quadra/Vancouver Quadra"," 5","Greater Vancouver A",55,1,0,15,43,9,1,124,458
59039,"Vancouver Quadra/Vancouver Quadra"," 6","Greater Vancouver A",63,0,4,14,62,15,4,162,453
59039,"Vancouver Quadra/Vancouver Quadra"," 7","Greater Vancouver A",45,2,4,49,69,18,2,189,611
59039,"Vancouver Quadra/Vancouver Quadra"," 8","Greater Vancouver A",24,0,2,27,32,14,0,99,328
59039,"Vancouver Quadra/Vancouver Quadra"," 9","Greater Vancouver A",31,0,2,23,61,12,1,130,440
59039,"Vancouver Quadra/Vancouver Quadra"," 10","Greater Vancouver A",24,0,1,33,28,5,0,91,359
59039,"Vancouver Quadra/Vancouver Quadra"," 11","Greater Vancouver A",16,0,0,43,32,8,0,99,321
59039,"Vancouver Quadra/Vancouver Quadra"," 12","Greater Vancouver A",27,0,1,38,41,13,0,120,313
59039,"Vancouver Quadra/Vancouver Quadra"," 13","Vancouver",85,0,2,17,79,15,0,198,542
59039,"Vancouver Quadra/Vancouver Quadra"," 14","Greater Vancouver A",36,0,1,15,49,15,0,116,266
59039,"Vancouver Quadra/Vancouver Quadra"," 15","Vancouver",75,0,1,31,108,29,0,244,547
59039,"Vancouver Quadra/Vancouver Quadra"," 16","Vancouver",51,2,5,44,94,30,0,226,581
59039,"Vancouver Quadra/Vancouver Quadra"," 17","Vancouver",69,1,1,25,82,38,1,217,462
59039,"Vancouver Quadra/Vancouver Quadra"," 18","Vancouver",71,0,0,29,96,20,0,216,593
59039,"Vancouver Quadra/Vancouver Quadra"," 19","Vancouver",50,1,5,45,93,28,3,225,533
59039,"Vancouver Quadra/Vancouver Quadra"," 20","Vancouver",72,0,1,24,94,27,0,218,574
59039,"Vancouver Quadra/Vancouver Quadra"," 21","Vancouver",61,0,0,38,83,28,0,210,498
59039,"Vancouver Quadra/Vancouver Quadra"," 22","Vancouver",73,0,1,39,96,20,1,230,579
59039,"Vancouver Quadra/Vancouver Quadra"," 23","Vancouver",45,1,5,58,108,33,3,253,506
59039,"Vancouver Quadra/Vancouver Quadra"," 24","Vancouver",48,1,3,68,76,35,1,232,517
59039,"Vancouver Quadra/Vancouver Quadra"," 25","Vancouver",51,0,4,57,114,55,1,282,585
59039,"Vancouver Quadra/Vancouver Quadra"," 26","Vancouver",31,0,5,59,86,35,0,216,543
59039,"Vancouver Quadra/Vancouver Quadra"," 27","Vancouver",72,0,0,46,120,33,0,271,657
59039,"Vancouver Quadra/Vancouver Quadra"," 28","Vancouver",41,0,4,62,112,21,2,242,512
59039,"Vancouver Quadra/Vancouver Quadra"," 29","Vancouver",33,0,2,64,129,37,0,265,546
59039,"Vancouver Quadra/Vancouver Quadra"," 30","Vancouver",43,0,1,47,117,39,0,247,553
59039,"Vancouver Quadra/Vancouver Quadra"," 31","Vancouver",38,1,2,43,113,41,0,238,519
59039,"Vancouver Quadra/Vancouver Quadra"," 32","Vancouver",41,0,7,55,98,30,3,234,562
59039,"Vancouver Quadra/Vancouver Quadra"," 33","Vancouver",61,2,5,37,114,26,0,245,553
59039,"Vancouver Quadra/Vancouver Quadra"," 34","Vancouver",78,0,2,30,113,34,1,258,527
59039,"Vancouver Quadra/Vancouver Quadra"," 35","Vancouver",26,0,0,33,101,29,1,190,434
59039,"Vancouver Quadra/Vancouver Quadra"," 36","Vancouver",39,0,5,41,75,26,0,186,463
59039,"Vancouver Quadra/Vancouver Quadra"," 37","Vancouver",32,0,6,41,90,35,0,204,444
59039,"Vancouver Quadra/Vancouver Quadra"," 38","Vancouver",25,1,0,31,79,32,0,168,500
59039,"Vancouver Quadra/Vancouver Quadra"," 39","Vancouver",28,0,1,39,111,42,0,221,514
59039,"Vancouver Quadra/Vancouver Quadra"," 40","Vancouver",25,0,0,65,98,33,0,221,494
59039,"Vancouver Quadra/Vancouver Quadra"," 41","Vancouver",24,0,0,33,79,32,0,168,468
59039,"Vancouver Quadra/Vancouver Quadra"," 42","Vancouver",40,2,1,50,150,55,0,298,545
59039,"Vancouver Quadra/Vancouver Quadra"," 43","Vancouver",38,0,0,43,89,27,1,198,517
59039,"Vancouver Quadra/Vancouver Quadra"," 44","Vancouver",30,0,4,55,117,30,0,236,552
59039,"Vancouver Quadra/Vancouver Quadra"," 45","Vancouver",62,0,2,33,105,28,1,231,515
59039,"Vancouver Quadra/Vancouver Quadra"," 46","Vancouver",91,0,3,32,119,25,1,271,537
59039,"Vancouver Quadra/Vancouver Quadra"," 47","Vancouver",50,1,5,38,129,32,0,255,538
59039,"Vancouver Quadra/Vancouver Quadra"," 48","Vancouver",76,1,2,21,83,19,0,202,547
59039,"Vancouver Quadra/Vancouver Quadra"," 49","Greater Vancouver A",23,0,1,11,39,14,0,88,335
59039,"Vancouver Quadra/Vancouver Quadra"," 50","Greater Vancouver A",32,1,2,25,43,9,0,112,370
59039,"Vancouver Quadra/Vancouver Quadra"," 51","Greater Vancouver A",34,0,0,5,49,10,1,99,342
59039,"Vancouver Quadra/Vancouver Quadra"," 52","Greater Vancouver A",46,1,1,13,32,9,0,102,379
59039,"Vancouver Quadra/Vancouver Quadra"," 53A","Greater Vancouver A",38,0,2,25,55,6,0,126,412
59039,"Vancouver Quadra/Vancouver Quadra"," 53B","Greater Vancouver A",Merged with No./Fusionné avec le n°401,,,,,,,,44
59039,"Vancouver Quadra/Vancouver Quadra"," 54","Greater Vancouver A",79,0,5,20,57,12,0,173,533
59039,"Vancouver Quadra/Vancouver Quadra"," 55","Greater Vancouver A",53,0,1,38,58,13,1,164,525
59039,"Vancouver Quadra/Vancouver Quadra"," 56","Greater Vancouver A",25,0,1,50,90,29,2,197,431
59039,"Vancouver Quadra/Vancouver Quadra"," 57","Vancouver",40,0,5,53,126,32,0,256,580
59039,"Vancouver Quadra/Vancouver Quadra"," 58","Vancouver",40,0,2,45,111,37,1,236,591
59039,"Vancouver Quadra/Vancouver Quadra"," 59","Vancouver",59,1,1,52,110,30,0,253,592
59039,"Vancouver Quadra/Vancouver Quadra"," 60","Vancouver",53,0,4,49,82,31,0,219,530
59039,"Vancouver Quadra/Vancouver Quadra"," 61","Vancouver",29,0,2,56,106,44,0,237,539
59039,"Vancouver Quadra/Vancouver Quadra"," 62","Vancouver",77,0,0,35,88,33,0,233,532
59039,"Vancouver Quadra/Vancouver Quadra"," 63","Vancouver",37,0,1,36,122,27,1,224,547
59039,"Vancouver Quadra/Vancouver Quadra"," 64","Vancouver",56,1,2,52,108,29,0,248,536
59039,"Vancouver Quadra/Vancouver Quadra"," 65","Vancouver",69,1,1,29,97,17,0,214,524
59039,"Vancouver Quadra/Vancouver Quadra"," 66","Vancouver",66,0,4,41,106,28,0,245,616
59039,"Vancouver Quadra/Vancouver Quadra"," 67","Vancouver",30,0,4,41,97,30,0,202,503
59039,"Vancouver Quadra/Vancouver Quadra"," 68","Vancouver",23,0,2,54,102,40,1,222,484
59039,"Vancouver Quadra/Vancouver Quadra"," 69","Vancouver",23,0,4,46,73,27,0,173,461
59039,"Vancouver Quadra/Vancouver Quadra"," 70","Vancouver",20,1,3,60,97,34,0,215,481
59039,"Vancouver Quadra/Vancouver Quadra"," 71","Vancouver",31,0,4,54,105,35,1,230,534
