Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Balagtas,Paul Coulbeck,Dave Epp,Katie Omstead,Mark Vercouteren,Tony Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 1","Moraviantown",4,0,5,30,5,51,0,95,267
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 2","Chatham-Kent",9,2,119,62,6,25,2,225,410
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 3","Chatham-Kent",0,1,94,66,14,50,1,226,379
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 4","Chatham-Kent",1,0,132,62,17,17,0,229,408
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 5","Chatham-Kent",3,0,98,40,13,25,0,179,339
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 6","Chatham-Kent",4,1,85,29,7,34,1,161,301
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 7","Chatham-Kent",1,4,98,45,8,20,0,176,354
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 8","Ridgetown",1,1,73,47,12,32,2,168,364
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 9","Ridgetown",1,1,65,52,10,25,4,158,343
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 10","Ridgetown",8,0,60,67,15,32,0,182,425
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 11","Chatham-Kent",5,2,84,51,12,21,0,175,335
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 12","Chatham-Kent",3,1,81,44,6,28,0,163,417
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 13","Ridgetown",3,3,55,33,3,27,0,124,344
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 14","Ridgetown",1,1,53,28,8,23,0,114,313
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 15","Chatham-Kent",1,1,138,57,6,14,0,217,365
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 16","Chatham-Kent",3,2,104,54,20,25,0,208,406
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 17","Chatham",0,1,54,40,6,20,1,122,212
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 18","Chatham",2,1,88,59,8,34,3,195,353
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 19","Chatham",2,3,78,50,9,25,1,168,340
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 20","Chatham",3,0,98,95,7,34,2,239,435
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 21","Chatham",2,2,79,62,6,38,0,189,351
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 22","Chatham",3,1,64,34,5,31,0,138,270
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 23","Chatham",8,1,90,72,11,40,1,223,355
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 24","Chatham",6,0,71,84,12,54,2,229,397
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 25","Chatham",2,0,53,40,8,41,0,144,278
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 26","Chatham",1,0,80,69,13,26,0,189,317
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 27","Chatham",5,0,64,37,7,45,0,158,340
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 28","Chatham",5,0,54,50,5,38,0,152,296
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 29","Chatham",0,0,60,55,6,14,1,136,223
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 30","Chatham",2,1,88,66,3,43,2,205,397
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 31","Chatham",2,1,58,60,3,23,2,149,235
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 32","Chatham",1,2,91,68,7,25,0,194,345
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 33","Chatham-Kent",3,1,128,45,8,27,2,214,339
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 34","Chatham-Kent",3,0,132,78,14,22,1,250,440
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 35","Chatham-Kent",4,0,124,83,3,12,0,226,395
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 36","Chatham",1,1,70,71,2,43,0,188,334
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 37","Chatham",2,0,78,66,6,20,0,172,303
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 38","Chatham",6,0,57,41,3,23,0,130,291
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 39","Chatham",3,0,73,55,6,40,1,178,379
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 40","Chatham",2,0,69,48,8,30,1,158,433
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 41","Chatham",5,3,37,26,8,26,0,105,348
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 42","Chatham",3,1,55,69,3,27,1,159,353
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 43","Chatham",0,1,33,37,7,22,4,104,280
