Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Harjit Singh Gill,Rabaab Khehra,Harpreet Singh,Holly Verchère,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 126","Surrey",87,51,10,20,3,0,171,418
59033,"Surrey--Newton/Surrey--Newton"," 127","Surrey",96,56,0,33,4,1,190,441
59033,"Surrey--Newton/Surrey--Newton"," 128","Surrey",95,54,6,31,8,5,199,404
59033,"Surrey--Newton/Surrey--Newton"," 129","Surrey",56,30,2,37,5,0,130,364
59033,"Surrey--Newton/Surrey--Newton"," 130","Surrey",123,67,10,39,7,4,250,708
59033,"Surrey--Newton/Surrey--Newton"," 131","Surrey",148,73,4,45,1,7,278,843
59033,"Surrey--Newton/Surrey--Newton"," 132","Surrey",45,54,7,24,3,1,134,455
59033,"Surrey--Newton/Surrey--Newton"," 133","Surrey",71,43,13,32,9,1,169,535
59033,"Surrey--Newton/Surrey--Newton"," 134","Surrey",71,51,9,41,3,5,180,494
59033,"Surrey--Newton/Surrey--Newton"," 135","Surrey",58,52,6,32,2,0,150,381
59033,"Surrey--Newton/Surrey--Newton"," 136","Surrey",66,39,3,27,1,2,138,479
59033,"Surrey--Newton/Surrey--Newton"," 137","Surrey",47,38,12,29,3,0,129,365
59033,"Surrey--Newton/Surrey--Newton"," 138","Surrey",61,34,3,39,4,1,142,400
59033,"Surrey--Newton/Surrey--Newton"," 139","Surrey",55,62,7,33,2,3,162,449
59033,"Surrey--Newton/Surrey--Newton"," 140","Surrey",89,61,6,49,4,4,213,790
59033,"Surrey--Newton/Surrey--Newton"," 141","Surrey",82,76,10,60,4,2,234,587
59033,"Surrey--Newton/Surrey--Newton"," 142","Surrey",93,56,6,71,1,5,232,563
59033,"Surrey--Newton/Surrey--Newton"," 143","Surrey",69,34,1,21,0,1,126,483
59033,"Surrey--Newton/Surrey--Newton"," 144","Surrey",86,91,4,51,1,2,235,595
59033,"Surrey--Newton/Surrey--Newton"," 145","Surrey",63,49,6,40,1,1,160,414
59033,"Surrey--Newton/Surrey--Newton"," 146","Surrey",154,97,14,87,3,1,356,981
59033,"Surrey--Newton/Surrey--Newton"," 147","Surrey",41,57,5,35,0,0,138,393
59033,"Surrey--Newton/Surrey--Newton"," 148","Surrey",105,61,9,68,7,7,257,547
59033,"Surrey--Newton/Surrey--Newton"," 400","Surrey",Merged with No./Fusionné avec le n°112,,,,,,,382
59033,"Surrey--Newton/Surrey--Newton"," 500","Mobile poll/Bureau itinérant",80,21,7,39,3,4,154,231
