Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garnett Genuis,Patrick McElrea,Laura Sanderson,Aidan Theroux,Ron Thiering,Darren Villetard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 1","Fort Saskatchewan",141,0,8,38,33,3,0,223,499
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 2","Fort Saskatchewan",144,1,5,28,11,9,5,203,450
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 3","Fort Saskatchewan",156,2,4,37,21,1,1,222,442
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 4","Scotford",80,0,1,12,4,0,0,97,249
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 5","Hilliard",135,0,1,11,7,3,0,157,380
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 6","Fort Saskatchewan",120,0,1,33,13,6,2,175,474
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 7","Fort Saskatchewan",158,0,6,23,19,4,3,213,552
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 8","Fort Saskatchewan",110,0,11,37,16,3,3,180,433
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 9","Fort Saskatchewan",133,3,11,33,16,7,2,205,441
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 10","Fort Saskatchewan",155,1,3,20,24,6,0,209,458
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 11","Fort Saskatchewan",173,2,6,35,15,3,1,235,534
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 12","Fort Saskatchewan",178,1,6,24,22,9,0,240,464
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 13","Fort Saskatchewan",204,4,7,48,28,4,1,296,528
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 14","Fort Saskatchewan",135,1,6,38,17,5,0,202,393
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 15","Fort Saskatchewan",148,1,10,28,10,4,2,203,413
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 16","Fort Saskatchewan",192,1,3,47,23,5,1,272,475
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 17","Fort Saskatchewan",156,3,4,32,35,5,1,236,476
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 18A","Fort Saskatchewan",74,0,7,12,11,0,1,105,260
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 18B","Mobile poll/Bureau itinérant",70,1,3,11,12,0,1,98,145
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 19","Fort Saskatchewan",170,0,3,26,17,12,0,228,530
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 20","Fort Saskatchewan",133,0,1,43,19,5,0,201,394
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 21","Fort Saskatchewan",97,1,1,25,14,7,0,145,353
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 22","Fort Saskatchewan",152,0,3,32,24,3,0,214,464
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 23","Fort Saskatchewan",140,0,0,24,6,6,0,176,380
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 24","Fort Saskatchewan",133,0,1,22,13,2,0,171,392
