Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Taylor Bachrach,Dave Birdi,Jody Craven,Danny Nunes,Claire Rattée,Merv Ritchie,Mike Sawyer,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Atlin",57,43,2,3,61,0,21,1,4,192,372
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Good Hope Lake",4,6,0,0,9,0,3,1,0,23,75
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Lower Post",9,12,0,0,7,0,6,0,1,35,56
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",36,11,1,2,26,3,14,2,0,95,295
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",60,8,0,1,11,1,7,1,0,89,182
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",56,4,0,1,10,0,2,4,0,77,239
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",25,25,2,0,94,0,5,1,1,153,419
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Greenville",122,18,3,1,7,3,9,2,0,165,360
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Port Clements",66,26,3,0,49,1,30,2,3,180,303
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Gingolx",79,5,6,3,7,1,5,1,0,107,276
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Masset 1",121,6,3,1,7,1,22,1,1,163,477
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Gitwinksihlkw",63,11,3,2,2,0,5,0,0,86,122
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","New Aiyansh",3,1,2,0,1,0,1,0,0,8,17
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","New Aiyansh",95,4,0,0,4,1,11,1,0,116,241
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","New Aiyansh",95,9,2,0,1,1,9,2,1,120,296
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","Masset",90,15,0,1,26,0,39,2,2,175,390
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Masset",89,15,2,1,16,0,42,0,0,165,402
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Lax Kw'alaams",168,14,2,0,12,4,24,5,3,232,424
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Kitimat-Stikine B",64,6,1,0,20,0,18,1,2,112,185
