Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Driver,Sylvie Godin-Charest,Claire Kelly,Brad MacDonald,Luke MacLaren,Ginette Petitpas Taylor,Rhys Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1","Moncton",7,49,21,1,13,60,2,3,156,375
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",10,44,26,1,26,86,1,2,196,500
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",4,34,26,1,22,54,1,1,143,430
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",1,52,15,0,19,70,2,3,162,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5","Moncton",0,51,33,0,26,60,0,2,172,415
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",2,25,20,0,22,59,0,1,129,356
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7A","Moncton",10,48,35,2,32,100,1,2,230,509
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,5
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",4,14,31,2,30,51,1,2,135,493
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9","Moncton",2,56,34,1,30,111,1,0,235,565
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10","Moncton",3,51,48,4,33,112,0,1,252,571
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",1,67,28,1,23,135,3,1,259,551
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",3,58,36,0,16,107,0,1,221,497
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13","Moncton",4,65,48,1,40,116,1,1,276,583
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14","Moncton",1,60,34,0,24,92,1,1,213,423
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",3,57,52,3,46,78,1,1,241,515
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",4,43,36,3,32,100,0,1,219,486
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17","Moncton",4,43,40,1,41,81,4,0,214,495
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 18","Moncton",0,36,39,2,27,78,3,0,185,470
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 19","Moncton",3,39,38,1,13,69,0,0,163,327
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 20","Moncton",9,22,29,1,26,61,0,1,149,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 21","Moncton",1,36,36,2,25,95,0,2,197,495
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 22","Moncton",9,50,24,1,28,106,0,0,218,561
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 23","Moncton",7,96,49,1,41,78,2,0,274,545
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 24","Moncton",4,55,21,0,16,36,0,0,132,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25A","Moncton",4,62,27,1,24,68,1,3,190,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,12
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 26","Moncton",9,63,28,1,26,76,1,2,206,485
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 27","Moncton",3,55,27,0,33,87,1,1,207,494
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 28","Moncton",2,49,19,0,19,66,1,0,156,358
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 29","Moncton",4,30,26,2,35,44,1,0,142,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 30","Dieppe",4,18,22,0,18,66,1,1,130,400
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 31","Dieppe",0,24,26,0,8,108,0,0,166,323
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 32","Dieppe",2,9,25,1,20,62,0,2,121,363
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 33","Dieppe",0,28,24,0,11,92,0,0,155,363
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34","Dieppe",1,17,14,0,17,82,0,3,134,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 35","Dieppe",3,35,30,2,16,75,0,1,162,553
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 36","Moncton",4,45,49,4,35,122,4,2,265,543
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 37","Moncton",8,39,24,0,30,86,1,3,191,371
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 38","Moncton",7,56,32,1,26,123,0,1,246,512
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 39","Moncton",4,44,43,3,28,120,0,0,242,507
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 40","Moncton",8,26,35,1,32,75,0,0,177,480
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41A","Moncton",6,34,39,5,41,92,1,1,219,574
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41B","Moncton",Merged with No./Fusionné avec le n°37,,,,,,,,,62
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42A","Moncton",9,51,31,1,37,77,1,2,209,521
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42B","Moncton",Merged with No./Fusionné avec le n°37,,,,,,,,,117
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,71
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,66
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42E","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,26
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42F","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,64
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 43","Moncton",5,31,53,1,36,51,0,1,178,372
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 44","Moncton",6,27,43,1,43,53,2,0,175,408
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 45","Moncton",4,28,67,1,29,66,3,2,200,493
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 46","Moncton",5,19,59,1,24,82,1,1,192,426
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 47","Dieppe",6,32,23,0,30,92,0,1,184,528
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 48","Dieppe",12,59,60,2,47,118,0,0,298,607
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 49","Dieppe",1,37,39,2,27,83,3,1,193,394
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 50","Dieppe",10,32,23,1,17,141,3,2,229,590
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 51","Dieppe",5,31,33,0,26,105,0,1,201,434
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 52","Dieppe",4,38,23,0,25,67,1,1,159,382
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 53","Dieppe",4,29,42,3,34,100,0,0,212,487
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 54","Dieppe",2,36,25,0,10,100,0,3,176,431
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 55","Moncton",3,16,55,1,23,69,0,3,170,386
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 56","Moncton",3,15,32,2,12,47,0,1,112,370
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 57","Moncton",4,17,45,0,20,59,0,0,145,366
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 58","Moncton",4,12,43,0,13,65,0,0,137,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 59","Moncton",5,22,44,0,11,70,1,1,154,347
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 60","Moncton",10,39,46,6,17,96,0,2,216,537
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61","Moncton",1,55,24,1,20,87,4,2,194,489
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 62","Moncton",8,44,47,1,26,104,2,2,234,519
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 63","Moncton",1,35,33,2,23,60,0,1,155,458
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 64","Moncton",8,35,26,4,23,60,0,3,159,474
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 65","Moncton",4,60,31,2,32,61,1,4,195,469
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 66","Moncton",9,48,32,2,43,79,3,3,219,489
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67A","Moncton",9,74,22,2,19,70,0,5,201,518
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,,6
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 68","Moncton",1,63,28,4,48,106,2,1,253,571
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 69","Moncton",5,65,26,5,30,91,2,2,226,465
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 70","Moncton",6,56,27,1,35,64,2,1,192,426
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 71","Moncton",5,88,31,1,39,125,0,0,289,601
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 72","Moncton",5,75,40,3,28,106,0,0,257,562
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 73","Moncton",5,17,32,1,22,60,0,1,138,367
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 74","Moncton",1,17,20,3,17,36,1,1,96,379
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 75","Moncton",3,19,51,0,27,50,0,0,150,440
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 76","Moncton",3,21,28,2,24,65,4,0,147,417
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 77","Moncton",5,69,21,1,26,74,1,1,198,529
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 78","Moncton",7,35,37,2,44,78,1,1,205,531
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 79","Moncton",2,46,24,1,37,77,2,0,189,446
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 80","Moncton",18,42,43,1,58,63,1,5,231,539
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 81","Moncton",10,56,35,4,21,57,2,3,188,464
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 82","Dieppe",2,33,36,1,10,125,0,0,207,502
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 83","Dieppe",7,31,42,2,23,120,0,0,225,460
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 84","Dieppe",3,28,23,1,7,97,0,0,159,411
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 85","Dieppe",6,28,18,0,18,121,0,1,192,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 86","Dieppe",7,45,43,1,24,107,0,1,228,547
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 87","Moncton",7,24,33,0,33,51,2,2,152,455
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 88","Moncton",11,27,54,2,19,60,0,2,175,427
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 89","Moncton",5,24,34,3,21,49,0,0,136,363
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 90","Moncton",6,29,52,0,30,84,0,0,201,490
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 91","Moncton",5,31,49,4,37,87,8,1,222,518
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 92","Moncton",7,46,46,1,25,62,1,3,191,510
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 93","Moncton",1,35,30,1,28,73,3,3,174,412
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 94","Moncton",2,67,36,0,20,78,3,4,210,444
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 95","Moncton",2,44,19,1,25,43,2,0,136,382
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 96","Moncton",0,48,10,0,26,88,4,0,176,375
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 97","Moncton",2,39,15,2,38,75,0,1,172,377
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 98","Moncton",3,46,23,0,35,62,0,0,169,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 99","Moncton",3,94,37,1,36,97,1,0,269,554
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 100","Moncton",3,69,33,1,30,99,0,0,235,571
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 101","Moncton",8,11,40,3,27,52,0,2,143,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 102","Moncton",5,17,29,2,19,42,0,1,115,348
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 103","Moncton",3,19,22,1,17,54,1,0,117,349
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 104","Moncton",7,25,26,4,26,46,1,0,135,390
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 105","Moncton",6,24,25,0,21,56,3,1,136,402
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 106","Moncton",5,37,37,4,27,60,1,0,171,475
