Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Max Chapman,Dave Delisle,Carol Hughes,Le Marquis De Marmalade,Dave Williamson,Heather Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 1","Constance Lake 92",4,1,97,0,4,28,0,134,461
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 2","Smooth Rock Falls",6,4,33,0,36,41,5,125,303
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 3","Smooth Rock Falls",6,4,40,0,25,30,2,107,278
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 4","Smooth Rock Falls",5,5,26,0,30,40,1,107,293
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 5","Smooth Rock Falls",3,10,33,0,32,15,1,94,261
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 6","Mattice",11,15,154,1,42,93,6,322,540
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 7","Opasatika",0,1,53,1,14,25,1,95,177
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 8","Lac-Ste-Thérèse",4,2,27,0,10,38,3,84,189
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 9","Calstock",9,4,40,1,17,38,0,109,182
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 10","Hearst",12,4,74,1,30,85,3,209,448
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 11","Hearst",8,7,65,2,54,98,2,236,543
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 12","Hearst",14,4,87,4,39,79,9,236,483
