Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Conner Borlé,Earl Dreeshen,Logan Garbanewski,Paul Mitchell,Gary Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 183","Olds",9,115,18,10,10,0,162,453
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 184","Clearwater No. 99",2,157,10,4,5,1,179,260
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 185","Water Valley",23,360,25,26,16,0,450,587
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 186","Westcott",2,177,5,10,9,0,203,364
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 187","Westcott",3,144,7,12,9,1,176,435
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 188","Didsbury",7,251,11,20,17,0,306,625
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 189","Didsbury",12,174,11,21,22,0,240,475
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 190","Didsbury",12,148,9,17,5,1,192,412
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 191","Didsbury",10,124,11,11,9,0,165,380
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 192","Didsbury",7,152,14,11,9,0,193,404
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 193","Didsbury",5,156,14,16,10,0,201,431
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 194","Didsbury",9,161,17,9,11,1,208,411
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 195","Didsbury",3,189,15,8,19,0,234,571
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 196","Neapolis",4,264,6,13,3,1,291,576
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 197","Cremona",15,253,25,12,14,2,321,488
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 198","Dogpound",4,185,3,4,10,0,206,349
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 199","Cremona",4,274,13,9,19,2,321,477
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 200","Carstairs",6,232,6,3,6,1,254,498
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 201","Carstairs",1,121,16,5,7,0,150,314
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 202","Carstairs",2,159,16,16,6,1,200,419
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 203","Carstairs",6,204,10,13,9,0,242,496
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 204","Carstairs",1,196,5,10,5,0,217,473
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 205","Carstairs",10,296,18,12,18,0,354,790
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 206","Neapolis",3,239,12,11,12,0,277,571
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 207","Carstairs",4,201,12,12,9,0,238,544
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 208","Wessex",2,178,4,5,8,0,197,383
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 209","Stirlingville",5,122,7,6,3,0,143,377
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 400","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,34
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 401","Red Deer County",5,51,15,3,8,0,82,203
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 402","Mobile poll/Bureau itinérant",1,53,5,0,10,1,70,80
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 500A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,91
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,20
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 501A","Mobile poll/Bureau itinérant",5,118,12,2,11,1,149,107
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 501B","Mobile poll/Bureau itinérant",3,64,7,2,9,1,86,58
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 502A","Mobile poll/Bureau itinérant",9,105,13,10,16,3,156,100
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 502B","Mobile poll/Bureau itinérant",1,23,3,3,5,0,35,33
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 503","Mobile poll/Bureau itinérant",4,90,5,4,6,0,109,162
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 504A","Mobile poll/Bureau itinérant",0,38,1,2,1,0,42,2
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 504B","Sundre",Merged with No./Fusionné avec le n°157A,,,,,,,6
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 505A","Mobile poll/Bureau itinérant",0,68,7,5,4,0,84,127
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402,,,,,,,13
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 506A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507B,,,,,,,41
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 506B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,1
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 507A","Mobile poll/Bureau itinérant",1,26,2,2,3,0,34,40
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 507B","Mobile poll/Bureau itinérant",0,52,2,2,5,2,63,31
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 600","Red Deer County",13,690,25,25,25,0,778,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 601","Red Deer",30,745,83,37,61,2,958,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 602","Red Deer",44,668,85,29,69,2,897,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 603","Red Deer",34,700,76,55,57,2,924,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 604","Red Deer",27,789,67,32,46,3,964,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 605","Red Deer",21,734,63,28,64,1,911,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 606","Red Deer",31,899,70,25,49,1,1075,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 607","Red Deer",33,981,80,33,77,1,1205,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 608","Penhold",18,1225,94,68,57,1,1463,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 609","Red Deer",32,1078,74,33,71,3,1291,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 610","Red Deer County",5,347,13,9,11,1,386,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 611","Delburne",11,614,19,22,15,1,682,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 612","Bowden",22,1141,42,49,29,0,1283,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 613","Innisfail",25,1299,67,57,70,7,1525,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 614","Sundre",51,1499,43,46,57,7,1703,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 615","Olds",27,1489,55,57,51,4,1683,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 616","Olds",37,1199,52,51,52,9,1400,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 617","Didsbury",17,748,11,45,27,4,852,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 618","Didsbury",19,573,47,30,29,0,698,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 619","Didsbury",21,974,44,53,35,3,1130,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 620","Didsbury",16,535,11,36,13,0,611,
48029,"Red Deer--Mountain View/Red Deer--Mountain View",,Group 1/Groupe 1, 21,41,12,2,19,9,104,135
48029,"Red Deer--Mountain View/Red Deer--Mountain View",,Group 2/Groupe 2, 92,1790,155,72,104,89,2302,
