Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Hu,Anthony Internicola,Larisa Julius,Randi Ramdeen,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",100,1,9,2,77,7,196,446
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",117,2,4,1,85,1,210,460
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",96,0,11,3,106,1,217,518
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",105,1,10,3,87,1,207,512
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",55,1,12,1,36,2,107,279
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",82,4,16,0,79,0,181,438
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",69,2,9,2,62,3,147,477
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",79,4,9,4,74,5,175,431
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",87,2,20,6,80,5,200,462
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",38,1,12,3,45,2,101,279
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",40,0,7,6,72,2,127,332
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",75,2,12,2,45,1,137,357
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Scarborough",111,2,14,6,81,3,217,507
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",55,3,22,0,74,2,156,336
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Scarborough",73,1,17,7,88,2,188,561
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",66,2,12,3,91,1,175,490
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",61,1,13,5,51,0,131,338
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Scarborough",72,2,15,3,72,4,168,415
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Scarborough",98,0,13,3,99,0,213,566
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Scarborough",44,7,9,3,52,0,115,343
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Scarborough",73,0,23,2,73,4,175,424
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Scarborough",31,2,16,1,53,0,103,233
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Scarborough",52,6,12,7,65,0,142,322
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Scarborough",71,3,11,3,92,0,180,506
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Scarborough",80,2,13,2,80,1,178,445
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Scarborough",45,0,25,2,52,3,127,416
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Scarborough",72,2,16,4,81,0,175,457
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Scarborough",46,1,34,4,92,4,181,450
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Scarborough",54,4,18,4,66,4,150,378
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Scarborough",57,8,21,3,54,4,147,402
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 31","Scarborough",68,0,15,1,93,2,179,502
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Scarborough",79,3,13,4,93,2,194,460
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Scarborough",68,1,7,6,99,0,181,365
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Scarborough",48,1,16,7,73,3,148,348
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Scarborough",30,1,28,4,74,0,137,329
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Scarborough",47,1,15,5,49,1,118,372
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Scarborough",66,1,13,5,111,1,197,447
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Scarborough",56,2,14,1,47,4,124,347
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Scarborough",35,1,22,1,164,2,225,587
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Scarborough",43,0,7,3,57,1,111,433
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Scarborough",77,0,10,5,79,0,171,346
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Scarborough",62,1,23,3,113,3,205,510
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Scarborough",78,7,19,5,78,3,190,506
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Scarborough",81,2,15,5,84,0,187,402
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Scarborough",79,3,10,5,85,1,183,405
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Scarborough",86,3,14,4,55,3,165,466
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Scarborough",90,1,12,6,83,2,194,436
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Scarborough",58,2,7,2,44,0,113,348
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Scarborough",59,4,14,0,73,6,156,437
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Scarborough",33,2,6,1,86,0,128,383
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Scarborough",68,2,4,6,68,1,149,368
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",68,3,23,8,88,3,193,423
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Scarborough",59,2,7,4,52,0,124,342
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",60,2,3,8,56,1,130,337
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",78,2,29,8,79,0,196,507
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",87,4,22,12,147,2,274,563
