Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gaël Chantrel,Claude Dufour,Richard Evanko,Marie-Hélène Gaudreau,David Graham,Serge Grégoire,Michel Leclerc,Ludovic Schneider,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 1","Sainte-Anne-du-Lac",2,5,0,62,37,12,1,0,2,121,232
24038,"Laurentides--Labelle/Laurentides--Labelle"," 2","Sainte-Anne-du-Lac",5,13,2,71,54,11,0,0,6,162,265
24038,"Laurentides--Labelle/Laurentides--Labelle"," 3","L'Ascension",6,6,2,101,49,19,0,0,4,187,350
24038,"Laurentides--Labelle/Laurentides--Labelle"," 4","L'Ascension",8,3,1,76,56,24,0,1,0,169,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 5","Ferme-Neuve",3,36,0,61,52,21,0,0,3,176,362
24038,"Laurentides--Labelle/Laurentides--Labelle"," 6","Ferme-Neuve",3,21,0,56,34,11,0,1,1,127,365
24038,"Laurentides--Labelle/Laurentides--Labelle"," 7","Ferme-Neuve",5,25,0,63,40,16,1,0,1,151,405
24038,"Laurentides--Labelle/Laurentides--Labelle"," 8","Ferme-Neuve",1,42,0,71,24,14,0,0,2,154,393
24038,"Laurentides--Labelle/Laurentides--Labelle"," 9","Ferme-Neuve",6,27,0,46,50,10,0,0,0,139,336
24038,"Laurentides--Labelle/Laurentides--Labelle"," 10","Ferme-Neuve",3,22,0,85,45,14,0,0,5,174,412
24038,"Laurentides--Labelle/Laurentides--Labelle"," 11","Mont-Saint-Michel",3,20,0,59,25,14,0,2,2,125,277
24038,"Laurentides--Labelle/Laurentides--Labelle"," 12","Mont-Saint-Michel",1,12,0,47,25,9,0,2,2,98,215
24038,"Laurentides--Labelle/Laurentides--Labelle"," 13","Lac-Saint-Paul",7,13,1,96,63,20,0,2,11,213,444
24038,"Laurentides--Labelle/Laurentides--Labelle"," 14","Chute-Saint-Philippe",4,6,1,109,62,14,0,1,2,199,408
24038,"Laurentides--Labelle/Laurentides--Labelle"," 15","Chute-Saint-Philippe",8,16,2,88,51,13,0,0,4,182,383
24038,"Laurentides--Labelle/Laurentides--Labelle"," 16","La Macaza",3,6,0,71,52,17,1,0,6,156,343
24038,"Laurentides--Labelle/Laurentides--Labelle"," 17","La Macaza",8,5,0,66,65,12,1,0,2,159,389
24038,"Laurentides--Labelle/Laurentides--Labelle"," 18","Rivière-Rouge",6,7,1,69,52,12,1,1,2,151,345
24038,"Laurentides--Labelle/Laurentides--Labelle"," 19","Sainte-Véronique",3,4,1,74,39,10,0,1,2,134,325
24038,"Laurentides--Labelle/Laurentides--Labelle"," 20","Sainte-Véronique",1,5,0,89,35,25,0,0,4,159,296
24038,"Laurentides--Labelle/Laurentides--Labelle"," 21","Mont-Laurier",4,20,1,104,78,24,4,1,6,242,502
24038,"Laurentides--Labelle/Laurentides--Labelle"," 22","Mont-Laurier",6,13,0,89,50,14,2,1,1,176,467
24038,"Laurentides--Labelle/Laurentides--Labelle"," 23","Mont-Laurier",4,6,1,51,34,13,1,0,0,110,336
24038,"Laurentides--Labelle/Laurentides--Labelle"," 24","Mont-Laurier",11,8,0,73,47,10,1,0,2,152,506
24038,"Laurentides--Labelle/Laurentides--Labelle"," 25","Mont-Laurier",1,5,0,83,45,14,0,0,2,150,405
24038,"Laurentides--Labelle/Laurentides--Labelle"," 26","Mont-Laurier",6,17,0,87,47,8,2,1,10,178,490
24038,"Laurentides--Labelle/Laurentides--Labelle"," 27","Mont-Laurier",4,10,3,69,36,9,0,0,3,134,465
24038,"Laurentides--Labelle/Laurentides--Labelle"," 28","Mont-Laurier",3,7,1,85,37,7,0,2,4,146,460
24038,"Laurentides--Labelle/Laurentides--Labelle"," 29","Mont-Laurier",4,14,2,85,33,13,0,0,5,156,465
24038,"Laurentides--Labelle/Laurentides--Labelle"," 30","Beaux-Rivages",10,20,0,83,46,18,0,1,5,183,387
24038,"Laurentides--Labelle/Laurentides--Labelle"," 31","Beaux-Rivages",4,8,0,81,40,8,0,0,1,142,362
24038,"Laurentides--Labelle/Laurentides--Labelle"," 32","Lac-des-Écorces",4,13,1,66,29,16,0,0,1,130,371
24038,"Laurentides--Labelle/Laurentides--Labelle"," 33","Beaux-Rivages",2,9,0,67,37,14,2,1,2,134,383
24038,"Laurentides--Labelle/Laurentides--Labelle"," 34","Lac-Saguay",4,15,0,129,74,17,1,3,3,246,421
24038,"Laurentides--Labelle/Laurentides--Labelle"," 35","Beaux-Rivages",7,13,1,61,45,11,0,0,5,143,299
24038,"Laurentides--Labelle/Laurentides--Labelle"," 36","Val-Barrette",5,6,1,94,38,12,1,2,2,161,277
24038,"Laurentides--Labelle/Laurentides--Labelle"," 37","Val-Barrette",1,12,0,76,34,8,2,2,4,139,256
24038,"Laurentides--Labelle/Laurentides--Labelle"," 38","Mont-Laurier",1,19,1,86,54,7,0,3,1,172,451
24038,"Laurentides--Labelle/Laurentides--Labelle"," 39","Mont-Laurier",6,15,1,110,65,8,0,0,8,213,473
24038,"Laurentides--Labelle/Laurentides--Labelle"," 40","Mont-Laurier",9,22,1,98,54,14,0,0,0,198,478
24038,"Laurentides--Labelle/Laurentides--Labelle"," 41","Mont-Laurier",10,14,2,100,38,10,0,0,1,175,445
24038,"Laurentides--Labelle/Laurentides--Labelle"," 42","Mont-Laurier",4,13,0,97,45,27,0,0,0,186,496
24038,"Laurentides--Labelle/Laurentides--Labelle"," 43","Mont-Laurier",10,17,2,113,49,14,1,1,1,208,533
24038,"Laurentides--Labelle/Laurentides--Labelle"," 44","Des Ruisseaux",14,19,0,103,74,5,0,4,1,220,523
24038,"Laurentides--Labelle/Laurentides--Labelle"," 45","Mont-Laurier",7,29,0,72,45,11,0,0,5,169,373
24038,"Laurentides--Labelle/Laurentides--Labelle"," 46","Mont-Laurier",3,18,0,89,56,7,0,1,6,180,417
24038,"Laurentides--Labelle/Laurentides--Labelle"," 47","Des Ruisseaux",2,8,0,73,36,16,0,0,4,139,426
