Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raquel Dancho,Martin Deck,Eduard Hiebert,Spencer Katerynuk,Evan Krosney,MaryAnn Mihychuk,Rylan Reed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",146,3,0,2,63,115,15,2,346,591
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",86,0,1,1,41,67,8,1,205,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",87,0,0,3,53,48,2,3,196,491
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54","Winnipeg",69,3,0,0,30,59,5,1,167,349
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 55","Winnipeg",77,3,0,1,62,76,7,1,227,500
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 56","Winnipeg",77,3,2,0,63,63,2,3,213,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 57","Winnipeg",56,1,0,1,35,37,6,0,136,321
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 58","Winnipeg",90,2,1,3,58,56,3,1,214,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",44,4,0,1,69,44,13,0,175,451
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",95,2,0,1,44,68,8,0,218,512
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",55,1,0,0,39,52,13,1,161,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",53,1,0,0,29,56,9,3,151,445
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",68,2,0,0,42,60,2,1,175,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",55,2,2,0,44,64,7,0,174,380
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 65","Winnipeg",62,1,0,2,32,29,3,3,132,354
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",45,4,1,1,42,48,6,2,149,366
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",80,4,0,0,45,55,6,2,192,558
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",120,9,1,0,21,36,8,0,195,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",124,1,0,2,39,57,4,0,227,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 70","Winnipeg",113,0,0,0,41,53,10,1,218,522
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",33,3,0,0,41,23,4,3,107,280
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",77,5,3,0,18,55,5,0,163,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",78,2,1,1,37,52,13,0,184,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",85,3,0,1,36,54,2,2,183,356
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",89,2,0,3,48,52,9,0,203,400
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",47,3,0,2,45,52,6,2,157,338
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 77A","Winnipeg",60,1,0,0,23,29,5,0,118,367
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 77B","Winnipeg",18,0,0,1,8,14,3,1,45,74
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",105,2,1,1,41,71,7,1,229,401
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79","Winnipeg",56,4,0,1,51,61,9,1,183,358
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",107,0,0,1,28,57,4,1,198,366
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",81,0,1,1,43,39,17,2,184,333
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Winnipeg",69,1,0,2,32,60,10,2,176,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Winnipeg",112,3,0,1,17,66,7,0,206,458
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84A","Winnipeg",71,2,0,2,22,46,8,0,151,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84B","Winnipeg",65,1,0,1,29,58,6,0,160,357
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84C","Winnipeg",Merged with No./Fusionné avec le n°412,,,,,,,,,72
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84D","Winnipeg",Merged with No./Fusionné avec le n°415,,,,,,,,,48
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Winnipeg",78,3,0,0,52,53,9,0,195,307
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Winnipeg",100,1,0,1,39,88,14,1,244,419
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",90,2,0,0,52,72,7,0,223,488
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",98,2,0,3,79,66,15,0,263,566
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 89","Winnipeg",63,5,0,3,38,44,4,0,157,359
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",75,3,0,3,56,63,3,0,203,452
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",35,1,1,4,19,22,7,1,90,294
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",73,1,3,2,77,62,12,0,230,542
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",51,6,0,2,38,49,9,1,156,440
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",68,2,0,0,69,40,7,2,188,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",66,2,0,0,68,67,10,0,213,475
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",67,1,0,0,41,52,11,1,173,453
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",62,4,1,2,62,60,13,0,204,538
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",49,2,0,1,58,43,11,0,164,362
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",47,4,0,2,39,59,8,0,159,437
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",96,3,1,7,32,50,9,1,199,331
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",39,2,0,1,43,30,6,0,121,274
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",39,4,0,1,55,40,6,0,145,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",55,1,0,3,55,60,6,0,180,346
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",81,2,1,1,43,41,9,0,178,350
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",79,2,1,0,53,43,7,3,188,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106","Winnipeg",72,0,0,2,41,51,10,1,177,331
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",66,1,1,0,44,50,16,2,180,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",72,7,0,0,51,49,6,0,185,384
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",38,3,0,1,52,34,6,0,134,381
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",91,0,0,0,25,48,8,0,172,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 111","Winnipeg",95,2,0,0,54,51,6,2,210,430
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",121,2,0,0,37,63,11,1,235,446
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",49,2,1,1,55,51,7,1,167,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 114","Winnipeg",76,0,1,1,39,62,7,0,186,408
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",69,4,0,2,52,43,7,1,178,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 116","Winnipeg",64,2,1,0,55,49,7,0,178,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 117","Winnipeg",30,1,2,0,76,47,6,2,164,380
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",59,2,0,2,61,87,4,0,215,501
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",74,4,1,1,58,58,9,0,205,414
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",65,6,3,1,55,39,14,2,185,411
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",63,8,2,0,98,59,14,0,244,470
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",51,2,0,3,56,48,5,0,165,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 123","Winnipeg",72,0,0,2,65,49,16,2,206,528
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 124A","Winnipeg",36,0,0,0,32,29,5,2,104,217
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 124B","Winnipeg",24,1,0,1,24,34,7,0,91,152
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",80,3,2,0,49,36,10,0,180,365
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 126","Winnipeg",77,9,0,2,51,59,7,1,206,362
