Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nick Capra,Lorne Gershuny,Alykhan Pabani,Terry Parker,Adam Pham,Paul Taylor,Arif Virani,Greg Wycliffe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 1","Toronto",13,0,1,1,33,130,114,2,3,297,404
35081,"Parkdale--High Park/Parkdale--High Park"," 2","Toronto",20,0,0,0,31,164,144,3,1,363,492
35081,"Parkdale--High Park/Parkdale--High Park"," 3","Toronto",15,0,0,0,29,119,87,1,4,255,521
35081,"Parkdale--High Park/Parkdale--High Park"," 4","Toronto",9,0,0,2,14,93,106,7,1,232,468
35081,"Parkdale--High Park/Parkdale--High Park"," 5","Toronto",14,0,2,1,29,99,94,4,1,244,514
35081,"Parkdale--High Park/Parkdale--High Park"," 6","Toronto",25,0,0,0,25,109,90,0,3,252,530
35081,"Parkdale--High Park/Parkdale--High Park"," 7","Toronto",14,1,0,0,33,113,112,1,3,277,503
35081,"Parkdale--High Park/Parkdale--High Park"," 8","Toronto",16,0,1,0,13,121,129,4,0,284,533
35081,"Parkdale--High Park/Parkdale--High Park"," 9","Toronto",10,0,1,2,37,106,107,4,1,268,480
35081,"Parkdale--High Park/Parkdale--High Park"," 10","Toronto",10,0,0,0,20,109,120,1,1,261,477
35081,"Parkdale--High Park/Parkdale--High Park"," 11","Toronto",22,0,0,0,41,81,143,1,0,288,469
35081,"Parkdale--High Park/Parkdale--High Park"," 12","Toronto",16,0,1,0,27,85,99,5,1,234,465
35081,"Parkdale--High Park/Parkdale--High Park"," 13","Toronto",17,0,0,0,23,68,89,4,5,206,464
35081,"Parkdale--High Park/Parkdale--High Park"," 14","Toronto",10,0,1,0,31,74,82,0,0,198,475
35081,"Parkdale--High Park/Parkdale--High Park"," 15","Toronto",14,0,0,0,30,72,91,1,1,209,499
35081,"Parkdale--High Park/Parkdale--High Park"," 16","Toronto",11,0,0,0,17,63,102,1,1,195,431
35081,"Parkdale--High Park/Parkdale--High Park"," 17","Toronto",20,0,0,1,31,79,107,0,0,238,460
35081,"Parkdale--High Park/Parkdale--High Park"," 18","Toronto",19,0,0,0,46,94,94,3,0,256,486
35081,"Parkdale--High Park/Parkdale--High Park"," 19","Toronto",15,0,2,0,21,76,103,3,2,222,474
35081,"Parkdale--High Park/Parkdale--High Park"," 20","Toronto",16,1,1,0,22,62,131,3,1,237,461
35081,"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",19,0,0,0,26,61,117,1,0,224,433
35081,"Parkdale--High Park/Parkdale--High Park"," 22","York",21,1,0,0,38,65,152,2,0,279,478
35081,"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",16,1,0,1,29,68,82,2,1,200,465
35081,"Parkdale--High Park/Parkdale--High Park"," 24","York",10,0,0,0,42,96,153,1,2,304,492
35081,"Parkdale--High Park/Parkdale--High Park"," 25","York",22,0,0,0,32,63,127,3,0,247,449
35081,"Parkdale--High Park/Parkdale--High Park"," 26","Toronto",15,0,0,0,31,79,118,5,0,248,467
35081,"Parkdale--High Park/Parkdale--High Park"," 27","York",19,0,0,0,54,67,125,0,1,266,484
35081,"Parkdale--High Park/Parkdale--High Park"," 28","Toronto",15,0,0,0,31,107,89,2,1,245,461
35081,"Parkdale--High Park/Parkdale--High Park"," 29","Toronto",20,0,0,1,29,76,103,4,0,233,443
35081,"Parkdale--High Park/Parkdale--High Park"," 30","Toronto",13,0,0,2,36,75,113,3,0,242,468
35081,"Parkdale--High Park/Parkdale--High Park"," 31","Toronto",11,0,0,1,34,85,125,2,3,261,490
35081,"Parkdale--High Park/Parkdale--High Park"," 32","Toronto",15,0,2,1,24,90,103,0,0,235,461
35081,"Parkdale--High Park/Parkdale--High Park"," 33","Toronto",16,0,0,0,32,84,111,4,4,251,487
35081,"Parkdale--High Park/Parkdale--High Park"," 34","Toronto",13,0,0,0,33,88,83,2,0,219,458
35081,"Parkdale--High Park/Parkdale--High Park"," 35","Toronto",9,0,0,0,30,68,93,1,0,201,429
35081,"Parkdale--High Park/Parkdale--High Park"," 36","Toronto",12,0,2,0,35,69,117,4,3,242,505
35081,"Parkdale--High Park/Parkdale--High Park"," 37","Toronto",19,0,0,0,21,101,101,4,1,247,502
35081,"Parkdale--High Park/Parkdale--High Park"," 38","Toronto",11,0,0,1,26,34,72,2,1,147,353
35081,"Parkdale--High Park/Parkdale--High Park"," 39","Toronto",4,0,0,0,26,37,120,4,0,191,445
35081,"Parkdale--High Park/Parkdale--High Park"," 40","York",7,0,2,2,49,47,84,3,1,195,345
35081,"Parkdale--High Park/Parkdale--High Park"," 41","York",20,1,1,2,62,57,121,7,2,273,510
35081,"Parkdale--High Park/Parkdale--High Park"," 42","York",9,0,0,0,56,57,134,5,5,266,465
35081,"Parkdale--High Park/Parkdale--High Park"," 43","York",12,0,0,1,47,87,117,1,2,267,485
35081,"Parkdale--High Park/Parkdale--High Park"," 44","Toronto",23,0,0,0,19,94,98,0,0,234,481
35081,"Parkdale--High Park/Parkdale--High Park"," 45","Toronto",14,0,0,1,36,89,117,7,3,267,497
35081,"Parkdale--High Park/Parkdale--High Park"," 46","Toronto",18,0,0,0,18,89,86,3,0,214,418
35081,"Parkdale--High Park/Parkdale--High Park"," 47","Toronto",29,0,0,0,40,83,103,4,1,260,464
35081,"Parkdale--High Park/Parkdale--High Park"," 48","Toronto",17,1,0,1,43,71,107,6,3,249,392
35081,"Parkdale--High Park/Parkdale--High Park"," 49","Toronto",13,1,0,1,30,51,102,1,1,200,433
35081,"Parkdale--High Park/Parkdale--High Park"," 50","Toronto",13,0,0,0,39,53,107,2,0,214,470
35081,"Parkdale--High Park/Parkdale--High Park"," 51","Toronto",17,1,0,0,39,42,122,4,1,226,468
35081,"Parkdale--High Park/Parkdale--High Park"," 52","Toronto",17,0,0,0,42,55,160,2,1,277,486
35081,"Parkdale--High Park/Parkdale--High Park"," 53","Toronto",20,0,0,0,29,83,127,2,0,261,573
35081,"Parkdale--High Park/Parkdale--High Park"," 54","Toronto",9,0,1,1,31,76,119,1,0,238,458
35081,"Parkdale--High Park/Parkdale--High Park"," 55","York",9,0,1,0,43,91,130,2,2,278,486
35081,"Parkdale--High Park/Parkdale--High Park"," 56","Toronto",25,0,0,0,28,67,148,1,0,269,460
35081,"Parkdale--High Park/Parkdale--High Park"," 57","Toronto",13,0,0,0,32,66,123,2,2,238,423
35081,"Parkdale--High Park/Parkdale--High Park"," 58","Toronto",20,0,0,1,36,47,135,1,1,241,474
35081,"Parkdale--High Park/Parkdale--High Park"," 59","York",18,0,2,1,39,51,133,2,0,246,522
35081,"Parkdale--High Park/Parkdale--High Park"," 60","York",11,0,0,0,29,88,115,5,1,249,487
35081,"Parkdale--High Park/Parkdale--High Park"," 61","York",8,0,0,1,61,51,118,2,2,243,464
35081,"Parkdale--High Park/Parkdale--High Park"," 62","York",16,0,0,0,57,51,106,0,4,234,473
35081,"Parkdale--High Park/Parkdale--High Park"," 63","York",18,0,0,0,49,37,135,1,2,242,489
35081,"Parkdale--High Park/Parkdale--High Park"," 64","York",11,0,0,0,64,18,94,3,2,192,443
35081,"Parkdale--High Park/Parkdale--High Park"," 65","York",13,0,0,0,37,29,113,0,0,192,430
35081,"Parkdale--High Park/Parkdale--High Park"," 66","Toronto",21,1,0,0,48,79,140,11,2,302,507
35081,"Parkdale--High Park/Parkdale--High Park"," 67","Toronto",15,0,0,0,36,60,142,1,0,254,460
35081,"Parkdale--High Park/Parkdale--High Park"," 68","Toronto",10,0,0,0,45,67,170,2,0,294,472
35081,"Parkdale--High Park/Parkdale--High Park"," 69","Toronto",11,0,0,1,42,58,149,0,3,264,478
35081,"Parkdale--High Park/Parkdale--High Park"," 70","Toronto",19,0,0,0,31,59,119,1,2,231,444
35081,"Parkdale--High Park/Parkdale--High Park"," 71","Toronto",36,0,2,1,17,94,88,3,1,242,446
35081,"Parkdale--High Park/Parkdale--High Park"," 72","Toronto",13,0,0,0,37,109,129,3,2,293,593
35081,"Parkdale--High Park/Parkdale--High Park"," 73","Toronto",14,0,0,0,25,88,101,3,0,231,476
35081,"Parkdale--High Park/Parkdale--High Park"," 74","Toronto",11,0,0,0,10,74,91,1,1,188,434
35081,"Parkdale--High Park/Parkdale--High Park"," 75","Toronto",11,0,0,1,21,65,118,2,0,218,462
35081,"Parkdale--High Park/Parkdale--High Park"," 76","Toronto",11,0,0,0,26,79,108,2,2,228,420
35081,"Parkdale--High Park/Parkdale--High Park"," 77","Toronto",17,0,0,1,38,89,126,1,0,272,472
35081,"Parkdale--High Park/Parkdale--High Park"," 78","Toronto",23,0,1,2,43,73,172,4,1,319,555
35081,"Parkdale--High Park/Parkdale--High Park"," 79","Toronto",18,0,0,1,21,106,137,1,1,285,492
35081,"Parkdale--High Park/Parkdale--High Park"," 80","Toronto",37,0,0,0,23,100,171,0,3,334,536
35081,"Parkdale--High Park/Parkdale--High Park"," 81","Toronto",12,0,0,0,30,97,131,2,1,273,536
35081,"Parkdale--High Park/Parkdale--High Park"," 82","Toronto",14,0,0,1,33,106,89,2,1,246,430
35081,"Parkdale--High Park/Parkdale--High Park"," 83","Toronto",23,0,0,1,33,77,146,0,3,283,524
35081,"Parkdale--High Park/Parkdale--High Park"," 84","Toronto",17,0,0,0,28,68,86,1,0,200,382
35081,"Parkdale--High Park/Parkdale--High Park"," 85","Toronto",42,1,0,0,24,84,107,4,1,263,498
35081,"Parkdale--High Park/Parkdale--High Park"," 86","Toronto",17,0,0,0,27,91,106,3,0,244,449
35081,"Parkdale--High Park/Parkdale--High Park"," 87","Toronto",19,0,0,0,31,73,112,9,1,245,438
35081,"Parkdale--High Park/Parkdale--High Park"," 88","Toronto",23,0,2,0,40,60,188,4,0,317,495
35081,"Parkdale--High Park/Parkdale--High Park"," 89","Toronto",16,0,0,0,34,61,156,1,2,270,468
35081,"Parkdale--High Park/Parkdale--High Park"," 90","York",19,0,1,0,51,60,131,3,1,266,496
35081,"Parkdale--High Park/Parkdale--High Park"," 91","York",18,0,0,0,42,44,145,2,0,251,458
35081,"Parkdale--High Park/Parkdale--High Park"," 92","Toronto",11,0,2,0,27,76,98,1,3,218,474
35081,"Parkdale--High Park/Parkdale--High Park"," 93","Toronto",18,0,1,1,17,89,99,1,2,228,484
35081,"Parkdale--High Park/Parkdale--High Park"," 94","Toronto",18,0,1,0,14,103,63,0,1,200,464
35081,"Parkdale--High Park/Parkdale--High Park"," 95","Toronto",16,0,0,0,23,93,101,4,0,237,487
35081,"Parkdale--High Park/Parkdale--High Park"," 96","Toronto",8,0,1,0,13,125,90,0,2,239,505
35081,"Parkdale--High Park/Parkdale--High Park"," 97","Toronto",11,0,1,0,16,94,74,0,2,198,495
35081,"Parkdale--High Park/Parkdale--High Park"," 98","Toronto",4,0,7,1,21,24,119,2,11,189,395
35081,"Parkdale--High Park/Parkdale--High Park"," 99","Toronto",18,0,0,0,36,45,103,3,0,205,444
35081,"Parkdale--High Park/Parkdale--High Park"," 100","Toronto",26,0,0,0,52,51,127,6,3,265,497
35081,"Parkdale--High Park/Parkdale--High Park"," 101","Toronto",18,0,1,0,54,31,134,0,0,238,462
35081,"Parkdale--High Park/Parkdale--High Park"," 102","Toronto",15,0,0,1,33,27,116,4,0,196,445
35081,"Parkdale--High Park/Parkdale--High Park"," 103","Toronto",26,1,0,1,44,50,113,5,2,242,472
35081,"Parkdale--High Park/Parkdale--High Park"," 104","Toronto",16,0,0,0,56,50,126,1,2,251,489
35081,"Parkdale--High Park/Parkdale--High Park"," 105","Toronto",19,0,0,0,45,24,117,4,1,210,433
35081,"Parkdale--High Park/Parkdale--High Park"," 106","Toronto",14,0,1,0,15,110,88,0,3,231,464
