Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Colbourne,Larry Flemming,Michelene Gray,Yvonne Jones,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 613","Cartwright",4,8,19,28,4,63,
10004,"Labrador/Labrador"," 614","Black Tickle",0,1,8,28,1,38,
10004,"Labrador/Labrador"," 615","Norman's Bay",0,0,1,7,0,8,
10004,"Labrador/Labrador"," 616","Charlottetown",1,2,0,23,0,26,
10004,"Labrador/Labrador"," 617","Port Hope Simpson",0,3,0,17,1,21,
10004,"Labrador/Labrador"," 618","Mary's Harbour",1,4,2,40,1,48,
10004,"Labrador/Labrador"," 619","Red Bay",0,6,0,4,2,12,
10004,"Labrador/Labrador"," 620","L'Anse-au-Loup",0,24,4,73,0,101,
10004,"Labrador/Labrador",,Group 1/Groupe 1, 4,27,8,33,3,75,45
10004,"Labrador/Labrador",,Group 2/Groupe 2, 25,99,112,276,6,518,
