Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Peter Forint,Eileen Higdon,Cyma Musarat,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 603","Uxbridge",17,49,47,190,246,0,549,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 604","Uxbridge",6,63,55,266,259,5,654,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 605","Uxbridge",15,69,47,301,205,4,641,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 606","Pickering",5,59,86,207,601,0,958,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 607","Pickering",13,40,87,313,522,7,982,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 608","Pickering",23,64,103,281,576,8,1055,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 609","Pickering",13,32,99,191,718,10,1063,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 610","Pickering",15,32,95,229,596,4,971,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 611","Pickering",14,37,79,142,395,0,667,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 612","Pickering",20,43,84,192,319,1,659,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 613","Pickering",19,74,117,300,588,6,1104,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 614","Pickering",17,39,75,149,493,7,780,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 615","Pickering",32,50,128,302,735,0,1247,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 616","Pickering",23,44,107,358,740,1,1273,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 617","Pickering",26,39,84,325,560,2,1036,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 618","Pickering",20,39,103,204,330,0,696,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 619","Pickering",29,54,62,236,382,2,765,
35085,"Pickering--Uxbridge/Pickering--Uxbridge",,Group 1/Groupe 1, 2,7,15,25,74,3,126,179
35085,"Pickering--Uxbridge/Pickering--Uxbridge",,Group 2/Groupe 2, 36,99,172,299,678,39,1323,
