Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Easter,Anna Keenan,Craig Nash,Stephen Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 1","Cavendish",90,55,17,48,2,212,492
11004,"Malpeque/Malpeque"," 2","North Rustico",68,40,11,52,4,175,349
11004,"Malpeque/Malpeque"," 3","Brackley Beach",88,50,16,59,1,214,456
11004,"Malpeque/Malpeque"," 4","Brackley Point",79,50,18,66,1,214,511
11004,"Malpeque/Malpeque"," 5","Covehead Road",68,55,13,55,0,191,349
11004,"Malpeque/Malpeque"," 6","Stanhope Beach",102,54,11,37,3,207,388
11004,"Malpeque/Malpeque"," 7","Covehead Road",118,43,20,61,2,244,446
11004,"Malpeque/Malpeque"," 8","Harrington",60,49,9,56,5,179,387
11004,"Malpeque/Malpeque"," 9","Irishtown",80,47,12,55,2,196,415
11004,"Malpeque/Malpeque"," 10","Stanley Bridge",62,60,6,40,1,169,346
11004,"Malpeque/Malpeque"," 11","Stanley Bridge",46,29,2,22,1,100,187
11004,"Malpeque/Malpeque"," 12","South Rustico",102,88,14,67,7,278,489
11004,"Malpeque/Malpeque"," 13","Wheatley River",69,61,16,49,3,198,387
11004,"Malpeque/Malpeque"," 14","Baltic",78,60,20,59,3,220,428
11004,"Malpeque/Malpeque"," 15","Suffolk",88,59,13,43,0,203,370
11004,"Malpeque/Malpeque"," 16","Marshfield",104,58,18,58,5,243,463
11004,"Malpeque/Malpeque"," 17","Union",67,23,9,38,1,138,325
11004,"Malpeque/Malpeque"," 18","Oyster Bed Bridge",94,32,21,74,5,226,410
11004,"Malpeque/Malpeque"," 19","Founds Mills",104,52,11,58,6,231,429
11004,"Malpeque/Malpeque"," 20","North Winsloe",80,27,12,62,2,183,425
11004,"Malpeque/Malpeque"," 21","Royalty Junction",84,34,6,21,3,148,318
11004,"Malpeque/Malpeque"," 22","Indian River",55,62,4,50,1,172,379
11004,"Malpeque/Malpeque"," 23","Clinton ",50,45,6,27,2,130,274
11004,"Malpeque/Malpeque"," 24","St. Anns",67,55,11,32,3,168,399
11004,"Malpeque/Malpeque"," 25","Hunter River",106,85,10,75,4,280,452
11004,"Malpeque/Malpeque"," 26","Fredericton",76,51,12,43,3,185,364
11004,"Malpeque/Malpeque"," 27","Winsloe",46,32,8,42,3,131,262
11004,"Malpeque/Malpeque"," 28","Springvale",78,59,9,64,4,214,403
11004,"Malpeque/Malpeque"," 29","Southwest River",48,57,13,43,0,161,355
11004,"Malpeque/Malpeque"," 30","Clermont",47,55,15,46,0,163,414
